model,environment,complexity,grammar,instruction_type,reward_type,average_success_rate,std_success_rate,random_agent_average_success_rate,random_agent_std_success_rate,evaluated_env
curriculum_sparse,HI_Average-Regular_Approach2_527064.7758286778_1263294.0.z8,0.51-0.76,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,HI_Average-Regular_Approach2_527064.7758286778_1263294.0.z8,0.51-0.76,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,B_Average-Regular_Approach1_545111.0_1062824.0.z8,0.51-0.76,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,B_Average-Regular_Approach1_545111.0_1062824.0.z8,0.51-0.76,8,incomplete,sparse,0.0,0.0,0.03,0.171,seen
curriculum_sparse,ZGC_Average-Regular_Approach1_545153.9763877091_1771510.7893767639.z8,0.76-1,8,complete,sparse,0.0,0.0,0.01,0.099,seen
curriculum_sparse,ZGC_Average-Regular_Approach1_545153.9763877091_1771510.7893767639.z8,0.76-1,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,KIW_Average-Regular_Approach1_546260.0_1366824.0.z8,0.76-1,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,KIW_Average-Regular_Approach1_546260.0_1366824.0.z8,0.76-1,8,incomplete,sparse,0.0,0.0,0.01,0.099,seen
curriculum_sparse,JCD_Average-Regular_Approach1_547524.3349056605_1331096.278301887.z8,0.51-0.76,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,JCD_Average-Regular_Approach1_547524.3349056605_1331096.278301887.z8,0.51-0.76,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,CRK_Average-Regular_Approach1_549281.0_1106372.0.z8,0.76-1,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,CRK_Average-Regular_Approach1_549281.0_1106372.0.z8,0.76-1,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,IP_arial_Approach2_525753.0_2026037.3333333335.z8,0.26-0.51,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,CBS_Average-Regular_Approach1_546832.3784065933_1092279.5.z8,0.51-0.76,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,CBS_Average-Regular_Approach1_546832.3784065933_1092279.5.z8,0.51-0.76,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,ETC_perspire_Approach2_500320.0_1195620.0.z8,0-0.26,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,ETC_perspire_Approach2_500320.0_1195620.0.z8,0-0.26,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,BEV_Average-Regular_Approach1_547933.6927655565_1066661.104115366.z8,0.76-1,8,complete,sparse,0.001,0.3,0.0,0.0,seen
curriculum_sparse,BEV_Average-Regular_Approach1_547933.6927655565_1066661.104115366.z8,0.76-1,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,A_Average-Regular_Approach2_525768.0_999991.0.z8,0.51-0.76,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,A_Average-Regular_Approach2_525768.0_999991.0.z8,0.51-0.76,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,BO_Average-Regular_Approach1_546697.093434728_1077862.5473172662.z8,0.51-0.76,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,BO_Average-Regular_Approach1_546697.093434728_1077862.5473172662.z8,0.51-0.76,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,AEY_Average-Regular_Approach1_546472.9076679603_1012256.9294065498.z8,0.51-0.76,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,AEY_Average-Regular_Approach1_546472.9076679603_1012256.9294065498.z8,0.51-0.76,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,VNM_Average-Regular_Approach1_546015.6294029708_1657533.519746642.z8,0.76-1,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,VNM_Average-Regular_Approach1_546015.6294029708_1657533.519746642.z8,0.76-1,8,incomplete,sparse,0.0,0.0,0.01,0.099,seen
curriculum_sparse,WW_Average-Regular_Approach1_546610.6666666666_1708853.5364495006.z8,0.76-1,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,WW_Average-Regular_Approach1_546610.6666666666_1708853.5364495006.z8,0.76-1,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,CUH_Average-Regular_Approach1_548197.6381731405_1114581.6465456714.z8,0.76-1,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,MMK_arial_Approach1_545263.125_2189438.620689655.z8,0.51-0.76,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,MMK_arial_Approach1_545263.125_2189438.620689655.z8,0.51-0.76,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,ARV_Average-Regular_Approach1_547077.0340263674_1030550.9709598336.z8,0.76-1,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,ARV_Average-Regular_Approach1_547077.0340263674_1030550.9709598336.z8,0.76-1,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,KIW_arial_Approach1_546979.5536306141_2152807.8868319127.z8,0.51-0.76,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,KIW_arial_Approach1_546979.5536306141_2152807.8868319127.z8,0.51-0.76,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,AW_Average-Regular_Approach1_546535.0_1036314.0.z8,0.76-1,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,BTM_Average-Regular_Approach2_526626.3458504475_1072620.6181536037.z8,0.76-1,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,BTM_Average-Regular_Approach1_548064.0_1081904.0.z8,0.76-1,8,complete,sparse,0.0,0.0,0.03,0.171,seen
curriculum_sparse,AZH_Average-Regular_Approach1_549293.0876068375_1051488.1662393163.z8,0.76-1,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,simplest_simplest_546025.6070834016_996382.4069940181.z8,0-0.26,8,complete,sparse,0.001,0.3,0.0,0.0,seen
curriculum_sparse,AKV_Average-Regular_Approach1_548634.5645125471_1019060.8024650232.z8,0.76-1,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,NWW_Average-Regular_Approach1_552208.0_1442824.0.z8,0.76-1,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,NWW_Average-Regular_Approach1_552208.0_1442824.0.z8,0.76-1,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,XJ_perspire_Approach2_502108.0_1665910.0120192308.z8,0-0.26,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,XJ_perspire_Approach2_502108.0_1665910.0120192308.z8,0-0.26,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,EHX_Average-Regular_Approach1_548395.005982906_1184505.7505982905.z8,0.51-0.76,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,EHX_Average-Regular_Approach1_548395.005982906_1184505.7505982905.z8,0.51-0.76,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,AT_Average-Regular_Approach1_546603.8974585026_1054854.2159204248.z8,0.51-0.76,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,AT_Average-Regular_Approach1_546603.8974585026_1054854.2159204248.z8,0.51-0.76,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,ACI_Average-Regular_Approach1_547313.8275346498_1005814.3004094235.z8,0.51-0.76,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,ACI_Average-Regular_Approach1_547313.8275346498_1005814.3004094235.z8,0.51-0.76,8,incomplete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,GWG_Average-Regular_Approach2_530949.0_1259988.0.z8,0.76-1,8,complete,sparse,0.0,0.0,0.0,0.0,unseen
