Model,Mean Reward,Std Reward,Complexity_of_Environment
simplest_simplest_546025.6070834016_996382.4069940181.z8,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0
B_Average-Regular_Approach1_545111.0_1062824.0.z8,"[-50.0, -161.0, 5.0, -85.0, 22.0, -106.0, -184.0, -238.0, -14.0, -251.0, -26.0, -163.0, 1.0, -70.0, 6.0, -194.0, -173.0, -143.0, -111.0, 23.0, -374.0, -271.0, -66.0, -45.0, -539.0, -368.0, -125.0, 23.0, -84.0, -136.0, -81.0, -339.0, 1.0, -24.0, -273.0, -37.0, -162.0, -220.0, -557.0, -20.0, -21.0, -179.0, -5.0, -163.0, -223.0, 19.0, -25.0, -41.0, 1.0, 17.0, -54.0, -14.0, -37.0, 3.0, -11.0, 10.0, -48.0, 5.0, 15.0, -328.0, -125.0, -336.0, -314.0, -28.0, -18.0, -192.0, -58.0, -20.0, -432.0, -153.0, 24.0, -577.0, 19.0, 7.0, -149.0, 3.0, -239.0, -89.0, -40.0, -53.0, -78.0, 15.0, -303.0, 19.0, -217.0, -53.0, -82.0, -109.0, -64.0, 19.0, -193.0, -92.0, -115.0, -30.0, -25.0, -4.0, -153.0, -205.0, -165.0, -14.0]","[76, 187, 21, 111, 4, 132, 210, 264, 40, 277, 52, 189, 25, 96, 20, 220, 199, 169, 137, 3, 400, 297, 92, 71, 565, 394, 151, 3, 110, 162, 107, 365, 25, 50, 299, 63, 188, 246, 583, 46, 47, 205, 31, 189, 249, 7, 51, 67, 25, 9, 80, 40, 63, 23, 37, 16, 74, 21, 11, 354, 151, 362, 340, 54, 44, 218, 84, 46, 458, 179, 2, 603, 7, 19, 175, 23, 265, 115, 66, 79, 104, 11, 329, 7, 243, 79, 108, 135, 90, 7, 219, 118, 141, 56, 51, 30, 179, 231, 191, 40]",0.25
ZOZ_perspire_Approach2_500369.60714285716_1720236.6666666665.z8,"[-1.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 24.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 24.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.25
U_Average-Regular_Approach1_545897.0_1617624.0.z8,"[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 24.0, 25.0, 25.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1]",0.25
XJ_perspire_Approach2_502108.0_1665910.0120192308.z8,"[-1.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 24.0, -1.0, 25.0, -1.0, 25.0, 24.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.25
ZSM_perspire_Approach2_504642.0_1722020.0.z8,"[-50.0, -161.0, 5.0, -85.0, 22.0, -106.0, -184.0, -238.0, -14.0, -251.0, -26.0, -163.0, 1.0, -70.0, 6.0, -194.0, -173.0, -143.0, -111.0, 23.0, -374.0, -271.0, -66.0, -45.0, -539.0, -368.0, -125.0, 23.0, -84.0, -136.0, -81.0, -339.0, 1.0, -24.0, -273.0, -37.0, -162.0, -220.0, -557.0, -20.0, -21.0, -179.0, -5.0, -163.0, -223.0, 19.0, -25.0, -41.0, 1.0, 17.0, -54.0, -14.0, -37.0, 3.0, -11.0, 10.0, -48.0, 5.0, 15.0, -328.0, -125.0, -336.0, -314.0, -28.0, -18.0, -192.0, -58.0, -20.0, -432.0, -153.0, 24.0, -577.0, 19.0, 7.0, -149.0, 3.0, -239.0, -89.0, -40.0, -53.0, -78.0, 15.0, -303.0, 19.0, -217.0, -53.0, -82.0, -109.0, -64.0, 19.0, -193.0, -92.0, -115.0, -30.0, -25.0, -4.0, -153.0, -205.0, -165.0, -14.0]","[76, 187, 21, 111, 4, 132, 210, 264, 40, 277, 52, 189, 25, 96, 20, 220, 199, 169, 137, 3, 400, 297, 92, 71, 565, 394, 151, 3, 110, 162, 107, 365, 25, 50, 299, 63, 188, 246, 583, 46, 47, 205, 31, 189, 249, 7, 51, 67, 25, 9, 80, 40, 63, 23, 37, 16, 74, 21, 11, 354, 151, 362, 340, 54, 44, 218, 84, 46, 458, 179, 2, 603, 7, 19, 175, 23, 265, 115, 66, 79, 104, 11, 329, 7, 243, 79, 108, 135, 90, 7, 219, 118, 141, 56, 51, 30, 179, 231, 191, 40]",0.25
ETC_perspire_Approach2_500320.0_1195620.0.z8,"[-50.0, -161.0, 5.0, -85.0, 22.0, -106.0, -184.0, -238.0, -14.0, -251.0, -26.0, -163.0, 1.0, -70.0, 6.0, -194.0, -173.0, -143.0, -111.0, 23.0, -374.0, -271.0, -66.0, -45.0, -539.0, -368.0, -125.0, 23.0, -84.0, -136.0, -81.0, -339.0, 1.0, -24.0, -273.0, -37.0, -162.0, -220.0, -557.0, -20.0, -21.0, -179.0, -5.0, -163.0, -223.0, 19.0, -25.0, -41.0, 1.0, 17.0, -54.0, -14.0, -37.0, 3.0, -11.0, 10.0, -48.0, 5.0, 15.0, -328.0, -125.0, -336.0, -314.0, -28.0, -18.0, -192.0, -58.0, -20.0, -432.0, -153.0, 24.0, -577.0, 19.0, 7.0, -149.0, 3.0, -239.0, -89.0, -40.0, -53.0, -78.0, 15.0, -303.0, 19.0, -217.0, -53.0, -82.0, -109.0, -64.0, 19.0, -193.0, -92.0, -115.0, -30.0, -25.0, -4.0, -153.0, -205.0, -165.0, -14.0]","[76, 187, 21, 111, 4, 132, 210, 264, 40, 277, 52, 189, 25, 96, 20, 220, 199, 169, 137, 3, 400, 297, 92, 71, 565, 394, 151, 3, 110, 162, 107, 365, 25, 50, 299, 63, 188, 246, 583, 46, 47, 205, 31, 189, 249, 7, 51, 67, 25, 9, 80, 40, 63, 23, 37, 16, 74, 21, 11, 354, 151, 362, 340, 54, 44, 218, 84, 46, 458, 179, 2, 603, 7, 19, 175, 23, 265, 115, 66, 79, 104, 11, 329, 7, 243, 79, 108, 135, 90, 7, 219, 118, 141, 56, 51, 30, 179, 231, 191, 40]",0.25
A_Average-Regular_Approach2_525768.0_999991.0.z8,"[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 24.0, 25.0, 25.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1]",0.25
IP_arial_Approach2_525753.0_2026037.3333333335.z8,"[-51.0, -115.0, -54.0, 14.0, 2.0, -223.0, -25.0, 14.0, -24.0, 25.0, -27.0, -92.0, 13.0, -17.0, -39.0, -113.0, -27.0, -9.0, -6.0, -28.0, -113.0, -103.0, -82.0, -159.0, -95.0, -192.0, -9.0, -37.0, -140.0, -32.0, 0.0, 21.0, -190.0, -16.0, -35.0, -5.0, -167.0, -241.0, -50.0, -84.0, -36.0, -86.0, -94.0, 19.0, -8.0, -94.0, 10.0, -118.0, -94.0, 24.0, -7.0, -46.0, 17.0, 22.0, -192.0, -76.0, -173.0, -7.0, -48.0, 7.0, -21.0, 22.0, -131.0, -24.0, -19.0, -85.0, -133.0, -217.0, -100.0, -16.0, 18.0, -67.0, 25.0, 19.0, -152.0, 17.0, -48.0, -88.0, -55.0, -65.0, -28.0, -35.0, -18.0, 21.0, -36.0, -36.0, -1.0, -10.0, -14.0, -13.0, -27.0, -187.0, 2.0, -34.0, -17.0, -196.0, 7.0, -59.0, -101.0, -28.0]","[51, 115, 54, 12, 24, 249, 25, 12, 24, 1, 27, 92, 13, 17, 65, 139, 53, 9, 6, 54, 113, 129, 108, 159, 121, 192, 9, 37, 140, 58, 26, 5, 216, 42, 61, 5, 167, 267, 50, 110, 62, 112, 94, 7, 8, 94, 16, 144, 120, 2, 7, 46, 9, 4, 192, 102, 199, 7, 74, 19, 21, 4, 157, 24, 19, 111, 133, 243, 100, 16, 8, 93, 1, 7, 152, 9, 74, 114, 55, 65, 28, 35, 44, 5, 36, 36, 1, 10, 40, 13, 27, 213, 24, 34, 43, 196, 19, 59, 127, 54]",0.25
HI_Average-Regular_Approach2_527064.7758286778_1263294.0.z8,"[-1.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, 24.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.25
