#{"t_start": 1718347602.2758672, "env_id": "None"}
r,l,t
-2.0,3,0.062919
8.0,14,0.119741
-5.0,6,0.186272
-6.0,7,0.253376
8.0,14,0.310982
19.0,3,0.36948
-1.0,2,0.43183
-5.0,6,0.492981
16.0,6,0.558694
-2.0,3,0.624382
13.0,9,0.679701
5.0,17,0.737148
-3.0,4,0.803339
-24.0,46,0.88131
-4.0,5,0.952734
16.0,6,1.020303
-2.0,3,1.08335
2.0,20,1.150258
12.0,10,1.210774
-13.0,14,1.281168
-5.0,6,1.352748
-9.0,10,1.425759
7.0,15,1.496738
6.0,16,1.565017
-3.0,4,1.634937
18.0,4,1.693673
13.0,9,1.754878
-2.0,3,1.823177
16.0,6,1.88285
-3.0,4,1.949367
7.0,15,2.024713
-2.0,3,2.096703
-2.0,3,2.156152
9.0,13,2.229605
17.0,5,2.296737
19.0,3,2.355278
-7.0,8,2.431461
-3.0,4,2.498353
19.0,3,2.562329
-6.0,7,2.636895
-7.0,8,2.70297
18.0,4,2.766202
15.0,7,2.826525
-5.0,6,2.895331
-7.0,8,2.965754
-12.0,13,3.034666
16.0,6,3.092933
8.0,14,3.156935
-2.0,3,3.224047
-4.0,5,3.292421
15.0,7,3.351797
9.0,13,3.41727
19.0,3,3.482612
-5.0,6,3.554676
-2.0,3,3.61473
-7.0,8,3.685661
19.0,3,3.741402
-3.0,4,3.805355
-14.0,15,3.87386
-1.0,2,3.941843
-1.0,2,4.008392
19.0,3,4.066089
-4.0,5,4.135157
-4.0,5,4.199755
-4.0,5,4.264958
-1.0,2,4.3307
-10.0,11,4.406353
-6.0,7,4.473511
20.0,2,4.533986
20.0,2,4.591178
18.0,4,4.656119
6.0,16,4.728132
6.0,16,4.79232
15.0,7,4.856802
20.0,2,4.925584
-10.0,11,4.998778
19.0,3,5.063913
7.0,15,5.130723
-1.0,2,5.202958
14.0,8,5.274714
-15.0,16,5.346948
-5.0,6,5.420591
18.0,4,5.486219
-1.0,2,5.558966
18.0,4,5.624368
12.0,10,5.687337
-6.0,7,5.75392
-2.0,3,5.823933
-4.0,5,5.889547
-5.0,6,5.964069
-11.0,12,6.039358
18.0,4,6.11477
17.0,5,6.177403
-7.0,8,6.263262
-2.0,3,6.327996
13.0,9,6.391568
-15.0,16,6.46186
-22.0,44,6.542338
9.0,13,6.605542
18.0,4,6.679511
18.0,4,6.743706
18.0,4,6.812395
-2.0,3,6.881491
12.0,10,6.942393
-16.0,17,7.0183
-3.0,4,7.083392
20.0,2,7.147058
11.0,11,7.210138
-7.0,8,7.286324
-19.0,20,7.362049
-17.0,18,7.432069
-4.0,5,7.496885
-4.0,5,7.568629
6.0,16,7.637449
-13.0,14,7.709043
-2.0,3,7.78157
-18.0,19,7.861679
17.0,5,7.920984
18.0,4,7.985528
-2.0,3,8.046743
-1.0,2,8.113854
-11.0,12,8.180206
16.0,6,8.24744
-7.0,8,8.310407
-10.0,11,8.37453
17.0,5,8.435747
18.0,4,8.494144
20.0,2,8.558211
-19.0,20,8.630114
-2.0,3,8.702034
-5.0,6,8.769413
-3.0,4,8.832095
-1.0,2,8.901693
-2.0,3,8.974345
15.0,7,9.036195
-11.0,12,9.112815
16.0,6,9.173021
9.0,13,9.239846
-4.0,5,9.309694
16.0,6,9.371234
-3.0,4,9.440761
-7.0,8,9.511057
-3.0,4,9.578894
19.0,3,9.636671
17.0,5,9.695727
-3.0,4,9.758174
12.0,10,9.825214
7.0,15,9.890968
-7.0,8,9.96663
11.0,11,10.030868
16.0,6,10.089038
12.0,10,10.151651
-4.0,26,10.223665
-10.0,11,10.29556
-17.0,18,10.365297
17.0,5,10.424657
13.0,9,10.491635
17.0,5,10.555725
17.0,5,10.616714
11.0,11,10.677667
17.0,5,10.737153
-4.0,5,10.80218
12.0,10,10.864535
14.0,8,10.929424
-2.0,3,11.001762
-4.0,5,11.066784
-5.0,6,11.13396
-7.0,8,11.199831
-9.0,10,11.263305
19.0,3,11.325869
5.0,17,11.39234
20.0,2,11.459997
15.0,7,11.52785
20.0,2,11.583838
-1.0,2,11.653694
-26.0,27,11.732149
16.0,6,11.794138
19.0,3,11.853769
-4.0,5,11.923163
19.0,3,11.987732
-2.0,3,12.054169
-2.0,3,12.121391
-1.0,2,12.189738
9.0,13,12.252328
17.0,5,12.310112
17.0,5,12.377096
-1.0,2,12.447529
15.0,7,12.518822
2.0,20,12.589748
-10.0,11,12.660941
-3.0,4,12.72499
-14.0,15,12.794997
18.0,4,12.860186
-5.0,6,12.931407
14.0,8,12.99351
13.0,9,13.055536
-12.0,13,13.121686
12.0,10,13.200541
-1.0,2,13.262815
17.0,5,13.321702
17.0,5,13.38308
14.0,8,13.444613
-1.0,2,13.507153
-8.0,9,13.574557
8.0,14,13.641042
-2.0,3,13.713143
12.0,10,13.774529
12.0,10,13.841884
13.0,9,13.903082
17.0,5,13.962266
-5.0,6,14.029555
13.0,9,14.091613
13.0,9,14.15183
-5.0,6,14.218819
4.0,18,14.285924
6.0,16,14.351359
-2.0,3,14.420721
-13.0,14,14.496038
3.0,19,14.564172
11.0,11,14.637722
-7.0,8,14.705335
18.0,4,14.767149
16.0,6,14.835661
-8.0,9,14.914433
17.0,5,14.989697
-11.0,12,15.063944
-9.0,10,15.131562
16.0,6,15.195219
-3.0,4,15.260345
-2.0,3,15.325719
20.0,2,15.391184
-3.0,4,15.454353
17.0,5,15.517469
-10.0,11,15.586901
-9.0,10,15.652925
-4.0,5,15.722649
13.0,9,15.80141
-14.0,15,15.872844
-3.0,4,15.936802
19.0,3,16.004696
-2.0,3,16.073906
18.0,4,16.131475
12.0,10,16.211067
19.0,3,16.268867
8.0,14,16.332299
-3.0,4,16.410666
-13.0,14,16.481044
0.0,22,16.552039
-1.0,2,16.620174
15.0,7,16.679907
17.0,5,16.751237
-1.0,2,16.817612
18.0,4,16.886419
9.0,13,16.952243
9.0,13,17.01814
14.0,8,17.078437
11.0,11,17.141013
18.0,4,17.215417
8.0,14,17.281592
20.0,2,17.357219
-6.0,7,17.429997
17.0,5,17.49267
17.0,5,17.558518
-2.0,3,17.626243
11.0,11,17.696123
14.0,8,17.763198
