#{"t_start": 1718342935.6602755, "env_id": "None"}
r,l,t
-15.0,16,0.053405
-22.0,23,0.103502
6.0,16,0.155501
-7.0,8,0.203472
18.0,4,0.253626
-6.0,28,0.307196
-6.0,7,0.357913
-10.0,11,0.417601
15.0,7,0.472205
14.0,8,0.524468
9.0,13,0.585491
-6.0,7,0.637948
-4.0,5,0.693918
12.0,10,0.746796
-3.0,4,0.798343
10.0,12,0.857307
-14.0,15,0.917487
7.0,15,0.9807
19.0,3,1.027475
-3.0,25,1.09192
-11.0,12,1.149065
-2.0,3,1.1983
8.0,14,1.255075
16.0,6,1.308835
-1.0,2,1.359566
-7.0,8,1.412565
-9.0,10,1.465827
-8.0,9,1.521139
6.0,16,1.584338
-21.0,22,1.647414
-3.0,4,1.698688
-6.0,28,1.766504
-20.0,21,1.826948
-11.0,12,1.884042
-31.0,32,1.951044
8.0,14,2.012013
-3.0,4,2.066056
-10.0,11,2.120649
-7.0,8,2.174825
17.0,5,2.22437
-8.0,9,2.278345
8.0,14,2.334511
-16.0,17,2.392784
-7.0,8,2.445623
-7.0,8,2.498011
13.0,9,2.549368
-4.0,5,2.601975
19.0,3,2.655799
13.0,9,2.708063
-13.0,35,2.780526
-3.0,25,2.846778
-4.0,5,2.899612
-2.0,3,2.947358
14.0,8,3.003089
-5.0,6,3.05829
2.0,20,3.118289
15.0,7,3.171313
3.0,19,3.229878
1.0,21,3.291428
-3.0,4,3.342277
-6.0,7,3.393854
8.0,14,3.451479
10.0,12,3.507705
-2.0,3,3.560074
20.0,2,3.60628
-5.0,6,3.660463
-7.0,8,3.714449
-6.0,7,3.764994
-7.0,8,3.819842
-24.0,46,3.895457
-7.0,8,3.947208
1.0,21,4.010605
-8.0,9,4.065536
-5.0,6,4.120126
-7.0,8,4.174036
-4.0,5,4.226125
15.0,7,4.278722
17.0,5,4.329649
-15.0,16,4.38981
6.0,16,4.44843
9.0,13,4.506717
15.0,7,4.564723
-13.0,14,4.626209
-4.0,5,4.67844
-3.0,4,4.72858
8.0,14,4.782082
2.0,20,4.839358
5.0,17,4.900886
9.0,13,4.954618
13.0,9,5.010585
18.0,4,5.059663
-4.0,5,5.111211
-10.0,11,5.166368
-2.0,3,5.216915
-5.0,6,5.268707
18.0,4,5.318337
-1.0,2,5.368334
14.0,8,5.419272
-17.0,18,5.476385
12.0,10,5.533432
-3.0,4,5.585846
-9.0,10,5.640111
-19.0,20,5.69927
13.0,9,5.751086
15.0,7,5.804127
-3.0,4,5.854933
-8.0,9,5.910218
-2.0,24,5.97652
11.0,11,6.033436
-5.0,6,6.085811
-2.0,3,6.136993
14.0,8,6.19366
-3.0,4,6.246919
17.0,5,6.296833
7.0,15,6.354059
6.0,16,6.416854
-8.0,9,6.46959
-25.0,26,6.533771
4.0,18,6.594081
14.0,8,6.646024
-2.0,3,6.69795
-5.0,6,6.750683
-37.0,38,6.821547
-1.0,2,6.870129
-9.0,10,6.925836
-8.0,9,6.981593
-4.0,5,7.033768
11.0,11,7.087958
-2.0,3,7.140391
-14.0,15,7.199046
17.0,5,7.255361
17.0,5,7.309577
9.0,13,7.364506
14.0,8,7.415446
16.0,6,7.46769
-1.0,2,7.517088
-3.0,4,7.567842
-8.0,9,7.621724
17.0,5,7.672349
-8.0,9,7.724072
19.0,3,7.776981
-5.0,6,7.828254
-4.0,5,7.879384
7.0,15,7.936306
13.0,9,7.991556
14.0,8,8.04786
-13.0,14,8.106693
19.0,3,8.155781
14.0,8,8.208351
-3.0,4,8.260628
-4.0,5,8.313181
10.0,12,8.367658
-6.0,7,8.422697
-11.0,12,8.481159
6.0,16,8.538268
-12.0,13,8.594306
20.0,2,8.641327
20.0,2,8.694845
18.0,4,8.745034
-3.0,4,8.797521
-2.0,3,8.848957
-33.0,34,8.917241
16.0,6,8.970039
-11.0,12,9.02798
-15.0,16,9.087088
-17.0,18,9.146196
18.0,4,9.199439
-13.0,14,9.257154
15.0,7,9.306559
-8.0,9,9.362201
6.0,16,9.420407
-11.0,12,9.475043
18.0,4,9.524457
14.0,8,9.581451
-4.0,5,9.634374
18.0,4,9.688738
-10.0,11,9.74604
-27.0,28,9.811521
17.0,5,9.865551
-9.0,10,9.920136
13.0,9,9.974956
16.0,6,10.028173
13.0,9,10.079931
16.0,6,10.137799
-23.0,24,10.202253
-6.0,7,10.258489
15.0,7,10.313987
-10.0,11,10.370867
-3.0,4,10.422984
13.0,9,10.47983
19.0,3,10.529273
-8.0,9,10.585505
7.0,15,10.647257
16.0,6,10.703571
18.0,4,10.753804
-10.0,32,10.820909
-10.0,11,10.876477
14.0,8,10.932578
18.0,4,10.986545
15.0,7,11.043081
-12.0,13,11.099986
-7.0,8,11.154708
-11.0,12,11.21026
-7.0,8,11.263765
-5.0,6,11.323711
-10.0,11,11.380569
12.0,10,11.432902
-9.0,10,11.4908
13.0,9,11.543309
-6.0,7,11.598748
3.0,19,11.661482
-19.0,20,11.72417
13.0,9,11.780576
8.0,14,11.833813
-9.0,10,11.889171
-9.0,10,11.944165
18.0,4,11.993454
-10.0,11,12.049755
-8.0,9,12.103758
-7.0,8,12.158815
-3.0,4,12.209965
-2.0,3,12.261638
1.0,21,12.319853
-5.0,6,12.374448
-4.0,5,12.425886
20.0,2,12.471543
-29.0,30,12.540892
-8.0,9,12.597431
18.0,4,12.645898
12.0,10,12.70331
11.0,11,12.758688
19.0,3,12.811629
11.0,11,12.867302
-7.0,8,12.920194
-2.0,3,12.972356
-9.0,10,13.027296
-6.0,7,13.081812
16.0,6,13.134637
-11.0,12,13.189255
-17.0,18,13.25193
17.0,5,13.29982
-16.0,17,13.356785
12.0,10,13.414543
-2.0,3,13.466946
11.0,11,13.523752
-9.0,10,13.578979
-18.0,19,13.64157
17.0,5,13.69049
16.0,6,13.740836
-9.0,10,13.796992
-7.0,8,13.85286
-8.0,9,13.907842
-9.0,10,13.963724
-11.0,12,14.020874
17.0,5,14.069574
16.0,6,14.122586
15.0,7,14.174104
-18.0,19,14.235168
11.0,11,14.293049
-9.0,10,14.346814
18.0,4,14.399594
9.0,13,14.453504
15.0,7,14.504434
8.0,14,14.565997
-9.0,10,14.620694
18.0,4,14.674043
-27.0,28,14.741317
12.0,10,14.800198
18.0,4,14.850385
-10.0,11,14.903292
-7.0,8,14.957623
3.0,19,15.018996
14.0,8,15.073831
9.0,13,15.127597
-1.0,23,15.189429
20.0,2,15.23753
14.0,8,15.288938
19.0,3,15.334736
-12.0,13,15.395502
-10.0,11,15.450068
-2.0,3,15.500965
-9.0,10,15.558437
-2.0,24,15.620447
-3.0,4,15.670652
20.0,2,15.720617
18.0,4,15.77446
-6.0,7,15.827967
-7.0,8,15.88139
2.0,20,15.941348
4.0,18,16.003247
-8.0,9,16.060709
11.0,11,16.113061
-4.0,5,16.167173
0.0,22,16.226975
20.0,2,16.281547
-2.0,3,16.330864
-3.0,4,16.382124
15.0,7,16.434582
-8.0,9,16.489248
-6.0,7,16.54125
-8.0,9,16.595123
-3.0,4,16.647485
1.0,21,16.713457
17.0,5,16.762768
19.0,3,16.811573
-2.0,3,16.860316
18.0,4,16.910583
-4.0,5,16.964332
-6.0,7,17.016039
3.0,19,17.074832
-6.0,7,17.127939
-11.0,12,17.183167
-11.0,12,17.242081
17.0,5,17.297317
16.0,6,17.350761
-8.0,9,17.404021
13.0,9,17.455749
11.0,11,17.514028
-8.0,9,17.56857
-8.0,9,17.624925
-3.0,25,17.6925
9.0,13,17.751046
17.0,5,17.804147
10.0,12,17.863588
-8.0,9,17.917909
-11.0,12,17.9752
-14.0,15,18.035172
-6.0,7,18.088965
-10.0,11,18.145823
18.0,4,18.196049
14.0,8,18.252551
-5.0,6,18.304302
-6.0,7,18.35703
5.0,17,18.413028
-3.0,4,18.46582
13.0,9,18.517336
11.0,11,18.570333
-11.0,12,18.627805
-9.0,10,18.683843
4.0,18,18.745975
-10.0,11,18.804021
13.0,9,18.857039
-3.0,4,18.906752
-1.0,2,18.95752
-4.0,5,19.007402
-8.0,9,19.061002
-4.0,5,19.112448
-3.0,4,19.163112
15.0,7,19.214756
-2.0,24,19.276888
16.0,6,19.328743
-12.0,13,19.38675
17.0,5,19.438714
-6.0,7,19.49543
20.0,2,19.542516
-10.0,11,19.600143
-3.0,4,19.653403
-5.0,27,19.721208
15.0,7,19.773649
-10.0,11,19.827644
17.0,5,19.883738
-15.0,16,19.944659
-8.0,9,20.000398
17.0,5,20.054259
18.0,4,20.103649
-7.0,8,20.157391
19.0,3,20.207066
-22.0,23,20.270772
18.0,4,20.326301
-13.0,14,20.383694
15.0,7,20.43976
-2.0,3,20.491133
7.0,15,20.545896
-4.0,5,20.598242
15.0,7,20.648604
-14.0,36,20.719162
19.0,3,20.768357
-2.0,3,20.821819
16.0,6,20.871625
14.0,8,20.922893
16.0,6,20.975865
5.0,17,21.035126
-4.0,5,21.089001
20.0,2,21.147823
-4.0,5,21.20006
16.0,6,21.25222
14.0,8,21.304707
-6.0,7,21.357239
20.0,2,21.410813
-6.0,7,21.465274
-13.0,14,21.52062
17.0,5,21.574903
0.0,22,21.636676
-14.0,15,21.695186
17.0,5,21.749044
13.0,9,21.801088
-10.0,11,21.861287
18.0,4,21.918136
18.0,4,21.970616
-3.0,4,22.024516
18.0,4,22.078835
15.0,7,22.130433
-4.0,26,22.198
-4.0,5,22.250255
-4.0,5,22.30655
17.0,5,22.359584
12.0,10,22.416055
-24.0,25,22.484271
-9.0,10,22.541469
5.0,17,22.607968
-8.0,9,22.668083
-9.0,10,22.724007
-5.0,6,22.779942
-3.0,4,22.833858
-3.0,4,22.888928
-4.0,5,22.942379
14.0,8,23.00289
11.0,11,23.062008
19.0,3,23.110126
-6.0,7,23.164584
20.0,2,23.219388
-11.0,12,23.277999
3.0,19,23.336769
12.0,10,23.395239
14.0,8,23.451131
11.0,11,23.51143
5.0,17,23.577057
-4.0,5,23.632046
-3.0,4,23.686165
-4.0,5,23.740051
-15.0,16,23.802249
-5.0,6,23.860112
-20.0,21,23.924216
-3.0,4,23.976709
-6.0,7,24.031978
-14.0,15,24.090774
12.0,10,24.147802
-11.0,12,24.204063
16.0,6,24.256019
-9.0,10,24.310581
-5.0,6,24.364075
18.0,4,24.413495
-11.0,12,24.473983
-17.0,18,24.535769
14.0,8,24.594833
-15.0,16,24.656795
-7.0,8,24.714901
-9.0,10,24.772948
-4.0,5,24.827181
20.0,2,24.880717
9.0,13,24.944742
-3.0,4,24.999146
12.0,10,25.058513
-3.0,4,25.110904
-8.0,9,25.166133
-22.0,23,25.233108
-6.0,7,25.289675
-1.0,2,25.34005
-6.0,7,25.394772
14.0,8,25.449069
18.0,4,25.505003
-3.0,4,25.558839
-7.0,8,25.614506
-15.0,16,25.675686
14.0,8,25.728712
6.0,16,25.793094
12.0,10,25.853229
-8.0,9,25.908102
-7.0,8,25.963892
16.0,6,26.014202
-9.0,10,26.071559
17.0,5,26.127583
17.0,5,26.184242
-7.0,8,26.240184
-4.0,5,26.295577
-9.0,10,26.349459
-1.0,2,26.401015
-6.0,7,26.453135
-10.0,11,26.510852
19.0,3,26.562197
-1.0,23,26.626134
-6.0,7,26.67902
-5.0,6,26.734516
-1.0,2,26.785124
-6.0,7,26.839998
-5.0,6,26.894236
12.0,10,26.952267
13.0,9,27.005361
19.0,3,27.056083
-1.0,2,27.110159
-18.0,19,27.171721
-5.0,6,27.225389
13.0,9,27.278325
17.0,5,27.334467
-2.0,24,27.405634
15.0,7,27.459394
14.0,8,27.513662
17.0,5,27.571064
-14.0,36,27.648308
-9.0,10,27.707709
15.0,7,27.76579
-7.0,8,27.824343
-3.0,4,27.877115
20.0,2,27.930468
1.0,21,27.991986
17.0,5,28.049595
-7.0,8,28.105861
-9.0,10,28.162991
-5.0,6,28.218321
-6.0,7,28.272369
19.0,3,28.327761
13.0,9,28.38698
-15.0,16,28.44868
-1.0,2,28.503028
-4.0,5,28.556222
15.0,7,28.611406
19.0,3,28.662108
20.0,2,28.709461
-8.0,9,28.763459
-10.0,11,28.819475
13.0,9,28.877812
-8.0,9,28.935144
13.0,9,28.991563
-10.0,11,29.049661
-10.0,11,29.102201
16.0,6,29.157828
17.0,5,29.211542
5.0,17,29.272433
-15.0,16,29.331437
-12.0,13,29.389985
18.0,4,29.439092
0.0,22,29.503651
15.0,7,29.559669
17.0,5,29.610527
9.0,13,29.669591
-8.0,9,29.723168
-7.0,8,29.77638
-3.0,25,29.839549
-5.0,6,29.892926
14.0,8,29.951052
-6.0,7,30.00437
-5.0,6,30.059788
11.0,11,30.117023
19.0,3,30.17102
-3.0,4,30.22399
-10.0,11,30.281276
16.0,6,30.334517
-14.0,15,30.393936
-6.0,7,30.447991
17.0,5,30.497292
-8.0,9,30.552454
14.0,8,30.608155
-3.0,4,30.65973
-1.0,2,30.710288
-3.0,4,30.762494
14.0,8,30.818352
-3.0,4,30.871111
20.0,2,30.917134
7.0,15,30.973231
20.0,2,31.023148
11.0,11,31.081307
-1.0,2,31.131955
-2.0,3,31.183235
-4.0,5,31.234211
-1.0,2,31.281518
15.0,7,31.335269
17.0,5,31.385469
4.0,18,31.44703
-13.0,14,31.505914
-18.0,19,31.569394
18.0,4,31.619933
20.0,2,31.668794
-2.0,24,31.736262
16.0,6,31.792614
18.0,4,31.842088
-22.0,23,31.908324
