#{"t_start": 1718624560.9825315, "env_id": "None"}
r,l,t
-6.0,7,0.085166
-4.0,5,0.154945
-1.0,2,0.219407
-1.0,2,0.28484
-4.0,5,0.349567
-6.0,7,0.4199
-7.0,8,0.486683
-1.0,2,0.54807
-3.0,4,0.611032
19.0,3,0.674392
-8.0,9,0.741638
-10.0,11,0.80604
-11.0,12,0.87079
-2.0,3,0.937026
-3.0,4,1.000251
18.0,4,1.074433
-5.0,6,1.143813
-4.0,5,1.208565
-3.0,4,1.275359
-5.0,6,1.351458
-3.0,4,1.415313
20.0,2,1.488781
-5.0,6,1.555464
-2.0,3,1.626987
-17.0,18,1.701388
18.0,4,1.777035
-2.0,3,1.847738
-5.0,6,1.916823
-9.0,10,1.995546
-2.0,3,2.070479
-14.0,15,2.147808
-5.0,6,2.218688
-4.0,5,2.288476
-1.0,2,2.350968
-3.0,4,2.42532
-3.0,4,2.499731
-2.0,3,2.573793
15.0,7,2.648691
-10.0,11,2.724062
-4.0,5,2.79123
-3.0,4,2.865548
-6.0,7,2.941442
-3.0,4,3.00942
-5.0,6,3.080061
-1.0,2,3.150589
9.0,13,3.227739
19.0,3,3.298054
-14.0,15,3.373359
-5.0,6,3.442913
19.0,3,3.516243
-2.0,3,3.585158
-8.0,9,3.664584
11.0,11,3.748829
-3.0,4,3.821681
19.0,3,3.897245
-1.0,2,3.971077
15.0,7,4.042237
15.0,7,4.115624
15.0,7,4.192997
-6.0,7,4.260827
-3.0,4,4.329933
16.0,6,4.403309
-2.0,3,4.475826
19.0,3,4.547406
3.0,19,4.616097
-2.0,3,4.680953
19.0,3,4.754038
17.0,5,4.832462
-8.0,9,4.904684
-6.0,7,4.980832
-1.0,2,5.052855
-6.0,7,5.12254
-6.0,7,5.195859
19.0,3,5.269882
-7.0,8,5.345602
-6.0,7,5.426498
-7.0,8,5.4916
-2.0,3,5.559962
14.0,8,5.633888
-2.0,3,5.707762
19.0,3,5.77891
-7.0,8,5.856941
-1.0,2,5.928352
-2.0,3,6.002469
-5.0,6,6.069959
17.0,5,6.135138
14.0,8,6.210081
-9.0,10,6.278172
19.0,3,6.352486
18.0,4,6.441499
15.0,7,6.570133
-3.0,4,6.657389
-3.0,4,6.724451
-14.0,15,6.806684
-2.0,3,6.877393
-2.0,3,6.952359
-6.0,7,7.030929
-2.0,3,7.101904
14.0,8,7.179299
-7.0,8,7.254848
-2.0,3,7.32171
-4.0,5,7.395025
13.0,9,7.466139
-7.0,8,7.544389
16.0,6,7.61828
