#{"t_start": 1717480250.1321762, "env_id": "None"}
r,l,t
-1.0,2,0.079072
-1.0,2,0.156978
20.0,2,0.236597
-1.0,2,0.314507
-1.0,2,0.391721
20.0,2,0.471717
-1.0,2,0.550142
-1.0,2,0.627747
-1.0,2,0.702699
-1.0,2,0.781221
20.0,2,0.861074
-1.0,2,0.935439
-1.0,2,1.015249
20.0,2,1.089025
-1.0,2,1.161773
-1.0,2,1.235604
20.0,2,1.314739
-1.0,2,1.389196
-1.0,2,1.468653
-1.0,2,1.547448
-1.0,2,1.626474
20.0,2,1.704436
-1.0,2,1.781336
-1.0,2,1.859308
-1.0,2,1.938101
-1.0,2,2.013283
-1.0,2,2.087734
-1.0,2,2.165865
20.0,2,2.244292
-1.0,2,2.319078
-1.0,2,2.395348
-1.0,2,2.472503
-1.0,2,2.548903
-1.0,2,2.623637
-1.0,2,2.698676
20.0,2,2.778228
-1.0,2,2.856711
-1.0,2,2.935601
-1.0,2,3.009637
-1.0,2,3.086976
-1.0,2,3.164456
-1.0,2,3.241343
20.0,2,3.318786
-1.0,2,3.395311
20.0,2,3.473205
-1.0,2,3.5507
-1.0,2,3.628489
-1.0,2,3.706371
-1.0,2,3.783864
20.0,2,3.862558
-1.0,2,3.941723
20.0,2,4.020493
20.0,2,4.098925
-1.0,2,4.175305
-1.0,2,4.252828
-1.0,2,4.331289
-1.0,2,4.409414
-1.0,2,4.486658
-1.0,2,4.565097
-1.0,2,4.641385
-1.0,2,4.719079
-1.0,2,4.796712
-1.0,2,4.873885
-1.0,2,4.948914
-1.0,2,5.027349
-1.0,2,5.10653
-1.0,2,5.183915
-1.0,2,5.261164
-1.0,2,5.33836
-1.0,2,5.415265
-1.0,2,5.497783
20.0,2,5.57872
20.0,2,5.660004
-1.0,2,5.751187
-1.0,2,5.840282
-1.0,2,5.918298
20.0,2,5.990483
-1.0,2,6.064753
-1.0,2,6.141504
20.0,2,6.218636
-1.0,2,6.29581
-1.0,2,6.371575
-1.0,2,6.448941
-1.0,2,6.52538
20.0,2,6.603754
-1.0,2,6.680096
-1.0,2,6.754571
-1.0,2,6.831942
20.0,2,6.909382
-1.0,2,6.982439
-1.0,2,7.06015
20.0,2,7.135785
-1.0,2,7.21203
20.0,2,7.289449
-1.0,2,7.366497
-1.0,2,7.4448
-1.0,2,7.522052
20.0,2,7.599217
-1.0,2,7.67562
-1.0,2,7.776219
-1.0,2,7.853447
-1.0,2,7.927408
-1.0,2,8.00266
-1.0,2,8.079674
-1.0,2,8.15603
-1.0,2,8.232706
-1.0,2,8.30871
-1.0,2,8.382994
-1.0,2,8.460001
-1.0,2,8.533656
-1.0,2,8.610177
-1.0,2,8.681908
-1.0,2,8.759383
-1.0,2,8.837516
20.0,2,8.914175
20.0,2,8.99253
-1.0,2,9.067734
-1.0,2,9.145628
-1.0,2,9.218826
20.0,2,9.295667
20.0,2,9.372984
-1.0,2,9.450369
-1.0,2,9.526488
-1.0,2,9.602249
-1.0,2,9.68001
-1.0,2,9.756999
-1.0,2,9.830249
-1.0,2,9.908863
-1.0,2,9.988037
-1.0,2,10.064859
-1.0,2,10.138664
-1.0,2,10.216037
20.0,2,10.293312
-1.0,2,10.368068
-1.0,2,10.445329
-1.0,2,10.521404
-1.0,2,10.594021
-1.0,2,10.671104
-1.0,2,10.742209
-1.0,2,10.818497
-1.0,2,10.896106
-1.0,2,10.974053
-1.0,2,11.047914
-1.0,2,11.121631
20.0,2,11.19822
-1.0,2,11.273628
20.0,2,11.354527
-1.0,2,11.432148
-1.0,2,11.510073
-1.0,2,11.58731
-1.0,2,11.663171
-1.0,2,11.738033
-1.0,2,11.816213
-1.0,2,11.893278
-1.0,2,11.970678
-1.0,2,12.048017
-1.0,2,12.125199
-1.0,2,12.202833
-1.0,2,12.278463
-1.0,2,12.35534
-1.0,2,12.430605
-1.0,2,12.50532
20.0,2,12.581821
20.0,2,12.65454
-1.0,2,12.72807
20.0,2,12.808518
-1.0,2,12.885169
-1.0,2,12.961432
20.0,2,13.03513
-1.0,2,13.114708
-1.0,2,13.191201
-1.0,2,13.268388
-1.0,2,13.341771
20.0,2,13.418683
-1.0,2,13.495763
20.0,2,13.572624
20.0,2,13.650081
-1.0,2,13.726404
20.0,2,13.805576
-1.0,2,13.883453
-1.0,2,13.961296
-1.0,2,14.039786
-1.0,2,14.116084
20.0,2,14.193357
-1.0,2,14.269607
-1.0,2,14.348715
-1.0,2,14.427438
-1.0,2,14.501901
-1.0,2,14.575965
-1.0,2,14.650614
-1.0,2,14.726456
-1.0,2,14.803718
-1.0,2,14.882282
-1.0,2,14.956075
-1.0,2,15.030191
-1.0,2,15.106845
-1.0,2,15.181118
20.0,2,15.25942
-1.0,2,15.3358
-1.0,2,15.41184
20.0,2,15.492006
-1.0,2,15.569725
-1.0,2,15.645463
-1.0,2,15.719658
-1.0,2,15.798732
-1.0,2,15.877259
20.0,2,15.95558
-1.0,2,16.029783
-1.0,2,16.107521
-1.0,2,16.181875
-1.0,2,16.258966
-1.0,2,16.335803
-1.0,2,16.412783
