#{"t_start": 1717480409.1390793, "env_id": "None"}
r,l,t
20.0,2,0.070338
-1.0,2,0.133573
-1.0,2,0.196195
-1.0,2,0.260287
-1.0,2,0.32585
-1.0,2,0.390059
-1.0,2,0.455027
20.0,2,0.52598
20.0,2,0.597377
20.0,2,0.664957
20.0,2,0.73641
-1.0,2,0.803002
20.0,2,0.875008
20.0,2,0.947417
-1.0,2,1.013198
-1.0,2,1.07936
-1.0,2,1.145188
-1.0,2,1.211497
20.0,2,1.275362
20.0,2,1.346259
-1.0,2,1.412351
-1.0,2,1.478893
-1.0,2,1.546746
-1.0,2,1.612831
20.0,2,1.681314
20.0,2,1.750752
20.0,2,1.821979
-1.0,2,1.886241
20.0,2,1.95629
-1.0,2,2.020666
20.0,2,2.090679
20.0,2,2.160183
20.0,2,2.231829
20.0,2,2.303522
-1.0,2,2.372362
-1.0,2,2.438037
20.0,2,2.500685
20.0,2,2.562636
-1.0,2,2.629625
20.0,2,2.700946
-1.0,2,2.766618
-1.0,2,2.830883
20.0,2,2.899575
-1.0,2,2.963412
20.0,2,3.030659
20.0,2,3.098106
-1.0,2,3.167574
20.0,2,3.239363
-1.0,2,3.302349
-1.0,2,3.369457
20.0,2,3.440462
-1.0,2,3.505169
-1.0,2,3.570049
-1.0,2,3.637024
20.0,2,3.704742
-1.0,2,3.770809
-1.0,2,3.840767
-1.0,2,3.906634
20.0,2,3.973869
20.0,2,4.043959
-1.0,2,4.112373
-1.0,2,4.17672
-1.0,2,4.241114
-1.0,2,4.306904
-1.0,2,4.372841
20.0,2,4.444834
-1.0,2,4.514732
20.0,2,4.582241
-1.0,2,4.64863
20.0,2,4.716537
-1.0,2,4.783926
-1.0,2,4.850599
-1.0,2,4.9158
-1.0,2,4.98534
-1.0,2,5.055708
-1.0,2,5.125689
-1.0,2,5.195238
20.0,2,5.264112
-1.0,2,5.332096
20.0,2,5.404548
-1.0,2,5.4733
-1.0,2,5.539185
20.0,2,5.601779
20.0,2,5.664447
20.0,2,5.732727
20.0,2,5.803307
20.0,2,5.873139
20.0,2,5.941261
