#{"t_start": 1718351054.7303264, "env_id": "None"}
r,l,t
17.0,5,0.067334
-7.0,8,0.128776
-6.0,7,0.194116
14.0,8,0.258169
-5.0,6,0.327086
11.0,11,0.382799
10.0,12,0.438911
-2.0,3,0.509571
-5.0,6,0.580658
16.0,6,0.635825
-4.0,5,0.696907
-8.0,9,0.76229
19.0,3,0.826825
4.0,18,0.890823
16.0,6,0.953272
16.0,6,1.015481
10.0,12,1.084533
17.0,5,1.150295
19.0,3,1.215647
-4.0,5,1.278475
19.0,3,1.350698
-9.0,31,1.428543
14.0,8,1.489219
-1.0,2,1.548838
-10.0,11,1.621046
12.0,10,1.691349
15.0,7,1.755656
17.0,5,1.831451
14.0,8,1.892913
10.0,12,1.960209
-6.0,7,2.023998
19.0,3,2.091921
17.0,5,2.154483
17.0,5,2.218189
-7.0,8,2.283363
-2.0,3,2.34919
-12.0,13,2.427698
4.0,18,2.494558
13.0,9,2.558881
-9.0,10,2.638561
10.0,12,2.706391
-3.0,25,2.7811
-8.0,9,2.862526
12.0,10,2.940048
-3.0,4,3.021669
-3.0,4,3.100181
11.0,11,3.16538
13.0,9,3.239702
5.0,17,3.314466
-3.0,4,3.386448
-2.0,3,3.472577
-14.0,15,3.549816
-2.0,3,3.616209
-5.0,6,3.697311
13.0,9,3.764784
-10.0,11,3.838597
-8.0,9,3.920965
-7.0,8,3.998306
-4.0,5,4.065932
-6.0,7,4.151973
-20.0,21,4.225761
11.0,11,4.287352
13.0,9,4.356609
17.0,5,4.417139
18.0,4,4.48395
-11.0,12,4.55084
-2.0,3,4.614689
-2.0,3,4.682647
-5.0,6,4.751783
12.0,10,4.810933
19.0,3,4.882438
18.0,4,4.94737
-12.0,13,5.015405
-17.0,18,5.092313
19.0,3,5.15479
-2.0,3,5.224481
19.0,3,5.300333
3.0,19,5.375057
9.0,13,5.450311
2.0,20,5.528644
-3.0,4,5.607031
16.0,6,5.668881
15.0,7,5.736313
-10.0,11,5.805205
-24.0,25,5.880407
-3.0,4,5.951006
-1.0,2,6.020334
-4.0,5,6.092045
-2.0,24,6.162235
-11.0,12,6.230958
20.0,2,6.299475
-5.0,6,6.368315
-2.0,3,6.438171
8.0,14,6.501344
-4.0,5,6.568946
-1.0,23,6.638987
-9.0,10,6.71109
15.0,7,6.771454
12.0,10,6.836475
19.0,3,6.913809
12.0,10,6.980422
17.0,5,7.045661
-1.0,2,7.119253
-1.0,23,7.190468
13.0,9,7.256361
-4.0,26,7.329267
-14.0,15,7.405223
12.0,10,7.472812
-10.0,11,7.540543
-6.0,7,7.610806
-6.0,7,7.686651
14.0,8,7.748227
-6.0,7,7.82531
-19.0,20,7.897782
-22.0,23,7.970277
13.0,9,8.044111
15.0,7,8.103291
-5.0,6,8.177923
-1.0,23,8.261951
9.0,13,8.324009
-20.0,21,8.410799
-4.0,5,8.485979
14.0,8,8.546516
18.0,4,8.606533
-1.0,2,8.678113
-6.0,7,8.751887
-9.0,10,8.825848
19.0,3,8.898491
-14.0,15,8.972435
-5.0,6,9.036442
16.0,6,9.103473
-13.0,14,9.180181
8.0,14,9.246122
4.0,18,9.319844
-2.0,3,9.388163
