#{"t_start": 1731040741.757643, "env_id": "None"}
r,l,t
-522.0,525,0.112775
-1.0,7,0.114994
-2.0,6,0.116618
-3.0,15,0.120495
-1.0,4,0.121599
-1.0,7,0.123679
-1.0,8,0.126
25.0,1,0.126424
-1.0,3,0.127402
-2.0,9,0.129798
-1.0,4,0.131034
-1.0,7,0.133105
-1.0,1,0.133503
-2.0,4,0.138174
25.0,1,0.138654
-1.0,1,0.139059
-1.0,4,0.140477
-1.0,5,0.14205
-1.0,5,0.143664
-3.0,6,0.145113
25.0,6,0.146927
-1.0,5,0.14848
-1.0,4,0.149722
-550.0,554,0.264925
-1.0,2,0.265758
25.0,4,0.267063
-1.0,4,0.268367
-1.0,1,0.268786
-1.0,5,0.270341
-1.0,3,0.271156
-1.0,4,0.272424
-250.0,254,0.325812
-1.0,2,0.326596
-1.0,2,0.327299
-2.0,8,0.329454
-1.0,8,0.331819
-1.0,4,0.333049
-1.0,11,0.336225
-1.0,7,0.338272
-1.0,7,0.340529
-1.0,5,0.342142
-1.0,7,0.344213
-1.0,2,0.344886
25.0,1,0.345297
-1.0,7,0.347351
-2.0,11,0.350292
-1.0,6,0.352078
-1.0,3,0.353033
-1.0,8,0.355416
-1.0,9,0.357983
-1.0,4,0.359201
-1.0,6,0.361044
-1.0,4,0.362281
-1.0,5,0.363787
-1.0,5,0.365271
-2.0,8,0.367426
-2.0,4,0.368481
-1.0,5,0.370024
25.0,1,0.370461
-1.0,3,0.371443
-1.0,4,0.37267
-1.0,4,0.373889
-2.0,10,0.376581
-1.0,9,0.379152
-2.0,3,0.379945
-2.0,11,0.382945
-1.0,1,0.383362
-1.0,2,0.384034
-1.0,5,0.385508
25.0,1,0.385917
-1.0,2,0.386594
-1.0,10,0.389421
25.0,1,0.389836
-2.0,6,0.391459
-134.0,148,0.418719
-1.0,6,0.420585
-1.0,2,0.421126
25.0,1,0.421542
-2.0,6,0.423133
-1.0,3,0.424194
-1.0,3,0.425149
25.0,3,0.426129
-1.0,10,0.429011
-1.0,5,0.430372
-2.0,5,0.431706
-1.0,5,0.433234
-1.0,5,0.434734
-1.0,4,0.435989
-1.0,8,0.438308
-1.0,2,0.438984
-1.0,1,0.439394
-1229.0,1238,0.693811
-1.0,3,0.694938
-3.0,10,0.697463
25.0,3,0.698462
-1.0,5,0.699991
-2.0,7,0.701692
25.0,4,0.702955
-1.0,4,0.704229
-1.0,8,0.706536
