#{"t_start": 1732077359.5800855, "env_id": "None"}
r,l,t
-100.0,100,0.025699
-100.0,100,0.049599
-100.0,100,0.072899
-100.0,100,0.095724
-100.0,100,0.118598
-100.0,100,0.141102
25.0,1,0.141722
-100.0,100,0.164479
-100.0,100,0.187283
-100.0,100,0.210197
-100.0,100,0.232528
-100.0,100,0.254827
-100.0,100,0.277807
-100.0,100,0.301235
-100.0,100,0.323973
-100.0,100,0.347544
-100.0,100,0.371314
-100.0,100,0.394861
-100.0,100,0.418134
-100.0,100,0.442342
-100.0,100,0.465927
-100.0,100,0.489057
-100.0,100,0.512092
-98.5,100,0.535022
-100.0,100,0.56096
-100.0,100,0.583906
-100.0,100,0.606262
-100.0,100,0.62907
-100.0,100,0.651638
-100.0,100,0.674277
25.0,1,0.674842
-100.0,100,0.69816
-100.0,100,0.720881
-98.5,100,0.743461
-100.0,100,0.766078
-100.0,100,0.788082
-100.0,100,0.810202
-100.0,100,0.832679
-100.0,100,0.854987
-98.5,100,0.878445
-100.0,100,0.901842
-100.0,100,0.924518
-100.0,100,0.946609
-100.0,100,0.968579
-100.0,100,0.991385
-100.0,100,1.014477
-100.0,100,1.03716
-100.0,100,1.059228
-100.0,100,1.081808
-100.0,100,1.104885
25.0,1,1.105441
-100.0,100,1.127591
-100.0,100,1.150137
-100.0,100,1.172138
-100.0,100,1.194275
-100.0,100,1.217139
-100.0,100,1.239794
-98.5,100,1.262496
-100.0,100,1.284765
-100.0,100,1.307651
-100.0,100,1.32987
-100.0,100,1.352909
-100.0,100,1.375858
-100.0,100,1.398587
-99.0,100,1.421294
-100.0,100,1.443976
-100.0,100,1.466034
-100.0,100,1.488683
-100.0,100,1.511897
-100.0,100,1.534576
-100.0,100,1.556774
-100.0,100,1.579719
-100.0,100,1.60226
-100.0,100,1.6248
-100.0,100,1.647414
-100.0,100,1.67321
-100.0,100,1.695767
-100.0,100,1.717915
-100.0,100,1.74
-98.5,100,1.762915
-100.0,100,1.785311
-100.0,100,1.807492
-100.0,100,1.829653
-100.0,100,1.851794
-100.0,100,1.873729
25.0,1,1.874278
-100.0,100,1.8963
-100.0,100,1.919035
-100.0,100,1.941399
-100.0,100,1.963639
-98.5,100,1.985915
-100.0,100,2.007904
-100.0,100,2.030189
25.0,1,2.030732
-100.0,100,2.053014
-100.0,100,2.075059
-100.0,100,2.097226
-100.0,100,2.119372
-100.0,100,2.141526
-100.0,100,2.163933
-47.0,47,2.175177
-44.0,44,2.185056
-65.0,65,2.199661
-50.0,50,2.210677
-75.0,75,2.227182
-100.0,100,2.248994
-58.0,58,2.261162
-100.0,100,2.283598
-16.0,16,2.287318
24.0,2,2.287871
-100.0,100,2.308875
-100.0,100,2.33138
-100.0,100,2.353617
-91.0,91,2.373737
-8.0,8,2.375673
-4.0,4,2.376687
-100.0,100,2.398901
-100.0,100,2.420844
-100.0,100,2.442554
-100.0,100,2.463827
-48.0,48,2.474807
-100.0,100,2.497344
-16.5,18,2.501795
-100.0,100,2.523224
-100.0,100,2.545365
-100.0,100,2.566606
-100.0,100,2.588716
-22.0,22,2.593823
-50.0,50,2.604753
-100.0,100,2.626451
-100.0,100,2.648579
-100.0,100,2.670513
-48.0,48,2.681334
-21.0,21,2.686473
-54.0,54,2.701556
-7.5,8,2.703427
-29.0,29,2.710062
-4.0,5,2.711367
-19.0,19,2.715182
-100.0,100,2.736943
-100.0,100,2.758722
-100.0,100,2.781023
-91.0,91,2.80078
-15.5,16,2.804265
-28.0,28,2.810408
-100.0,100,2.832424
-100.0,100,2.854252
-35.0,35,2.861778
-100.0,100,2.883516
-55.0,55,2.895781
-10.0,10,2.898181
-100.0,100,2.920225
-41.0,41,2.929624
-20.0,20,2.934277
-15.0,15,2.937577
-90.0,90,2.957088
-100.0,100,2.979183
-99.0,100,3.000907
-52.0,52,3.012412
-51.0,51,3.023725
-78.0,78,3.040683
-49.0,49,3.051299
-3.5,4,3.052197
25.0,1,3.052653
-54.0,54,3.064475
-100.0,100,3.086193
-94.0,94,3.107013
-35.0,35,3.114973
-23.0,23,3.120064
-14.0,14,3.123078
-100.0,100,3.144936
-100.0,100,3.166644
-100.0,100,3.188406
-31.0,31,3.195335
-50.0,50,3.206338
-53.0,53,3.217828
-15.0,15,3.221306
-100.0,100,3.243091
-21.0,21,3.247922
25.0,1,3.248394
-100.0,100,3.269861
25.0,1,3.270435
-41.0,41,3.279566
25.0,1,3.280049
-6.0,6,3.281526
-50.0,50,3.292724
-100.0,100,3.314291
-13.0,13,3.317351
-31.0,31,3.323803
-100.0,100,3.346028
-33.5,34,3.353533
25.0,1,3.354054
-57.0,57,3.367054
-100.0,100,3.389261
-90.0,90,3.409235
25.0,1,3.409737
-36.0,36,3.418005
-44.0,44,3.42767
-23.0,23,3.432944
-42.0,42,3.442329
