#{"t_start": 1718348188.3987272, "env_id": "None"}
r,l,t
14.0,8,0.061069
10.0,12,0.111392
-2.0,3,0.163487
-3.0,4,0.216401
15.0,7,0.267319
-4.0,5,0.320652
-25.0,26,0.378915
17.0,5,0.428201
-14.0,15,0.483621
-3.0,4,0.537469
12.0,10,0.597485
13.0,9,0.65084
-21.0,22,0.718748
-7.0,8,0.780328
-5.0,6,0.838737
4.0,18,0.91001
-4.0,5,0.969213
18.0,4,1.02178
-10.0,11,1.080945
3.0,19,1.142412
-7.0,8,1.204954
-4.0,5,1.260718
-2.0,3,1.318885
-17.0,18,1.387176
-2.0,3,1.446361
-14.0,15,1.512514
8.0,14,1.578869
15.0,7,1.634246
20.0,2,1.693633
11.0,11,1.752303
-12.0,13,1.813831
-9.0,10,1.875716
-8.0,9,1.936337
-4.0,5,1.99187
10.0,12,2.051026
-38.0,39,2.13212
-7.0,8,2.193091
18.0,4,2.255628
-2.0,3,2.315241
12.0,10,2.369974
-5.0,6,2.426454
-7.0,8,2.487349
1.0,21,2.558794
-1.0,2,2.61249
-5.0,6,2.666802
-5.0,6,2.725427
8.0,14,2.792007
19.0,3,2.84481
-9.0,10,2.904314
-2.0,24,2.969656
16.0,6,3.023817
-8.0,9,3.080883
9.0,13,3.138412
-13.0,14,3.204637
-11.0,12,3.264218
-10.0,11,3.323779
-1.0,23,3.395945
-7.0,8,3.45718
-2.0,3,3.512176
11.0,11,3.569198
1.0,21,3.631402
11.0,11,3.6874
13.0,9,3.740871
0.0,22,3.80664
-7.0,8,3.865582
17.0,5,3.917932
-11.0,12,3.982165
-8.0,9,4.041717
18.0,4,4.104368
-5.0,6,4.165336
12.0,10,4.228915
-7.0,8,4.290755
-8.0,9,4.34941
6.0,16,4.408647
-7.0,8,4.465332
15.0,7,4.529738
-12.0,13,4.590946
-11.0,12,4.654826
-13.0,14,4.720517
-8.0,9,4.782982
-13.0,14,4.849807
-6.0,7,4.916992
17.0,5,4.98189
18.0,4,5.044333
-1.0,2,5.099412
-6.0,7,5.157164
19.0,3,5.220001
15.0,7,5.274124
-3.0,4,5.329874
-8.0,9,5.390083
-10.0,11,5.449347
19.0,3,5.501669
-6.0,7,5.559153
11.0,11,5.616718
-19.0,20,5.686506
-8.0,9,5.744872
-20.0,21,5.811393
10.0,12,5.869175
-7.0,8,5.930324
15.0,7,5.984653
-3.0,4,6.043886
0.0,22,6.107605
-7.0,8,6.164976
-13.0,14,6.227109
-1.0,2,6.28337
-9.0,10,6.34874
-13.0,14,6.40917
-18.0,19,6.479265
13.0,9,6.544394
-17.0,18,6.612391
14.0,8,6.679764
-3.0,4,6.735508
-13.0,14,6.796595
12.0,10,6.863139
-10.0,11,6.924317
-4.0,5,6.98047
3.0,19,7.04162
16.0,6,7.104506
-4.0,5,7.161531
14.0,8,7.216789
11.0,11,7.283707
-8.0,9,7.341852
15.0,7,7.397305
-4.0,5,7.452479
19.0,3,7.512629
-11.0,12,7.574527
13.0,9,7.639276
16.0,6,7.693109
-4.0,5,7.747303
-7.0,8,7.808065
17.0,5,7.87074
-8.0,9,7.929701
11.0,11,7.993131
-4.0,5,8.054636
-3.0,4,8.11203
-3.0,4,8.167375
-24.0,25,8.236881
-10.0,11,8.298605
16.0,6,8.359925
-11.0,12,8.421035
-5.0,6,8.484169
-11.0,12,8.545923
-4.0,5,8.60401
13.0,9,8.669579
12.0,10,8.727836
-4.0,5,8.786922
20.0,2,8.83602
-8.0,9,8.896249
-4.0,5,8.953982
15.0,7,9.018298
-6.0,7,9.073757
-6.0,7,9.133736
2.0,20,9.198049
-4.0,5,9.257753
-8.0,9,9.322957
-7.0,8,9.386814
16.0,6,9.450813
11.0,11,9.508342
8.0,14,9.56629
-2.0,3,9.622998
-7.0,8,9.682532
-10.0,11,9.747494
18.0,4,9.801574
15.0,7,9.867497
