#{"t_start": 1718618956.9193912, "env_id": "None"}
r,l,t
-3.0,4,0.070686
-6.0,7,0.144869
19.0,3,0.218723
18.0,4,0.2941
-4.0,5,0.366676
-7.0,8,0.438016
-5.0,6,0.512149
-6.0,7,0.585703
-8.0,9,0.655991
-7.0,8,0.727453
-8.0,9,0.797832
-5.0,6,0.872553
-1.0,2,0.946373
-2.0,3,1.017712
-4.0,5,1.091972
-3.0,4,1.166486
-1.0,2,1.240314
-1.0,2,1.309855
-2.0,3,1.385586
-5.0,6,1.461551
-8.0,9,1.543107
-5.0,6,1.623583
18.0,4,1.702818
-6.0,7,1.782768
-4.0,5,1.860039
-8.0,9,1.940917
-1.0,2,2.015152
-9.0,10,2.093509
15.0,7,2.174818
-5.0,6,2.251625
-3.0,4,2.330513
-1.0,2,2.405306
-1.0,2,2.476296
17.0,5,2.558274
-5.0,6,2.638217
-3.0,4,2.71756
-1.0,2,2.795037
-1.0,2,2.86729
13.0,9,2.942873
-3.0,4,3.016829
20.0,2,3.095113
-3.0,4,3.167626
-1.0,2,3.240552
-2.0,3,3.312004
-10.0,11,3.394414
20.0,2,3.468048
-6.0,7,3.542596
-2.0,3,3.618022
-4.0,5,3.69459
-3.0,4,3.767122
-5.0,6,3.845727
-2.0,3,3.918429
-5.0,6,3.995162
-3.0,4,4.073564
-5.0,6,4.145996
-4.0,5,4.226751
18.0,4,4.304765
-1.0,2,4.378495
-1.0,2,4.451361
-3.0,4,4.528781
-5.0,6,4.603033
-7.0,8,4.682412
-3.0,4,4.759382
-3.0,4,4.83394
-13.0,14,4.916142
-4.0,5,4.990572
-1.0,2,5.063477
20.0,2,5.134983
20.0,2,5.209924
-2.0,3,5.287015
-1.0,2,5.365371
-4.0,5,5.441884
20.0,2,5.51723
-3.0,4,5.593366
-3.0,4,5.66589
-6.0,7,5.741231
-3.0,4,5.816271
-2.0,3,5.892892
-5.0,6,5.964481
-5.0,6,6.04432
-4.0,5,6.120375
-8.0,9,6.198704
-7.0,8,6.279992
-1.0,2,6.358137
-3.0,4,6.433963
-2.0,3,6.508095
-1.0,2,6.578921
-6.0,7,6.659712
-2.0,3,6.730588
-3.0,4,6.807964
-7.0,8,6.885284
-4.0,5,6.957763
-2.0,3,7.030997
-2.0,3,7.100368
-3.0,4,7.177593
-2.0,3,7.252526
-5.0,6,7.329497
-2.0,3,7.398903
-4.0,5,7.477809
-5.0,6,7.549172
-3.0,4,7.622928
-2.0,3,7.699561
-2.0,3,7.77428
-1.0,2,7.84723
-5.0,6,7.92291
-8.0,9,8.000825
-4.0,5,8.076516
-1.0,2,8.152383
-6.0,7,8.230756
-9.0,10,8.312313
-3.0,4,8.384582
-2.0,3,8.46161
-7.0,8,8.542527
-3.0,4,8.619179
16.0,6,8.69198
17.0,5,8.763902
-5.0,6,8.835934
-2.0,3,8.908705
-7.0,8,8.987642
18.0,4,9.064838
-2.0,3,9.138438
-3.0,4,9.214334
-15.0,16,9.298745
-2.0,3,9.375603
13.0,9,9.457608
19.0,3,9.5341
-2.0,3,9.611861
-6.0,7,9.688146
-7.0,8,9.765096
-2.0,3,9.837842
-1.0,2,9.909859
17.0,5,9.986478
-6.0,7,10.062564
-11.0,12,10.145424
-1.0,2,10.216478
-9.0,10,10.298768
-11.0,12,10.379621
-1.0,2,10.449104
-2.0,3,10.522661
-1.0,2,10.600255
-5.0,6,10.678287
-7.0,8,10.753012
-1.0,2,10.824927
16.0,6,10.900392
-5.0,6,10.978213
10.0,12,11.055968
-4.0,5,11.12853
16.0,6,11.205944
-8.0,9,11.28748
-5.0,6,11.363543
-3.0,4,11.439638
-2.0,3,11.517708
-12.0,13,11.597984
-5.0,6,11.679101
-2.0,3,11.753174
-2.0,3,11.831788
-3.0,4,11.905626
-2.0,3,11.983311
-3.0,4,12.059509
-3.0,4,12.132995
11.0,11,12.209078
-10.0,11,12.281754
-1.0,2,12.352493
-2.0,3,12.430347
-11.0,12,12.511448
-4.0,5,12.585419
-7.0,8,12.666395
-4.0,5,12.742913
-8.0,9,12.816751
-3.0,4,12.894683
12.0,10,12.978671
-5.0,6,13.055245
-2.0,3,13.1277
17.0,5,13.203675
-1.0,2,13.278163
-1.0,2,13.352695
-9.0,10,13.433205
-8.0,9,13.510057
-3.0,4,13.585987
-3.0,4,13.660741
15.0,7,13.741536
-1.0,2,13.815076
-4.0,5,13.891397
-5.0,6,13.969916
-5.0,6,14.049313
-3.0,4,14.123532
-5.0,6,14.201299
16.0,6,14.273637
-3.0,4,14.34666
-3.0,4,14.42063
-1.0,2,14.494325
-1.0,2,14.566611
-12.0,13,14.647514
-3.0,4,14.718151
-12.0,13,14.793853
-2.0,3,14.865777
-2.0,3,14.943717
-14.0,15,15.025429
-2.0,3,15.098373
-1.0,2,15.173896
-8.0,9,15.251868
18.0,4,15.323692
-10.0,11,15.404472
-8.0,9,15.477178
-2.0,3,15.548851
-4.0,5,15.622524
11.0,11,15.704607
20.0,2,15.779989
-4.0,5,15.857241
-2.0,3,15.929532
20.0,2,16.004359
-8.0,9,16.084039
-4.0,5,16.160306
18.0,4,16.237048
-2.0,3,16.313731
-4.0,5,16.387562
-6.0,7,16.466408
-1.0,2,16.540494
-1.0,2,16.616036
-1.0,2,16.689265
-6.0,7,16.767716
-2.0,3,16.839249
-11.0,12,16.916391
-1.0,2,16.989563
-6.0,7,17.064304
-9.0,10,17.14067
-6.0,7,17.215077
-7.0,8,17.294607
-2.0,3,17.368665
-9.0,10,17.44892
20.0,2,17.524265
-7.0,8,17.60428
-1.0,2,17.678776
-2.0,3,17.748962
-3.0,4,17.821517
-2.0,3,17.899994
-6.0,7,17.978011
-1.0,2,18.050569
-4.0,5,18.129154
-8.0,9,18.206746
-7.0,8,18.285807
-5.0,6,18.358949
-5.0,6,18.440326
-1.0,2,18.514101
-6.0,7,18.593593
-4.0,5,18.670524
-5.0,6,18.744338
-6.0,7,18.820079
-8.0,9,18.899066
-2.0,3,18.976198
-7.0,8,19.055907
-5.0,6,19.133048
-1.0,2,19.207263
-8.0,9,19.286696
-2.0,3,19.362172
12.0,10,19.442161
19.0,3,19.519717
-2.0,3,19.59619
-3.0,4,19.672186
-2.0,3,19.745056
-2.0,3,19.815738
-4.0,5,19.888076
-6.0,7,19.965673
-12.0,13,20.042885
-2.0,3,20.118466
-5.0,6,20.194367
-3.0,4,20.270415
19.0,3,20.338817
-1.0,2,20.408839
-2.0,3,20.483031
-3.0,4,20.559827
-1.0,2,20.63281
15.0,7,20.713534
-5.0,6,20.786459
-11.0,12,20.861868
-3.0,4,20.934904
-2.0,3,21.010671
-7.0,8,21.085065
-3.0,4,21.159897
-9.0,10,21.238622
-5.0,6,21.313577
19.0,3,21.390596
-3.0,4,21.467223
-5.0,6,21.54344
-5.0,6,21.623748
-5.0,6,21.698162
-1.0,2,21.770009
-6.0,7,21.850014
-4.0,5,21.92709
-5.0,6,22.005019
14.0,8,22.086677
-3.0,4,22.164389
-4.0,5,22.237737
-6.0,7,22.315207
-6.0,7,22.395922
-3.0,4,22.471186
-5.0,6,22.546831
-2.0,3,22.620167
15.0,7,22.699257
16.0,6,22.77932
-5.0,6,22.857811
-1.0,2,22.934114
-9.0,10,23.013902
-2.0,3,23.086963
-2.0,3,23.159425
15.0,7,23.237713
-3.0,4,23.310086
-15.0,16,23.388104
-9.0,10,23.472816
-4.0,5,23.556032
-1.0,2,23.631803
-2.0,3,23.710497
-1.0,2,23.790028
-4.0,5,23.869566
18.0,4,23.948398
-3.0,4,24.029213
-3.0,4,24.108872
-5.0,6,24.193884
-11.0,12,24.278113
-3.0,4,24.357765
-1.0,2,24.433331
-2.0,3,24.513281
-1.0,2,24.591689
-3.0,4,24.67329
-3.0,4,24.754434
-8.0,9,24.83441
-5.0,6,24.915431
-3.0,4,24.995635
-1.0,2,25.076389
-4.0,5,25.155344
-5.0,6,25.23774
-5.0,6,25.318885
-2.0,3,25.394385
-5.0,6,25.471116
19.0,3,25.552156
-6.0,7,25.629457
-5.0,6,25.708604
-7.0,8,25.794542
-7.0,8,25.878588
-2.0,3,25.960469
-3.0,4,26.042481
-1.0,2,26.121062
-5.0,6,26.206276
-4.0,5,26.286851
-3.0,4,26.367836
-5.0,6,26.447525
-5.0,6,26.519204
-11.0,12,26.601353
16.0,6,26.681519
20.0,2,26.754037
-6.0,7,26.830007
-9.0,10,26.910381
15.0,7,26.990559
-2.0,3,27.065744
-7.0,8,27.146542
-5.0,6,27.220406
-3.0,4,27.293814
-8.0,9,27.375808
-8.0,9,27.455367
-6.0,7,27.533873
-4.0,5,27.606664
-3.0,4,27.684613
-1.0,2,27.754323
-4.0,5,27.835799
14.0,8,27.915056
-6.0,7,27.993032
-4.0,5,28.069169
-3.0,4,28.142682
-1.0,2,28.214585
-11.0,12,28.296296
-2.0,3,28.372239
-3.0,4,28.448308
-3.0,4,28.526352
-3.0,4,28.600412
-1.0,2,28.671018
-4.0,5,28.752335
-1.0,2,28.82223
-2.0,3,28.899366
-9.0,10,28.977835
-9.0,10,29.053927
-3.0,4,29.124403
20.0,2,29.198394
19.0,3,29.279022
-5.0,6,29.362085
-8.0,9,29.439032
-2.0,3,29.515268
-5.0,6,29.593809
19.0,3,29.67019
-1.0,2,29.744392
-7.0,8,29.824733
20.0,2,29.900818
-9.0,10,29.976038
-3.0,4,30.055
-2.0,3,30.129509
-5.0,6,30.208372
-2.0,3,30.28188
-4.0,5,30.362469
-3.0,4,30.437602
-1.0,2,30.513101
-4.0,5,30.591288
-2.0,3,30.665958
-3.0,4,30.738705
-8.0,9,30.819964
-5.0,6,30.897723
-3.0,4,30.971504
-1.0,2,31.041489
10.0,12,31.12649
-3.0,4,31.199649
-8.0,9,31.282078
-3.0,4,31.359642
-5.0,6,31.437197
-8.0,9,31.516632
-6.0,7,31.591726
17.0,5,31.664563
-1.0,2,31.737395
-2.0,3,31.815927
-9.0,10,31.898251
-3.0,4,31.974442
14.0,8,32.054496
-1.0,2,32.133612
-3.0,4,32.206118
-2.0,3,32.283176
-4.0,5,32.361345
-12.0,13,32.445651
17.0,5,32.522195
-2.0,3,32.595298
-5.0,6,32.670352
-8.0,9,32.752085
-7.0,8,32.833745
19.0,3,32.907302
-6.0,7,32.98842
-12.0,13,33.070516
-1.0,2,33.144265
-7.0,8,33.221179
-1.0,2,33.292513
-3.0,4,33.370352
16.0,6,33.448955
-1.0,2,33.523145
-10.0,11,33.605343
-1.0,2,33.683121
-5.0,6,33.764097
-1.0,2,33.842077
-3.0,4,33.915374
-1.0,2,33.991297
-2.0,3,34.067959
-1.0,2,34.142443
-2.0,3,34.220901
-2.0,3,34.299745
-1.0,2,34.37639
-1.0,2,34.453887
17.0,5,34.533195
-3.0,4,34.611776
-6.0,7,34.690956
-2.0,3,34.76717
-14.0,15,34.847954
-1.0,2,34.925488
-3.0,4,35.000286
16.0,6,35.080663
17.0,5,35.161885
18.0,4,35.240235
15.0,7,35.320418
-3.0,4,35.394589
-8.0,9,35.478725
-1.0,2,35.550747
-13.0,14,35.637016
-2.0,3,35.710027
3.0,19,35.801891
18.0,4,35.880805
-4.0,5,35.960306
-2.0,3,36.041844
-3.0,4,36.1179
15.0,7,36.199548
-11.0,12,36.277265
-4.0,5,36.352359
-2.0,3,36.429523
-5.0,6,36.508761
-4.0,5,36.58413
-3.0,4,36.655617
2.0,20,36.743602
-1.0,2,36.815219
-3.0,4,36.887677
-2.0,3,36.963913
-6.0,7,37.037621
-16.0,17,37.122992
-1.0,2,37.19682
-3.0,4,37.269064
-5.0,6,37.349256
-4.0,5,37.426207
-4.0,5,37.499152
-2.0,3,37.576553
-2.0,3,37.652288
17.0,5,37.723358
-7.0,8,37.797516
-7.0,8,37.871717
-1.0,2,37.942797
13.0,9,38.018684
-5.0,6,38.094226
-10.0,11,38.170938
-1.0,2,38.246389
-5.0,6,38.324843
-4.0,5,38.399765
-7.0,8,38.476408
-2.0,3,38.555604
-4.0,5,38.630171
-6.0,7,38.708346
-3.0,4,38.785138
-10.0,11,38.864001
-9.0,10,38.938452
-5.0,6,39.016588
-6.0,7,39.09551
-4.0,5,39.173319
-3.0,4,39.250954
-3.0,4,39.345639
-1.0,2,39.417552
16.0,6,39.502172
16.0,6,39.578393
-3.0,4,39.653254
19.0,3,39.731391
-2.0,3,39.810376
-2.0,3,39.889819
-2.0,3,39.965739
-3.0,4,40.039973
-4.0,5,40.11874
-1.0,2,40.191927
