#{"t_start": 1731040953.4961007, "env_id": "None"}
r,l,t
-1.0,8,0.0046
-1.0,3,0.005716
-1.0,3,0.006824
-1.0,4,0.008208
-1.0,5,0.009889
-1.0,6,0.011882
-1.0,6,0.01379
-1.0,4,0.01508
-29.0,33,0.02327
-1.0,1,0.02373
-1.0,1,0.024131
-1.0,2,0.024846
-1.0,4,0.026147
-1.0,7,0.028291
-1.0,3,0.02932
-1.0,5,0.030866
25.0,4,0.032145
-1.0,7,0.03424
-1.0,6,0.036005
-1.0,5,0.037536
-705.0,709,0.186522
-2.0,3,0.187446
25.0,1,0.187896
-1.0,7,0.190034
25.0,1,0.190464
-1.0,3,0.191513
-1.0,5,0.193064
25.0,3,0.194049
-2.0,9,0.196459
-1.0,6,0.198264
-5.0,9,0.200537
-1.0,4,0.201802
-928.0,940,0.399719
-5.0,13,0.402671
-1.0,2,0.403367
-1.0,4,0.404699
-1.0,3,0.4057
-1.0,4,0.406939
-2.0,5,0.408277
-2.0,6,0.409917
-1.0,7,0.411966
-1.0,9,0.414578
-1.0,7,0.416626
-1.0,6,0.418414
-1.0,5,0.419919
-2.0,4,0.420993
25.0,1,0.421416
-1.0,2,0.422087
-1.0,3,0.423033
-1.0,6,0.424837
-1.0,2,0.425522
25.0,1,0.425934
-1.0,5,0.427427
25.0,2,0.428137
-1.0,9,0.430778
-248.0,252,0.483739
-2.0,13,0.487382
-2.0,6,0.489069
-1.0,4,0.490308
-1.0,1,0.490728
-1.0,7,0.492882
-1.0,9,0.495568
25.0,1,0.49599
-181.0,183,0.536219
25.0,1,0.536752
-1.0,6,0.53857
-2.0,5,0.539908
24.0,5,0.541266
-1.0,9,0.543851
-2.0,7,0.54574
-1.0,3,0.546687
-2.0,7,0.548547
-1.0,5,0.550064
-1.0,8,0.552376
-4.0,7,0.554152
-1.0,2,0.554831
-1.0,5,0.556346
-1.0,1,0.55674
-1.0,4,0.55798
-1.0,4,0.559064
-1.0,8,0.561419
-2.0,9,0.563817
-1.0,6,0.565595
-1.0,8,0.5679
-1.0,8,0.570255
25.0,1,0.570673
-1.0,3,0.57164
25.0,1,0.57212
-2.0,10,0.574774
-2.0,8,0.576784
-1.0,4,0.578038
-367.0,371,0.65632
-1.0,2,0.657172
-106.0,116,0.681937
-1.0,2,0.682665
-111.0,115,0.706602
25.0,1,0.707066
-1.0,5,0.708592
-267.0,276,0.767986
-1.0,4,0.76934
