#{"t_start": 1718349266.6320128, "env_id": "None"}
r,l,t
20.0,2,0.060159
18.0,4,0.119012
16.0,6,0.177809
-14.0,15,0.231475
5.0,17,0.291669
8.0,14,0.343299
5.0,17,0.404163
-14.0,15,0.461187
-2.0,3,0.516223
10.0,12,0.569636
11.0,11,0.633268
11.0,11,0.689003
14.0,8,0.751709
-16.0,17,0.818267
-11.0,12,0.882668
-3.0,4,0.941232
18.0,4,1.002591
-25.0,26,1.072335
-20.0,21,1.136674
18.0,4,1.198394
-25.0,26,1.268304
-11.0,12,1.33146
17.0,5,1.383363
-16.0,17,1.449145
-29.0,30,1.525552
16.0,6,1.588275
-5.0,6,1.646288
13.0,9,1.711373
-4.0,5,1.769477
-9.0,31,1.837058
15.0,7,1.890512
-6.0,7,1.945501
-1.0,2,1.999731
13.0,9,2.063138
11.0,11,2.127964
-6.0,7,2.185108
-6.0,28,2.251179
19.0,3,2.300229
-2.0,24,2.372984
-5.0,6,2.433279
-5.0,6,2.49102
-29.0,30,2.56341
-13.0,14,2.624795
16.0,6,2.679858
11.0,11,2.736814
8.0,14,2.79443
19.0,3,2.84651
-4.0,5,2.901949
18.0,4,2.954167
17.0,5,3.006684
-7.0,8,3.065918
-18.0,19,3.134929
19.0,3,3.196481
-21.0,22,3.263616
11.0,11,3.330566
-8.0,9,3.389658
-28.0,29,3.461164
-21.0,22,3.530561
1.0,21,3.602161
-5.0,6,3.659895
-8.0,9,3.720802
-10.0,11,3.784029
18.0,4,3.835382
-1.0,2,3.890442
-9.0,10,3.953033
-3.0,4,4.00744
12.0,10,4.061906
-13.0,14,4.126347
-1.0,2,4.181377
-10.0,11,4.243484
-8.0,9,4.304229
13.0,9,4.360472
12.0,10,4.417433
-15.0,16,4.484055
-21.0,22,4.554233
19.0,3,4.604023
12.0,10,4.670963
14.0,8,4.736184
-2.0,24,4.810702
-2.0,3,4.866101
-17.0,18,4.932119
-6.0,7,4.992609
-2.0,3,5.047328
15.0,7,5.099928
17.0,5,5.164397
1.0,21,5.226562
3.0,19,5.289145
13.0,9,5.353336
-5.0,6,5.40962
15.0,7,5.472614
-32.0,33,5.54688
6.0,16,5.616761
5.0,17,5.679607
16.0,6,5.733428
13.0,9,5.799166
5.0,17,5.861214
-5.0,6,5.919894
-4.0,5,5.980034
20.0,2,6.03324
8.0,14,6.10075
-7.0,8,6.161424
20.0,2,6.212831
-10.0,11,6.272938
11.0,11,6.327532
14.0,8,6.391259
-9.0,10,6.454731
14.0,8,6.520011
-2.0,3,6.575682
-14.0,15,6.637059
-8.0,9,6.696383
16.0,6,6.758506
-6.0,7,6.817054
-1.0,2,6.872785
-4.0,5,6.931388
-22.0,23,6.997443
15.0,7,7.062709
-10.0,11,7.123987
-18.0,19,7.189132
15.0,7,7.251409
15.0,7,7.315556
12.0,10,7.371655
-13.0,14,7.435165
-20.0,21,7.499849
11.0,11,7.556486
-19.0,20,7.624516
-9.0,10,7.684545
13.0,9,7.738823
13.0,9,7.801853
-6.0,7,7.862212
17.0,5,7.923411
-16.0,17,7.988929
9.0,13,8.057656
-14.0,15,8.117543
-12.0,13,8.182616
8.0,14,8.239604
-11.0,12,8.299519
17.0,5,8.361247
-19.0,20,8.429521
17.0,5,8.494316
-3.0,4,8.550315
-18.0,19,8.622765
-7.0,8,8.683864
14.0,8,8.748407
-13.0,14,8.810748
-16.0,17,8.876152
-1.0,2,8.9342
-2.0,3,8.990087
-2.0,3,9.048769
20.0,2,9.100569
19.0,3,9.159513
-3.0,4,9.214271
-2.0,3,9.271375
-2.0,3,9.325866
18.0,4,9.386578
13.0,9,9.441286
13.0,9,9.496444
12.0,10,9.561726
-7.0,8,9.621457
6.0,16,9.690281
17.0,5,9.742686
-2.0,3,9.796756
9.0,13,9.853528
10.0,12,9.910678
16.0,6,9.965281
12.0,10,10.020911
5.0,17,10.080736
17.0,5,10.144868
-2.0,24,10.209285
11.0,11,10.273754
-3.0,4,10.331803
-3.0,4,10.389796
12.0,10,10.455692
18.0,4,10.517137
-7.0,8,10.574969
15.0,7,10.640058
9.0,13,10.708078
6.0,16,10.778265
19.0,3,10.846198
-10.0,11,10.905621
