#{"t_start": 1730342531.3927555, "env_id": "None"}
r,l,t
-1.0,1,0.002418
-1.0,1,0.002918
25.0,1,0.003362
-1.0,1,0.003762
-1.0,1,0.004181
-1.0,1,0.004596
-1.0,1,0.005012
-1.0,1,0.005412
25.0,1,0.005845
-1.0,1,0.006235
-1.0,1,0.006615
-1.0,1,0.006988
-1.0,1,0.00736
-1.0,1,0.007731
25.0,1,0.008127
-1.0,1,0.008579
25.0,1,0.009006
-1.0,1,0.009399
-1.0,1,0.009803
-1.0,1,0.01018
-1.0,1,0.010551
-1.0,1,0.010922
25.0,1,0.011318
-1.0,1,0.011693
-1.0,1,0.012067
-1.0,1,0.012468
25.0,1,0.012895
25.0,1,0.013296
-1.0,1,0.013668
-1.0,1,0.014059
-1.0,1,0.014433
25.0,1,0.014829
-1.0,1,0.015206
-1.0,1,0.015585
-1.0,1,0.015958
-1.0,1,0.016368
-1.0,1,0.016764
-1.0,1,0.017141
25.0,1,0.017536
-1.0,1,0.01792
25.0,1,0.018314
24.0,2,0.018853
-1.0,1,0.01923
25.0,1,0.019629
-1.0,1,0.020001
25.0,1,0.020419
-1.0,1,0.020819
-1.0,1,0.021201
-1.0,1,0.02158
-1.0,1,0.021965
-1.0,1,0.022342
-1.0,1,0.022715
-1.0,1,0.023084
25.0,1,0.023475
-1.0,1,0.023845
-1.0,1,0.024238
-1.0,1,0.024638
-1.0,1,0.025023
-1.0,1,0.025396
-1.0,1,0.025779
-1.0,1,0.026155
-1.0,1,0.026522
-1.0,1,0.02689
-1.0,1,0.027256
-1.0,1,0.027624
-1.0,1,0.02801
-1.0,1,0.028415
-1.0,1,0.028817
25.0,1,0.029235
-1.0,1,0.029634
25.0,1,0.030062
-1.0,1,0.030438
25.0,1,0.030828
-1.0,1,0.031197
-1.0,1,0.031562
25.0,1,0.031952
-1.0,1,0.032347
25.0,1,0.032762
25.0,1,0.033181
-1.0,1,0.033567
-1.0,1,0.033953
-1.0,1,0.034327
25.0,1,0.03472
-1.0,1,0.035115
25.0,1,0.035507
-1.0,1,0.035877
-1.0,1,0.036275
-1.0,1,0.036669
25.0,1,0.037066
-1.0,1,0.037435
-1.0,1,0.037817
25.0,1,0.03821
-1.0,1,0.038597
25.0,1,0.038991
-1.0,1,0.03936
25.0,1,0.039751
25.0,1,0.040139
-1.0,1,0.040548
-1.0,1,0.040935
25.0,1,0.041351
