#{"t_start": 1718346023.380534, "env_id": "None"}
r,l,t
-16.0,17,0.074318
-9.0,10,0.139876
-8.0,9,0.202657
13.0,9,0.266369
-17.0,18,0.333351
15.0,7,0.389317
-15.0,16,0.451861
-3.0,4,0.510231
7.0,15,0.569134
-7.0,8,0.643174
-1.0,2,0.708127
-11.0,12,0.779799
2.0,20,0.851086
1.0,21,0.920244
-8.0,9,0.986835
-6.0,7,1.051059
-8.0,9,1.117789
16.0,6,1.185476
15.0,7,1.247633
-7.0,8,1.314348
16.0,6,1.375906
-5.0,6,1.44114
10.0,12,1.516817
-2.0,3,1.583341
-3.0,4,1.65208
11.0,11,1.713365
18.0,4,1.775011
17.0,5,1.836491
16.0,6,1.912588
7.0,15,1.977704
19.0,3,2.036289
16.0,6,2.095169
17.0,5,2.152143
18.0,4,2.21626
-9.0,10,2.291518
20.0,2,2.346971
16.0,6,2.408016
-17.0,18,2.478137
-39.0,40,2.562579
-1.0,23,2.637884
-5.0,6,2.705385
-3.0,4,2.771113
-3.0,25,2.842992
16.0,6,2.90369
9.0,13,2.977077
-9.0,10,3.046134
13.0,9,3.127149
-5.0,6,3.199607
2.0,20,3.277425
-9.0,31,3.362671
2.0,20,3.429671
16.0,6,3.488852
-5.0,6,3.560068
6.0,16,3.628287
8.0,14,3.700033
4.0,18,3.780931
-11.0,12,3.862063
-3.0,4,3.923555
-4.0,5,4.011711
-2.0,3,4.084057
13.0,9,4.158191
17.0,5,4.222614
-6.0,7,4.29362
16.0,6,4.359658
14.0,8,4.425539
15.0,7,4.491902
-6.0,7,4.559213
-6.0,7,4.632021
-7.0,8,4.69856
-12.0,13,4.770969
-4.0,5,4.841864
-10.0,11,4.91886
14.0,8,4.985573
-1.0,2,5.056239
13.0,9,5.122231
-1.0,2,5.190885
-1.0,2,5.267865
9.0,13,5.33321
-8.0,9,5.397962
13.0,9,5.461259
-5.0,6,5.532395
16.0,6,5.608886
12.0,10,5.672283
-3.0,4,5.743764
-3.0,4,5.829591
9.0,13,5.89426
12.0,10,5.963446
10.0,12,6.036191
-7.0,8,6.104124
-1.0,2,6.163504
-15.0,16,6.238507
-15.0,16,6.308305
-12.0,13,6.383539
-14.0,15,6.45423
16.0,6,6.529865
18.0,4,6.594075
10.0,12,6.664076
12.0,10,6.756295
11.0,11,6.818394
14.0,8,6.88339
-4.0,5,6.950882
12.0,10,7.01395
-3.0,4,7.076293
17.0,5,7.148657
18.0,4,7.220061
-6.0,7,7.283669
17.0,5,7.345155
-32.0,33,7.427558
11.0,11,7.492742
-7.0,8,7.556095
-14.0,15,7.631283
-4.0,26,7.7072
18.0,4,7.765952
-3.0,4,7.834888
18.0,4,7.905728
20.0,2,7.96918
-2.0,3,8.034621
-5.0,6,8.108666
5.0,17,8.173165
0.0,22,8.252463
-12.0,13,8.33386
-6.0,7,8.408211
-8.0,9,8.474392
2.0,20,8.54424
19.0,3,8.60084
15.0,7,8.663252
