#{"t_start": 1718641324.1096125, "env_id": "None"}
r,l,t
-1.0,2,0.073225
-18.0,19,0.137222
-4.0,5,0.209136
-3.0,4,0.27888
16.0,6,0.336729
-6.0,7,0.406059
-3.0,4,0.474213
-4.0,5,0.538938
-10.0,11,0.607067
18.0,4,0.675611
11.0,11,0.737748
-2.0,3,0.801701
1.0,21,0.865501
17.0,5,0.926753
3.0,19,0.996498
17.0,5,1.061503
18.0,4,1.122513
-5.0,6,1.198213
-12.0,13,1.267515
16.0,6,1.32775
-4.0,5,1.400641
-6.0,7,1.463709
-5.0,6,1.525463
-6.0,28,1.594638
12.0,10,1.664659
-6.0,7,1.734976
11.0,11,1.797918
-1.0,2,1.861846
8.0,14,1.927423
9.0,13,1.991892
16.0,6,2.057987
11.0,11,2.121627
-6.0,7,2.189569
19.0,3,2.2495
15.0,7,2.307788
-8.0,9,2.370808
-2.0,24,2.438622
19.0,3,2.512941
11.0,11,2.574095
14.0,8,2.633556
13.0,9,2.697492
11.0,11,2.764614
-18.0,19,2.844092
-6.0,7,2.911556
-3.0,4,2.978637
-9.0,10,3.051663
17.0,5,3.119056
-17.0,18,3.190646
-4.0,5,3.258
-52.0,53,3.351275
-1.0,2,3.412401
15.0,7,3.488741
9.0,13,3.55088
12.0,10,3.617439
-2.0,3,3.677014
16.0,6,3.739102
-4.0,5,3.800894
-19.0,20,3.875454
-3.0,4,3.936761
-8.0,9,4.007497
-6.0,7,4.078058
20.0,2,4.134083
17.0,5,4.199733
-4.0,5,4.260412
15.0,7,4.319942
-8.0,9,4.382181
-14.0,15,4.4495
8.0,14,4.511699
-1.0,2,4.570843
9.0,13,4.632947
-2.0,3,4.6948
14.0,8,4.770223
14.0,8,4.835418
10.0,12,4.901201
-1.0,2,4.962052
-14.0,15,5.036823
19.0,3,5.103138
-5.0,6,5.163827
-3.0,4,5.229497
12.0,10,5.29007
-3.0,25,5.36217
18.0,4,5.422778
10.0,12,5.484023
11.0,11,5.547976
20.0,2,5.602227
7.0,15,5.676223
-2.0,3,5.734899
-2.0,3,5.795537
16.0,6,5.856642
-2.0,3,5.922913
18.0,4,5.985131
16.0,6,6.042891
11.0,11,6.104842
9.0,13,6.168521
8.0,14,6.23353
-4.0,5,6.301355
10.0,12,6.363476
18.0,4,6.425441
8.0,14,6.491459
19.0,3,6.546179
18.0,4,6.610102
2.0,20,6.678527
-4.0,5,6.742241
-2.0,3,6.803393
-8.0,9,6.867924
-27.0,28,6.943979
-1.0,23,7.011677
-7.0,8,7.079745
-5.0,6,7.146125
-4.0,5,7.209664
18.0,4,7.272339
14.0,8,7.331452
5.0,17,7.401711
-7.0,8,7.473361
17.0,5,7.541048
-3.0,4,7.613762
17.0,5,7.67154
-8.0,9,7.740269
15.0,7,7.816483
-11.0,12,7.881863
16.0,6,7.943971
17.0,5,8.013844
6.0,16,8.086021
-8.0,9,8.156294
16.0,6,8.214427
-2.0,3,8.278811
-6.0,7,8.348869
-13.0,14,8.426723
-7.0,8,8.492296
-6.0,7,8.562194
-3.0,4,8.629043
9.0,13,8.692379
-3.0,4,8.760742
-13.0,14,8.836793
5.0,17,8.902562
6.0,16,8.968831
-7.0,8,9.0427
-5.0,6,9.116865
-10.0,11,9.182709
17.0,5,9.251519
-15.0,37,9.331482
-5.0,6,9.400882
20.0,2,9.461646
13.0,9,9.529701
8.0,14,9.596179
-6.0,7,9.665011
11.0,11,9.726824
-17.0,18,9.799532
-1.0,2,9.869392
-5.0,6,9.936351
9.0,13,10.000813
-2.0,3,10.071874
13.0,9,10.132546
17.0,5,10.191568
2.0,20,10.277303
-5.0,6,10.347356
14.0,8,10.40731
11.0,11,10.467696
-9.0,10,10.535768
17.0,5,10.603499
-1.0,2,10.670614
19.0,3,10.730831
13.0,9,10.79175
-4.0,5,10.863394
-9.0,10,10.93601
-5.0,6,11.006863
6.0,16,11.074027
-8.0,9,11.145267
-13.0,14,11.220679
-10.0,11,11.294272
-3.0,4,11.358369
-1.0,23,11.437058
-7.0,29,11.508936
-2.0,3,11.575993
19.0,3,11.633318
16.0,6,11.690548
11.0,11,11.756443
-4.0,5,11.82512
16.0,6,11.885371
9.0,13,11.95445
18.0,4,12.018674
8.0,14,12.08232
18.0,4,12.146159
-4.0,5,12.218121
-8.0,9,12.287108
19.0,3,12.349388
-1.0,2,12.413737
-13.0,14,12.483238
-1.0,2,12.543611
-12.0,13,12.621392
14.0,8,12.687757
-4.0,5,12.757223
-2.0,3,12.821257
-7.0,8,12.892239
-7.0,8,12.956111
-2.0,3,13.024795
1.0,21,13.093019
20.0,2,13.150696
-4.0,5,13.213409
-4.0,26,13.287214
-15.0,16,13.366733
15.0,7,13.432799
-13.0,14,13.498605
14.0,8,13.568666
-8.0,9,13.635761
19.0,3,13.692355
6.0,16,13.758668
-2.0,3,13.827804
-6.0,7,13.891215
-1.0,23,13.959265
-5.0,6,14.026417
18.0,4,14.093149
1.0,21,14.160337
5.0,17,14.229126
17.0,5,14.293221
-7.0,8,14.362552
-4.0,5,14.424267
-19.0,20,14.495905
18.0,4,14.563207
-21.0,22,14.635194
8.0,14,14.701493
18.0,4,14.75865
-10.0,11,14.830663
11.0,11,14.894675
-19.0,20,14.964974
-16.0,17,15.032768
16.0,6,15.097404
17.0,5,15.161407
-10.0,11,15.227766
-7.0,29,15.301239
19.0,3,15.369998
-8.0,9,15.435397
-4.0,5,15.511559
19.0,3,15.576953
-15.0,16,15.64552
-7.0,8,15.721542
19.0,3,15.778572
-3.0,4,15.845231
-2.0,3,15.916886
13.0,9,15.986703
16.0,6,16.051504
18.0,4,16.118595
14.0,8,16.178643
-6.0,7,16.246505
-9.0,10,16.310021
-20.0,21,16.385253
-8.0,9,16.454054
9.0,13,16.516928
16.0,6,16.572311
-1.0,2,16.638449
-10.0,11,16.710528
-8.0,9,16.781206
18.0,4,16.836379
5.0,17,16.905437
-9.0,10,16.969638
-10.0,11,17.033435
-6.0,7,17.102136
19.0,3,17.162888
-3.0,4,17.221369
-9.0,10,17.288943
14.0,8,17.346469
12.0,10,17.406273
6.0,16,17.469383
12.0,10,17.527881
-4.0,5,17.594807
-4.0,5,17.663635
-4.0,5,17.722221
15.0,7,17.781378
-8.0,9,17.845981
-5.0,6,17.912374
-6.0,7,17.980816
-8.0,9,18.04427
17.0,5,18.107723
17.0,5,18.169124
-18.0,19,18.239945
-2.0,3,18.298085
14.0,8,18.355947
-3.0,4,18.421679
-3.0,4,18.488233
-5.0,6,18.556354
-3.0,4,18.617948
-4.0,5,18.683396
17.0,5,18.739189
19.0,3,18.800472
-6.0,7,18.872298
16.0,6,18.9339
-4.0,5,19.002841
-2.0,3,19.066291
-7.0,8,19.130287
-2.0,3,19.19036
14.0,8,19.248226
20.0,2,19.306426
12.0,10,19.364746
20.0,2,19.425991
-5.0,6,19.493615
18.0,4,19.549083
18.0,4,19.604254
15.0,7,19.663368
15.0,7,19.727119
-1.0,2,19.789195
-5.0,6,19.850245
-4.0,5,19.912199
-5.0,6,19.97977
2.0,20,20.049845
6.0,16,20.113298
-3.0,4,20.175099
-8.0,9,20.240009
14.0,8,20.300359
-4.0,5,20.363183
-4.0,5,20.433903
-8.0,9,20.499354
14.0,8,20.559873
-14.0,15,20.636544
-3.0,4,20.699164
12.0,10,20.760747
19.0,3,20.821297
-7.0,8,20.890023
-13.0,14,20.957565
14.0,8,21.034889
12.0,10,21.096155
-11.0,12,21.169107
12.0,10,21.244196
-2.0,3,21.3144
18.0,4,21.373846
2.0,20,21.450758
-6.0,7,21.513879
14.0,8,21.573805
20.0,2,21.640807
3.0,19,21.708164
-2.0,3,21.772865
-13.0,14,21.851599
13.0,9,21.911053
-13.0,14,21.976979
5.0,17,22.04072
-9.0,10,22.107773
12.0,10,22.170347
-5.0,6,22.229605
6.0,16,22.299147
-12.0,13,22.370474
20.0,2,22.424193
18.0,4,22.481065
12.0,10,22.546
5.0,17,22.610531
-3.0,4,22.680448
-1.0,2,22.73816
-3.0,4,22.806203
-19.0,20,22.875331
-12.0,13,22.953694
-3.0,4,23.020262
-10.0,11,23.091366
-1.0,23,23.163336
-7.0,8,23.237631
-2.0,3,23.308052
-3.0,4,23.376141
-4.0,5,23.43851
-7.0,8,23.501832
-11.0,12,23.566882
-3.0,4,23.627469
20.0,2,23.700075
-4.0,5,23.766789
-4.0,5,23.829216
-16.0,17,23.900135
17.0,5,23.968838
13.0,9,24.029366
-4.0,5,24.094698
15.0,7,24.155137
-5.0,6,24.223715
12.0,10,24.293194
19.0,3,24.352315
-5.0,6,24.41643
-4.0,5,24.485009
-9.0,10,24.56127
19.0,3,24.628133
15.0,7,24.692792
18.0,4,24.750764
-29.0,30,24.82938
12.0,10,24.892287
-9.0,31,24.970114
-8.0,9,25.037046
-2.0,3,25.105079
19.0,3,25.173579
-12.0,13,25.243053
11.0,11,25.307288
-5.0,6,25.372344
-28.0,29,25.453346
11.0,11,25.515851
-40.0,41,25.606312
-9.0,10,25.679175
11.0,11,25.743203
12.0,10,25.805491
-18.0,19,25.878011
-8.0,9,25.945305
6.0,16,26.01278
6.0,16,26.080282
-5.0,6,26.14444
-3.0,4,26.209968
18.0,4,26.268244
10.0,12,26.332497
15.0,7,26.410282
-3.0,4,26.473216
8.0,14,26.541782
17.0,5,26.59969
-4.0,5,26.671751
12.0,10,26.73355
14.0,8,26.796983
13.0,9,26.860907
17.0,5,26.921467
-4.0,5,26.986058
-7.0,8,27.060076
-6.0,7,27.133501
7.0,15,27.195784
-2.0,3,27.264904
20.0,2,27.335718
10.0,12,27.399333
17.0,5,27.459149
-2.0,3,27.529343
-5.0,6,27.600229
12.0,10,27.676407
19.0,3,27.742224
13.0,9,27.805106
15.0,7,27.873594
-16.0,17,27.948376
-23.0,24,28.023372
18.0,4,28.093144
-3.0,4,28.166451
20.0,2,28.227217
-4.0,5,28.291879
