#{"t_start": 1717478506.0824938, "env_id": "None"}
r,l,t
-1.0,2,0.059629
20.0,2,0.116425
-1.0,2,0.170635
-1.0,2,0.228097
-1.0,2,0.282183
-1.0,2,0.338995
20.0,2,0.393916
20.0,2,0.446763
-1.0,2,0.499828
20.0,2,0.557536
20.0,2,0.61342
-1.0,2,0.666155
20.0,2,0.71974
20.0,2,0.774407
20.0,2,0.828544
-1.0,2,0.883821
20.0,2,0.937773
20.0,2,0.991122
-1.0,2,1.047041
20.0,2,1.103402
20.0,2,1.160369
20.0,2,1.216525
20.0,2,1.271558
20.0,2,1.328222
20.0,2,1.383092
20.0,2,1.438711
-1.0,2,1.492794
20.0,2,1.547116
20.0,2,1.605125
20.0,2,1.659015
20.0,2,1.71449
20.0,2,1.770954
20.0,2,1.829514
-1.0,2,1.883099
20.0,2,1.937434
-1.0,2,1.990965
20.0,2,2.046721
20.0,2,2.103079
20.0,2,2.15814
20.0,2,2.214449
-1.0,2,2.267445
20.0,2,2.321513
-1.0,2,2.376131
-1.0,2,2.42991
-1.0,2,2.485469
-1.0,2,2.542182
20.0,2,2.597569
20.0,2,2.651224
20.0,2,2.708863
20.0,2,2.762218
-1.0,2,2.816039
20.0,2,2.872772
20.0,2,2.926664
-1.0,2,2.980023
20.0,2,3.036422
-1.0,2,3.089348
20.0,2,3.144508
20.0,2,3.20078
20.0,2,3.253947
-1.0,2,3.308429
-1.0,2,3.361912
20.0,2,3.415436
20.0,2,3.470115
-1.0,2,3.52426
-1.0,2,3.579845
20.0,2,3.63363
-1.0,2,3.686788
20.0,2,3.744399
20.0,2,3.797853
-1.0,2,3.852455
20.0,2,3.908076
20.0,2,3.96126
20.0,2,4.017956
20.0,2,4.075117
20.0,2,4.130116
-1.0,2,4.183303
20.0,2,4.238595
20.0,2,4.292621
20.0,2,4.347718
-1.0,2,4.403792
-1.0,2,4.457457
-1.0,2,4.513687
20.0,2,4.566767
20.0,2,4.619968
-1.0,2,4.673668
20.0,2,4.728961
-1.0,2,4.782771
20.0,2,4.836667
-1.0,2,4.890126
-1.0,2,4.94403
-1.0,2,5.000037
20.0,2,5.056826
20.0,2,5.114087
20.0,2,5.171153
20.0,2,5.224969
20.0,2,5.281389
20.0,2,5.334911
20.0,2,5.389804
20.0,2,5.446484
20.0,2,5.500233
20.0,2,5.557816
20.0,2,5.614106
20.0,2,5.668921
-1.0,2,5.723638
20.0,2,5.778648
-1.0,2,5.832943
-1.0,2,5.887233
20.0,2,5.940941
-1.0,2,5.993987
-1.0,2,6.04726
20.0,2,6.105018
20.0,2,6.159571
20.0,2,6.212435
-1.0,2,6.267487
20.0,2,6.322694
-1.0,2,6.376854
20.0,2,6.430272
-1.0,2,6.486501
-1.0,2,6.543038
20.0,2,6.600317
20.0,2,6.657137
20.0,2,6.713834
-1.0,2,6.768117
-1.0,2,6.822457
-1.0,2,6.878988
-1.0,2,6.932348
-1.0,2,6.985703
-1.0,2,7.039117
20.0,2,7.097038
20.0,2,7.150076
-1.0,2,7.202921
20.0,2,7.259058
20.0,2,7.315092
-1.0,2,7.367995
-1.0,2,7.422662
20.0,2,7.477682
20.0,2,7.535147
-1.0,2,7.588217
20.0,2,7.641319
-1.0,2,7.695737
-1.0,2,7.752289
-1.0,2,7.806137
20.0,2,7.864627
20.0,2,7.921676
20.0,2,7.97686
-1.0,2,8.031315
-1.0,2,8.085693
20.0,2,8.139868
20.0,2,8.194417
20.0,2,8.248018
20.0,2,8.301257
20.0,2,8.354507
-1.0,2,8.407967
20.0,2,8.461802
20.0,2,8.515597
-1.0,2,8.572115
-1.0,2,8.625612
20.0,2,8.67906
20.0,2,8.736597
20.0,2,8.792482
20.0,2,8.84869
-1.0,2,8.905281
-1.0,2,8.96476
20.0,2,9.021844
20.0,2,9.078887
20.0,2,9.133981
-1.0,2,9.187415
20.0,2,9.241731
20.0,2,9.295503
20.0,2,9.352689
20.0,2,9.410489
-1.0,2,9.466986
20.0,2,9.523963
20.0,2,9.580322
-1.0,2,9.635411
20.0,2,9.690559
20.0,2,9.744286
-1.0,2,9.798529
20.0,2,9.852582
20.0,2,9.905341
20.0,2,9.958428
20.0,2,10.014303
20.0,2,10.067455
20.0,2,10.120606
20.0,2,10.173654
20.0,2,10.226558
-1.0,2,10.279764
20.0,2,10.333417
-1.0,2,10.38629
20.0,2,10.453402
20.0,2,10.506662
20.0,2,10.561142
20.0,2,10.61383
20.0,2,10.670296
20.0,2,10.727883
20.0,2,10.78434
-1.0,2,10.839576
20.0,2,10.897602
20.0,2,10.951239
20.0,2,11.006052
20.0,2,11.060465
20.0,2,11.113196
20.0,2,11.169145
20.0,2,11.222165
-1.0,2,11.275106
20.0,2,11.331284
20.0,2,11.384327
20.0,2,11.440065
-1.0,2,11.495884
20.0,2,11.553793
20.0,2,11.610003
20.0,2,11.66281
20.0,2,11.717325
-1.0,2,11.773297
-1.0,2,11.827248
-1.0,2,11.880437
20.0,2,11.933868
20.0,2,11.989346
20.0,2,12.042936
-1.0,2,12.096858
20.0,2,12.152366
-1.0,2,12.205427
20.0,2,12.26043
20.0,2,12.317164
20.0,2,12.375352
20.0,2,12.429122
20.0,2,12.48524
-1.0,2,12.538229
20.0,2,12.596122
20.0,2,12.650532
20.0,2,12.703779
20.0,2,12.756781
20.0,2,12.815125
