#{"t_start": 1718344064.6005206, "env_id": "None"}
r,l,t
-1.0,2,0.055058
1.0,21,0.119956
-13.0,14,0.174878
12.0,10,0.237419
-23.0,24,0.298293
-6.0,7,0.352016
8.0,14,0.415766
-20.0,21,0.483564
-7.0,8,0.542713
19.0,3,0.604529
-4.0,26,0.68369
17.0,5,0.747707
20.0,2,0.812024
18.0,4,0.864794
-9.0,10,0.928139
-12.0,13,0.98912
18.0,4,1.053017
16.0,6,1.119865
-5.0,6,1.175537
10.0,12,1.232577
7.0,15,1.305662
-28.0,29,1.37665
-21.0,22,1.445221
-9.0,10,1.508422
-6.0,28,1.575484
12.0,10,1.633919
11.0,11,1.693123
-3.0,4,1.749789
9.0,13,1.820712
-15.0,16,1.885199
14.0,8,1.952964
7.0,15,2.018946
-16.0,17,2.084749
-6.0,7,2.144368
20.0,2,2.206336
-12.0,13,2.268433
-9.0,10,2.33481
13.0,9,2.39053
-19.0,20,2.460956
18.0,4,2.525425
12.0,10,2.583312
-12.0,13,2.644894
-13.0,14,2.706731
4.0,18,2.781762
14.0,8,2.848795
-22.0,23,2.922023
-12.0,13,2.989102
14.0,8,3.045897
5.0,17,3.108429
12.0,10,3.180044
13.0,9,3.248195
12.0,10,3.305561
-8.0,9,3.367388
-6.0,7,3.424559
-26.0,27,3.501847
-21.0,22,3.576586
15.0,7,3.630115
-25.0,26,3.707798
-5.0,6,3.764505
-9.0,10,3.832196
11.0,11,3.902448
-8.0,9,3.963248
-9.0,10,4.035311
-6.0,7,4.096145
-3.0,4,4.152464
-4.0,26,4.220973
-15.0,16,4.28613
18.0,4,4.339481
-3.0,4,4.401058
16.0,6,4.455162
17.0,5,4.520508
-17.0,18,4.586873
13.0,9,4.658359
17.0,5,4.712176
-27.0,49,4.807596
-11.0,12,4.876678
-6.0,7,4.9392
-23.0,24,5.00814
12.0,10,5.078544
-30.0,31,5.154172
18.0,4,5.219224
9.0,13,5.289761
5.0,17,5.351397
11.0,11,5.410224
15.0,7,5.477889
13.0,9,5.54619
-21.0,22,5.619849
-4.0,26,5.689713
18.0,4,5.757808
-7.0,8,5.82413
12.0,10,5.882037
14.0,8,5.938086
-3.0,4,5.999913
14.0,8,6.055672
-6.0,7,6.114362
-13.0,14,6.178025
-12.0,13,6.240048
12.0,10,6.306913
1.0,21,6.370682
-7.0,8,6.43205
-15.0,37,6.502912
