#{"t_start": 1745909536.3330822, "env_id": "None"}
r,l,t
-3.0,3,0.008562
-9.0,9,0.01426
-2.0,2,0.015813
-2.0,2,0.017438
-8.0,8,0.02261
-5.0,5,0.025969
-3.0,3,0.028135
-6.0,6,0.032007
-3.0,3,0.034189
-4.0,4,0.037029
-10.0,10,0.043374
-6.0,6,0.047289
-15.0,15,0.056306
-6.0,6,0.060214
-3.0,3,0.06233
-14.0,14,0.071424
-6.0,6,0.075665
-10.0,10,0.081849
-1.0,2,0.083527
-2.0,2,0.085082
-3.0,3,0.087244
-4.0,4,0.08994
-4.0,4,0.092662
-2.0,2,0.094183
-2.0,2,0.095697
-2.0,2,0.097262
-2.0,2,0.098777
-8.0,8,0.103847
-4.0,4,0.106534
-10.0,10,0.112678
-2.0,2,0.114285
-11.0,11,0.12115
-7.0,7,0.125595
-5.0,5,0.128865
-5.0,5,0.132109
-2.0,2,0.133675
-6.0,6,0.137592
-4.0,4,0.140274
-2.0,2,0.141811
-6.0,6,0.145658
-8.0,8,0.150681
-2.0,2,0.152226
-6.0,6,0.156223
-7.0,7,0.160737
-4.0,4,0.16344
-2.0,2,0.165007
-4.0,4,0.167696
-10.0,10,0.173972
-9.0,9,0.17956
-2.0,2,0.181125
-2.0,2,0.183828
-2.0,2,0.185447
-2.0,2,0.187117
-3.0,3,0.189257
-4.0,4,0.191921
-2.0,2,0.19347
-6.0,6,0.197325
-2.0,2,0.198842
-5.0,5,0.202142
-3.0,3,0.204343
-2.0,2,0.205872
-2.0,2,0.207435
-3.0,3,0.209625
-5.0,5,0.21292
-4.0,4,0.215597
-2.0,2,0.217161
-11.0,11,0.224443
-3.0,3,0.226728
-19.0,19,0.238532
-17.0,17,0.248678
-2.0,2,0.250197
-2.0,2,0.251701
-3.0,3,0.253901
-28.0,28,0.270315
-28.0,28,0.287131
-4.0,4,0.289925
-7.0,7,0.294445
-3.0,3,0.296594
-5.0,5,0.299841
-3.0,3,0.301955
-2.0,2,0.30355
-4.0,4,0.306293
-4.0,4,0.30906
-2.0,2,0.310589
-15.0,15,0.319737
-3.0,3,0.321975
-7.0,7,0.326377
-6.0,6,0.330197
-3.0,4,0.333085
-9.0,9,0.338702
-4.0,4,0.341471
-13.0,13,0.349633
-13.0,13,0.35788
-18.0,18,0.368595
-3.0,3,0.370877
-10.0,10,0.377221
-32.0,32,0.396914
-2.0,2,0.398436
-6.0,6,0.402337
-3.0,3,0.404615
-11.0,11,0.411352
-3.0,3,0.413559
-7.0,7,0.418043
-4.0,4,0.420852
-7.0,7,0.425382
-2.0,2,0.426909
-5.0,5,0.430282
-9.0,9,0.435912
-6.0,6,0.43979
-3.0,3,0.444436
-2.0,2,0.445979
-7.0,7,0.45043
-3.0,3,0.452801
-5.0,5,0.456263
-5.0,5,0.459534
-2.0,2,0.461156
-9.0,9,0.466744
-3.0,3,0.468912
-3.0,3,0.471211
-9.0,9,0.477092
-3.0,3,0.479338
-2.0,2,0.480994
-3.0,3,0.483167
-2.0,2,0.484748
-24.0,24,0.500847
-7.0,7,0.506382
-5.0,5,0.510347
-3.0,3,0.512901
-2.0,2,0.514552
-13.0,13,0.524507
-2.0,2,0.526475
-5.0,5,0.530302
-8.0,8,0.535917
-3.0,3,0.538538
-1.0,2,0.540364
-2.0,2,0.542174
-5.0,6,0.54709
-2.0,2,0.548706
-5.0,5,0.552223
-2.0,2,0.553875
-2.0,2,0.555491
-2.0,2,0.557088
-8.0,8,0.562128
-31.0,31,0.580447
-4.0,4,0.58317
-4.0,5,0.586708
-6.0,6,0.590605
-6.0,6,0.594524
-3.0,3,0.596653
-9.0,9,0.602883
-3.0,3,0.605073
-3.0,3,0.607225
-4.0,4,0.609953
-2.0,2,0.611489
-3.0,3,0.61363
-2.0,2,0.615203
-14.0,14,0.623754
-12.0,13,0.631897
-2.0,2,0.633463
-18.0,18,0.644324
-8.0,9,0.650073
-2.0,2,0.651641
-3.0,3,0.653872
-2.0,2,0.655415
-2.0,2,0.657055
-2.0,2,0.658621
-2.0,2,0.660155
-4.0,5,0.663539
-8.0,8,0.668563
-2.0,2,0.670203
-2.0,2,0.671745
-2.0,2,0.67334
-11.0,11,0.679987
-7.0,7,0.68496
-25.0,25,0.700734
-8.0,8,0.706012
-3.0,3,0.708274
-2.0,2,0.709802
-7.0,7,0.714188
-4.0,4,0.716913
-2.0,2,0.718418
-5.0,5,0.72177
-4.0,4,0.724453
-4.0,4,0.727088
-21.0,21,0.739639
-5.0,5,0.743047
-2.0,2,0.744615
-9.0,9,0.750189
-3.0,3,0.752408
-6.0,6,0.75632
-11.0,11,0.762999
-7.0,7,0.767457
-8.0,8,0.772591
-2.0,2,0.774122
-2.0,2,0.775635
-2.0,2,0.777203
-5.0,5,0.780529
-2.0,2,0.782054
-2.0,2,0.783567
-4.0,4,0.786444
-3.0,3,0.788666
-4.0,4,0.79262
-5.0,5,0.795944
-2.0,2,0.797578
-2.0,2,0.799166
-3.0,3,0.801358
-29.0,29,0.820039
-2.0,2,0.821837
-2.0,2,0.823622
-6.0,6,0.828081
-4.0,5,0.831662
-10.0,10,0.838333
-2.0,2,0.839912
-6.0,6,0.843872
-5.0,5,0.847498
-3.0,3,0.849931
-3.0,3,0.852319
-2.0,2,0.854243
-13.0,13,0.862763
-5.0,5,0.866065
-4.0,4,0.868778
-33.0,33,0.88844
-9.0,9,0.89403
-7.0,7,0.898662
-3.0,3,0.900904
-2.0,2,0.902581
-15.0,15,0.911659
-22.0,22,0.924865
-3.0,3,0.926962
-6.0,6,0.930787
-12.0,12,0.938154
-5.0,6,0.943387
-7.0,7,0.947898
-10.0,10,0.954189
-3.0,3,0.956302
-7.0,7,0.96075
-11.0,11,0.967517
-2.0,2,0.969152
-2.0,2,0.970787
-5.0,5,0.974046
-35.0,35,0.994443
-2.0,2,0.996034
-2.0,2,0.997587
-13.0,13,1.00614
-7.0,7,1.011028
-3.0,3,1.013346
-24.0,24,1.027838
-4.0,4,1.030539
-3.0,3,1.032736
-12.0,12,1.040149
-7.0,7,1.044668
-3.0,3,1.046779
-2.0,2,1.048439
-2.0,2,1.049971
-3.0,3,1.052101
-4.0,4,1.054848
-10.0,10,1.061163
-3.0,3,1.063259
-36.0,36,1.084283
-3.0,3,1.086516
-11.0,11,1.093266
-13.0,13,1.101058
-6.0,6,1.105036
-4.0,4,1.107709
-2.0,2,1.10927
-4.0,4,1.112015
-6.0,6,1.115896
-7.0,7,1.120576
-2.0,2,1.122163
-9.0,9,1.129633
-3.0,3,1.131737
-10.0,10,1.137961
-26.0,26,1.153407
-6.0,6,1.157367
-3.0,4,1.160469
-4.0,4,1.163234
-10.0,10,1.169899
-3.0,3,1.172262
-2.0,2,1.174015
-5.0,5,1.177475
-28.0,28,1.19417
-8.0,8,1.199272
-2.0,2,1.200866
-2.0,2,1.202397
-2.0,2,1.204019
-2.0,2,1.20565
-2.0,2,1.207183
-5.0,5,1.210553
-6.0,7,1.215137
-2.0,2,1.216727
-3.0,3,1.218835
-7.0,7,1.223622
-6.0,6,1.227518
-17.0,17,1.237956
-6.0,6,1.241854
-2.0,2,1.243386
-4.0,4,1.246181
-2.0,2,1.247707
-2.0,2,1.249431
-16.0,16,1.259124
-6.0,6,1.262979
-3.0,3,1.265138
-5.0,5,1.268504
-4.0,4,1.271302
-2.0,2,1.272902
-18.0,18,1.284263
-3.0,3,1.286615
-4.0,4,1.289521
-7.0,7,1.294193
-6.0,6,1.30017
-2.0,2,1.301933
-3.0,3,1.304456
-3.0,4,1.307516
-11.0,11,1.315198
-2.0,2,1.317227
-6.0,6,1.321934
-8.0,8,1.327578
-2.0,2,1.32939
-5.0,5,1.332914
-14.0,14,1.34159
-3.0,3,1.343707
-2.0,2,1.345287
-13.0,13,1.353377
-4.0,4,1.356162
-3.0,3,1.358275
-3.0,3,1.360464
-12.0,12,1.367753
-2.0,2,1.369431
-2.0,2,1.370969
-3.0,3,2.195506
-6.0,6,2.19987
-2.0,2,2.201589
-4.0,4,2.204393
-11.0,11,2.211222
-3.0,3,2.213363
-6.0,6,2.217239
-2.0,2,2.218815
-2.0,2,2.220431
-3.0,3,2.222519
-4.0,4,2.225213
-2.0,2,2.226729
-2.0,2,2.228328
-2.0,2,2.229974
-3.0,3,2.23209
-2.0,2,2.233681
-3.0,3,2.235759
-3.0,3,2.237886
-3.0,3,2.240035
-2.0,2,2.241785
-2.0,2,2.243306
-2.0,2,2.244905
-3.0,3,2.247105
-2.0,2,2.248723
-3.0,3,2.251133
-3.0,3,2.253268
-2.0,2,2.254785
-2.0,2,2.256388
-3.0,3,2.258538
-6.0,6,2.262521
-3.0,3,2.264717
-2.0,2,2.266289
-3.0,3,2.268427
-3.0,3,2.27051
-2.0,2,2.27209
-2.0,2,2.273675
-2.0,2,2.27524
-2.0,2,2.276846
-3.0,3,2.278983
-12.0,13,2.287012
-3.0,3,2.289224
-2.0,2,2.290798
-3.0,3,2.292921
-2.0,2,2.294434
-6.0,6,2.298297
-2.0,2,2.299906
-4.0,4,2.302631
-2.0,2,2.304241
-3.0,3,2.306393
-4.0,4,2.30909
-6.0,6,2.312991
-8.0,8,2.318038
-3.0,4,2.321021
-4.0,4,2.323749
-2.0,2,2.325361
-6.0,6,2.329214
-3.0,3,2.331343
-6.0,6,2.335158
-4.0,5,2.338555
-4.0,4,2.341243
-2.0,2,2.342808
-3.0,3,2.344996
-2.0,2,2.346635
-4.0,4,2.349449
-3.0,3,2.351581
-7.0,7,2.356109
-2.0,2,2.357729
-3.0,3,2.359817
-4.0,4,2.36255
-3.0,3,2.364691
-2.0,2,2.366267
-2.0,2,2.367834
-6.0,6,2.372765
-6.0,6,2.376752
-8.0,8,2.381891
-2.0,2,2.383473
-3.0,3,2.385658
-2.0,2,2.387225
-2.0,2,2.38878
-3.0,3,2.390862
-2.0,2,2.392525
-3.0,3,2.394672
-3.0,3,2.396851
-2.0,2,2.398367
-2.0,2,2.399939
-3.0,3,2.40209
-2.0,2,2.404127
-7.0,8,2.409353
-10.0,10,2.415566
-4.0,4,2.418294
-3.0,3,2.420486
-2.0,2,2.421993
-2.0,2,2.423553
-3.0,3,2.425667
-6.0,7,2.430212
-4.0,5,2.433643
-3.0,3,2.435744
-3.0,3,2.437876
-2.0,2,2.439515
-5.0,5,2.442773
-2.0,2,2.444311
-2.0,2,2.445909
-4.0,4,2.448607
-7.0,7,2.452989
-2.0,2,2.454496
-2.0,2,2.45609
-7.0,8,2.461267
-3.0,3,2.463364
-6.0,6,2.467234
-2.0,2,2.468926
-3.0,3,2.47105
-6.0,7,2.475849
-5.0,5,2.479132
-2.0,2,2.480757
-5.0,5,2.484017
-2.0,2,2.485612
-5.0,5,2.48897
-3.0,4,2.491777
-2.0,2,2.493352
-3.0,3,2.495448
-6.0,6,2.499344
-2.0,2,2.50104
-5.0,5,2.504464
-2.0,2,2.506002
-2.0,2,2.507602
-2.0,2,2.50932
-3.0,3,2.511526
-3.0,3,2.513721
-8.0,8,2.520333
-3.0,3,2.522771
-2.0,2,2.524352
-2.0,2,2.525938
-3.0,3,2.528162
-3.0,3,2.530503
-9.0,9,2.536518
-8.0,8,2.542191
-3.0,3,2.544577
-3.0,3,2.546856
-3.0,3,2.549077
-4.0,4,2.551898
-3.0,3,2.554126
-3.0,3,2.556488
-2.0,2,2.558109
-2.0,2,2.559742
-8.0,8,2.565249
-3.0,3,2.56747
-3.0,3,2.569634
-4.0,4,2.572334
-2.0,2,2.573867
-2.0,2,2.575388
-4.0,4,2.578084
-6.0,6,2.581916
-3.0,3,2.584163
-2.0,2,2.585693
-2.0,2,2.587202
-3.0,3,2.589458
-2.0,2,2.59098
-3.0,3,2.593142
-5.0,5,2.596469
-5.0,5,2.599771
-3.0,3,2.601921
-2.0,2,2.603435
