#{"t_start": 1745909363.9193764, "env_id": "None"}
r,l,t
-4.0,4,0.013222
-2.0,2,0.014865
-6.0,7,0.019473
-2.0,2,0.021
-17.0,17,0.031121
-12.0,12,0.038357
-25.0,25,0.052918
-2.0,2,0.054492
-6.0,6,0.058339
-5.0,5,0.061554
-7.0,7,0.066031
-7.0,7,0.07049
-2.0,2,0.072061
-15.0,15,0.080985
-3.0,3,0.083119
-3.0,4,0.085961
-6.0,6,0.089824
-2.0,2,0.091355
-2.0,2,0.092871
-3.0,3,0.094992
-6.0,6,0.098805
-4.0,4,0.101443
-2.0,2,0.102989
-2.0,2,0.10466
-3.0,3,0.106845
-12.0,12,0.114054
-1.0,2,0.115762
-3.0,3,0.118044
-6.0,6,0.121925
-13.0,13,0.129899
-2.0,2,0.131474
-11.0,12,0.138979
-2.0,2,0.140563
-15.0,15,0.149981
-6.0,6,0.154272
-5.0,5,0.157827
-5.0,5,0.163089
-5.0,5,0.166527
-4.0,4,0.169907
-4.0,4,0.173059
-7.0,8,0.179054
-2.0,2,0.180818
-2.0,2,0.18272
-5.0,5,0.186279
-9.0,9,0.192251
-5.0,5,0.196444
-6.0,6,0.200799
-11.0,11,0.208122
-21.0,21,0.221292
-3.0,3,0.223677
-2.0,2,0.225253
-3.0,3,0.227425
-13.0,13,0.235373
-4.0,4,0.238076
-2.0,2,0.239767
-2.0,2,0.241372
-4.0,4,0.244127
-6.0,6,0.247968
-3.0,3,0.250079
-2.0,2,0.251614
-2.0,2,0.253177
-3.0,3,0.255309
-9.0,9,0.260844
-2.0,2,0.262475
-13.0,13,0.270283
-8.0,9,0.275963
-2.0,2,0.277536
-9.0,9,0.283101
-9.0,9,0.288632
-2.0,2,0.290175
-6.0,6,0.294034
-2.0,2,0.295557
-11.0,11,0.30219
-16.0,16,0.311743
-4.0,4,0.314433
-11.0,11,0.321083
-8.0,8,0.326061
-4.0,4,0.328736
-3.0,4,0.331584
-5.0,6,0.335565
-6.0,6,0.339451
-8.0,8,0.344467
-6.0,6,0.34832
-2.0,2,0.349859
-2.0,2,0.351453
-6.0,6,0.355284
