#{"t_start": 1745909218.329859, "env_id": "None"}
r,l,t
-2.0,2,0.010855
-12.0,12,0.01858
-4.0,4,0.021427
-3.0,3,0.023642
-4.0,4,0.026414
-2.0,2,0.028024
-4.0,4,0.030745
-3.0,3,0.033023
-2.0,2,0.034622
-2.0,2,0.036214
-3.0,3,0.038374
-5.0,5,0.041724
-2.0,2,0.043321
-2.0,2,0.045028
-4.0,4,0.047812
-10.0,10,0.054226
-4.0,4,0.057002
-5.0,5,0.060342
-2.0,2,0.061955
-2.0,2,0.063521
-20.0,20,0.075851
-5.0,5,0.079284
-7.0,7,0.083827
-9.0,9,0.089719
-6.0,6,0.093651
-5.0,5,0.097013
-7.0,7,0.101578
-2.0,2,0.103144
-5.0,5,0.106516
-6.0,6,0.110495
-5.0,5,0.113847
-2.0,2,0.115486
-2.0,2,0.117065
-3.0,3,0.119237
-2.0,2,0.120821
-3.0,3,0.123014
-8.0,8,0.128207
-6.0,6,0.132696
-9.0,9,0.138391
-16.0,16,0.148225
-4.0,4,0.151416
-3.0,3,0.153859
-4.0,4,0.156766
-2.0,2,0.158329
-5.0,5,0.161695
-2.0,2,0.164771
-2.0,2,0.166328
-19.0,19,0.178047
-3.0,3,0.180215
-6.0,6,0.18412
-5.0,5,0.187481
-4.0,4,0.190216
-6.0,6,0.194227
-3.0,3,0.1964
-6.0,6,0.20033
-2.0,2,0.201926
-3.0,3,0.204179
-2.0,2,0.205735
-5.0,5,0.209141
-5.0,5,0.21258
-2.0,2,0.214149
-4.0,4,0.216902
-10.0,10,0.223615
-3.0,3,0.225804
-6.0,6,0.229771
-2.0,2,0.231404
-7.0,7,0.235909
-10.0,10,0.242238
-10.0,10,0.248683
-4.0,4,0.251458
-11.0,11,0.258389
-4.0,4,0.261213
-3.0,3,0.263451
-3.0,3,0.265674
-16.0,16,0.275491
-2.0,2,0.277135
-4.0,4,0.279905
-2.0,2,0.281494
-2.0,2,0.283062
-4.0,4,0.285853
-6.0,6,0.289795
-2.0,2,0.291408
-2.0,2,0.293024
-2.0,2,0.294585
-2.0,2,0.296224
-3.0,3,0.298409
-10.0,10,0.304695
-9.0,9,0.310548
-3.0,3,0.312701
-8.0,8,0.317713
-6.0,6,0.321536
-4.0,4,0.324515
-3.0,3,0.326651
-6.0,6,0.330501
-4.0,4,0.333184
-2.0,2,0.334692
-3.0,3,0.336815
-3.0,3,0.338893
-3.0,3,0.341075
-14.0,14,0.349606
-7.0,7,0.354204
-2.0,2,0.355775
-10.0,10,0.363848
-4.0,4,0.366579
-3.0,3,0.368751
-3.0,3,0.370874
-5.0,5,0.374347
-5.0,5,0.377664
-11.0,11,0.384624
-3.0,3,0.386909
-2.0,2,0.388576
-7.0,7,0.393141
-12.0,12,0.40061
-2.0,2,0.402169
-3.0,3,0.404372
-3.0,3,0.40652
-3.0,3,0.408748
-2.0,2,0.410315
-5.0,5,0.41365
-2.0,2,0.415218
-2.0,2,0.416825
-2.0,2,0.418369
-2.0,2,0.41992
-4.0,4,0.422667
-2.0,2,0.424274
-27.0,27,0.441409
-2.0,2,0.442981
-7.0,7,0.447456
-2.0,2,0.449051
-5.0,5,0.452708
-2.0,2,0.454289
-14.0,14,0.462893
-4.0,4,0.465801
-3.0,3,0.467978
-2.0,2,0.469578
-2.0,2,0.471094
-3.0,3,0.473206
-7.0,7,0.477722
-2.0,2,0.479254
-3.0,3,0.481423
-3.0,3,0.483525
-9.0,9,0.489035
-4.0,4,0.491707
-5.0,5,0.495151
-4.0,4,0.497898
-3.0,3,0.500028
-20.0,20,0.511897
-2.0,2,0.513472
-4.0,4,0.516319
-5.0,5,0.520045
-5.0,5,0.523392
-2.0,2,0.525022
-3.0,3,0.527174
-8.0,8,0.532174
-13.0,13,0.54018
-4.0,4,0.542935
-6.0,6,0.546846
-6.0,6,0.550766
-2.0,2,0.552323
-2.0,2,0.554075
-4.0,4,0.556951
-3.0,3,0.559052
-3.0,3,0.56117
-9.0,9,0.566679
-3.0,3,0.568841
-3.0,3,0.571024
-5.0,5,0.574272
-2.0,2,0.575809
-2.0,2,0.577384
-5.0,5,0.580684
-2.0,2,0.58221
-6.0,6,0.586344
-3.0,3,0.588547
-2.0,2,0.590545
-3.0,3,0.592682
-8.0,8,0.597756
-6.0,6,0.601584
-3.0,3,0.603682
-7.0,7,0.60816
-2.0,2,0.609671
-3.0,3,0.611919
-7.0,7,0.6166
-2.0,2,0.618276
-7.0,7,0.622715
-21.0,21,0.63521
-2.0,2,0.636754
-2.0,2,0.638347
-15.0,15,0.647752
-5.0,5,0.650995
-2.0,2,0.652554
-16.0,16,0.662277
-2.0,2,0.663822
-2.0,2,0.665378
-2.0,2,0.666949
-4.0,4,0.669678
-10.0,10,0.676007
-7.0,7,0.680546
-5.0,5,0.683846
-16.0,16,0.693348
-2.0,2,0.694863
-4.0,4,0.697606
-11.0,11,0.705329
-4.0,4,0.70803
-5.0,5,0.711373
-18.0,18,0.722151
-5.0,5,0.725426
-3.0,3,0.727539
-7.0,7,0.731898
-7.0,7,0.73654
-7.0,7,0.740911
-10.0,10,0.74696
-6.0,6,0.750768
-6.0,6,0.754739
-4.0,4,0.757484
-9.0,9,0.763036
-27.0,27,0.778997
-5.0,5,0.782266
-2.0,2,0.783806
-2.0,2,0.785413
-4.0,4,0.788108
-8.0,8,0.793041
-5.0,5,0.79647
-2.0,2,0.797992
-5.0,5,0.801242
-5.0,5,0.804562
-4.0,4,0.807245
-11.0,11,0.813962
-4.0,4,0.816765
-4.0,4,0.819459
-3.0,3,0.821567
-4.0,4,0.824507
-4.0,4,0.827263
-2.0,2,0.828803
-6.0,6,0.833964
-2.0,2,0.83559
-6.0,6,0.839549
