#{"t_start": 1745912638.0846362, "env_id": "None"}
r,l,t
-31.0,31,0.039175
-10.0,10,0.048966
-2.0,2,0.051949
-2.0,2,0.054166
-2.0,2,0.056556
-3.0,3,0.059572
-2.0,2,0.061871
-8.0,8,0.068787
-2.0,2,0.070273
-7.0,7,0.074362
-2.0,2,0.075907
-3.0,3,0.078024
-3.0,3,0.080113
-14.0,14,0.0884
-6.0,6,0.092008
-9.0,9,0.097157
-6.0,6,0.100954
-5.0,5,0.104003
-2.0,2,0.105477
-7.0,7,0.109521
-7.0,7,0.113876
-2.0,2,0.115383
-4.0,4,0.118042
-3.0,3,0.119989
-5.0,5,0.122956
-3.0,3,0.125072
-2.0,2,0.126457
-2.0,2,0.127864
-14.0,14,0.136213
-13.0,13,0.143422
-11.0,11,0.149618
-9.0,9,0.155232
-3.0,3,0.157258
-7.0,7,0.161356
-2.0,2,0.162871
-3.0,3,0.164838
-5.0,5,0.167804
-4.0,4,0.170266
-4.0,4,0.172966
-10.0,10,0.179659
-3.0,3,0.181797
-2.0,2,0.1833
-6.0,6,0.186869
-15.0,15,0.195188
-2.0,2,0.196766
-11.0,11,0.203439
-8.0,8,0.208398
-6.0,6,0.212223
-8.0,8,0.217197
-5.0,5,0.220214
-3.0,3,0.222164
-5.0,5,0.225263
-2.0,2,0.226672
-5.0,5,0.229692
-17.0,17,0.239785
-15.0,15,0.248721
-4.0,4,0.251487
-28.0,28,0.266773
-4.0,4,0.2695
-5.0,5,0.272844
-2.0,2,0.274317
-2.0,2,0.275858
-8.0,8,0.280843
-5.0,5,0.284093
-3.0,3,0.286214
-5.0,5,0.289481
-2.0,2,0.290995
-2.0,2,0.29245
-8.0,8,0.297101
-6.0,6,0.300676
-5.0,5,0.303944
-3.0,3,0.306073
-4.0,4,0.308778
-4.0,4,0.311454
-3.0,3,0.313565
-3.0,3,0.315664
-4.0,4,0.318167
-4.0,4,0.320953
-5.0,5,0.324223
-5.0,5,0.327251
-10.0,10,0.333029
-2.0,2,0.334626
-4.0,4,0.337152
-4.0,4,0.339848
-3.0,3,0.341832
-5.0,5,0.345117
-2.0,2,0.346612
-5.0,5,0.349904
-17.0,17,0.360368
-9.0,9,0.365544
-7.0,7,0.369964
-13.0,13,0.377284
-4.0,4,0.379882
-3.0,3,0.382027
-10.0,10,0.387855
-2.0,2,0.389295
-4.0,4,0.391989
-2.0,2,0.393538
-4.0,4,0.396288
-4.0,4,0.398971
-9.0,9,0.404215
-15.0,15,0.413268
-3.0,3,0.415446
-3.0,3,0.419273
-5.0,5,0.422347
-2.0,2,0.423842
-4.0,4,0.4264
-8.0,8,0.431059
-3.0,3,0.433052
-2.0,2,0.434566
-6.0,6,0.438443
-3.0,3,0.440439
-3.0,3,0.442382
-2.0,2,0.443934
-3.0,3,0.445915
-4.0,4,0.448399
-6.0,6,0.452306
-8.0,8,0.457012
-2.0,2,0.458551
-7.0,7,0.462704
-4.0,4,0.465484
-8.0,8,0.470448
-2.0,2,0.471882
-4.0,4,0.474575
-2.0,2,0.47601
-3.0,3,0.478133
-6.0,6,0.481765
-11.0,11,0.488026
-5.0,5,0.491287
-2.0,2,0.493043
-2.0,2,0.494459
-4.0,4,0.497044
-10.0,10,0.503164
-4.0,4,0.505867
-13.0,13,0.513165
-6.0,6,0.517009
-4.0,4,0.519491
-5.0,5,0.522587
-6.0,6,0.5265
-2.0,2,0.528044
-3.0,3,0.530017
-6.0,6,0.533915
-2.0,2,0.535328
-2.0,2,0.536785
-5.0,5,0.539861
-5.0,5,0.54287
-11.0,11,0.549099
-2.0,2,0.550636
-5.0,5,0.553917
-2.0,2,0.555667
-7.0,7,0.560085
-2.0,2,0.561633
-3.0,3,0.563757
-5.0,5,0.566852
-3.0,3,0.568916
-9.0,9,0.574516
-2.0,2,0.575953
-3.0,3,0.577919
-3.0,3,0.579928
-13.0,13,0.58777
-2.0,2,0.589324
-5.0,5,0.59236
