#{"t_start": 1745912064.2021384, "env_id": "None"}
r,l,t
-19.0,19,0.020614
-11.0,11,0.027989
-2.0,2,0.02961
-2.0,2,0.031476
-9.0,9,0.037311
-3.0,3,0.039784
-28.0,28,0.057932
-27.0,27,0.075461
-23.0,23,0.089834
-2.0,2,0.091611
-20.0,20,0.104272
-4.0,4,0.107328
-13.0,13,0.115652
-11.0,12,0.12351
-2.0,2,0.125035
-2.0,2,0.126782
-5.0,6,0.131637
-6.0,6,0.135874
-3.0,3,0.138129
-15.0,15,0.148007
-7.0,7,0.152863
-11.0,11,0.160561
-2.0,2,0.162339
-5.0,5,0.166165
-35.0,35,0.189893
-5.0,5,0.193673
-13.0,13,0.205259
-12.0,13,0.214647
-14.0,15,0.225094
-1.0,2,0.226955
-10.0,11,0.234602
-3.0,3,0.237162
-4.0,4,0.24035
-4.0,4,0.243566
-2.0,2,0.24541
-6.0,6,0.249963
-4.0,4,0.252625
-3.0,3,0.254997
-39.0,39,0.281716
-4.0,4,0.284454
-8.0,8,0.290119
-7.0,7,0.295264
-8.0,8,0.300959
-7.0,7,0.305965
-2.0,2,0.307832
-9.0,9,0.314366
-4.0,4,0.317475
-6.0,6,0.321911
-11.0,11,0.329406
-5.0,5,0.335149
-4.0,4,0.338343
-8.0,8,0.344244
-5.0,5,0.34803
-2.0,2,0.351599
-12.0,12,0.36027
-5.0,5,0.364189
-2.0,2,0.365998
-10.0,10,0.373495
-14.0,14,0.382986
-2.0,2,0.384793
-9.0,9,0.391037
-13.0,13,0.399916
-2.0,2,0.401576
-4.0,4,0.404662
-3.0,4,0.407956
-3.0,3,0.410181
-3.0,3,0.412603
-7.0,7,0.417442
-4.0,5,0.42129
-10.0,10,0.428258
-9.0,9,0.434437
-14.0,14,0.443882
-3.0,4,0.447044
-8.0,8,0.452761
-5.0,5,0.456419
-9.0,9,0.462556
-12.0,12,0.470481
-3.0,3,0.472847
-7.0,7,0.477591
-26.0,26,0.494312
-7.0,7,0.499285
-13.0,13,0.507438
-2.0,2,0.508962
-7.0,8,0.514729
-9.0,9,0.520828
-3.0,3,0.523268
-6.0,6,0.5292
-9.0,9,0.535541
-8.0,8,0.540828
-12.0,12,0.548882
-4.0,5,0.552714
-11.0,11,0.560203
-3.0,3,0.562528
-11.0,12,0.57113
-4.0,5,0.574878
-6.0,6,0.579263
-7.0,7,0.584149
-8.0,8,0.589478
-2.0,3,0.592198
-3.0,3,0.594456
-3.0,3,0.596806
-4.0,4,0.599904
-19.0,19,0.612244
-46.0,46,0.641228
-2.0,3,0.643831
-10.0,10,0.65027
-17.0,17,0.661058
-3.0,3,0.663672
-2.0,2,0.665262
-2.0,2,0.667961
-2.0,2,0.66951
-15.0,15,0.679766
-3.0,3,0.682024
-5.0,5,0.685621
-14.0,14,0.695146
-3.0,3,0.697365
-12.0,12,0.705434
-3.0,3,0.708071
-29.0,29,0.727906
-10.0,10,0.734168
-9.0,9,0.740449
-9.0,10,0.747553
-5.0,5,0.751196
-11.0,11,0.758684
-25.0,25,0.775102
-2.0,3,0.777489
-9.0,9,0.783761
-15.0,16,0.794327
-5.0,5,0.797866
-6.0,6,0.803758
-14.0,14,0.81294
-5.0,5,0.816591
