#{"t_start": 1739936652.6076078, "env_id": "None"}
r,l,t
0.0,100,0.044263
0.0,100,0.080932
0.0,100,0.117416
0.0,100,0.15401
0.0,100,0.190417
0.0,100,0.226852
0.0,100,0.262991
0.0,100,0.298975
0.0,100,0.335051
0.0,100,0.37184
-1.0,44,0.388035
0.0,100,0.424214
0.0,100,0.467387
0.0,100,0.503886
0.0,100,0.54053
0.0,100,0.577622
0.0,100,0.613974
0.0,100,0.650389
0.0,100,0.686887
0.0,100,0.723313
0.0,100,0.759858
-1.0,35,1.426976
0.0,100,1.46465
0.0,100,1.501535
0.0,100,1.53864
0.0,100,1.575423
0.0,100,1.612732
0.0,100,1.649699
0.0,100,1.686366
0.0,100,1.723566
0.0,100,1.763243
0.0,100,1.803575
0.0,100,1.840218
0.0,100,1.883413
0.0,100,1.920412
0.0,100,1.957145
0.0,100,1.994116
0.0,100,2.03179
0.0,100,2.068549
0.0,100,2.105578
0.0,100,2.142309
0.0,100,2.179131
0.0,100,2.842097
0.0,100,2.878202
0.0,100,2.914072
0.0,100,2.949572
0.0,100,2.985354
0.0,100,3.021369
0.0,100,3.057458
0.0,100,3.093422
0.0,100,3.129337
0.0,100,3.175432
0.0,100,3.205889
0.0,100,3.236317
0.0,100,3.267681
0.0,100,3.299395
0.0,100,3.34223
0.0,100,3.379817
0.0,100,3.417102
0.0,100,3.453394
0.0,100,3.491862
0.0,100,3.52986
0.0,100,3.567049
0.0,100,3.60429
0.0,100,3.641517
-1.0,34,3.654267
0.0,100,3.691848
0.0,100,3.72968
0.0,100,4.418993
0.0,100,4.457307
0.0,100,4.49506
0.0,100,4.533366
0.0,100,4.569789
0.0,100,4.606575
0.0,100,4.643568
0.0,100,4.680285
0.0,100,4.716939
0.0,100,4.75457
0.0,100,4.791372
0.0,100,4.827943
0.0,100,4.871561
0.0,100,4.908258
0.0,100,4.946161
0.0,100,4.983612
0.0,100,5.021108
0.0,100,5.060216
0.0,100,5.097011
0.0,100,5.134478
0.0,100,5.812526
0.0,100,5.848951
0.0,100,5.885477
0.0,100,5.921752
0.0,100,5.958241
0.0,100,5.998277
0.0,100,6.037322
0.0,100,6.073221
0.0,100,6.11138
0.0,100,6.147915
0.0,100,6.184988
0.0,100,6.221565
0.0,100,6.258004
0.0,100,6.294383
0.0,100,6.330988
0.0,100,6.367155
0.0,100,6.402743
0.0,100,6.444774
0.0,100,6.499091
0.0,100,6.528334
0.0,100,6.557484
0.0,100,6.586562
0.0,100,6.615749
0.0,100,6.652407
0.0,100,6.688472
0.0,100,7.331728
0.0,100,7.370054
0.0,100,7.408555
0.0,100,7.446931
0.0,100,7.48493
0.0,100,7.523367
0.0,100,7.56183
0.0,100,7.600167
0.0,100,7.638263
0.0,100,7.676925
-1.0,29,7.688527
0.0,100,7.727044
0.0,100,7.771382
0.0,100,7.809442
0.0,100,7.848838
0.0,100,7.887048
0.0,100,7.926633
0.0,100,7.965487
0.0,100,8.003767
0.0,100,8.042351
0.0,100,8.081549
0.0,100,8.761878
0.0,100,8.800805
0.0,100,8.839401
0.0,100,8.877717
0.0,100,8.916258
0.0,100,8.954988
0.0,100,8.993276
0.0,100,9.031415
0.0,100,9.069668
-1.0,24,9.079307
0.0,100,9.117099
0.0,100,9.152644
0.0,100,9.189591
0.0,100,9.231628
0.0,100,9.267326
0.0,100,9.303215
0.0,100,9.33873
0.0,100,9.374326
0.0,100,9.409809
0.0,100,9.445531
0.0,100,9.481194
0.0,100,10.111726
0.0,100,10.147686
0.0,100,10.183329
0.0,100,10.219068
0.0,100,10.254907
0.0,100,10.290673
0.0,100,10.326068
0.0,100,10.375859
0.0,100,10.40519
0.0,100,10.434638
