#{"t_start": 1739951288.1835165, "env_id": "None"}
r,l,t
0.0,100,0.048272
0.0,100,0.085277
0.0,100,0.121837
-1.0,2,0.123036
0.0,100,0.159577
0.0,100,0.196175
0.0,100,0.232676
0.0,100,0.26956
0.0,100,0.306343
0.0,100,0.342735
0.0,100,0.379296
0.0,100,0.416603
0.0,100,0.453435
0.0,100,0.490144
0.0,100,0.52679
0.0,100,0.571668
0.0,100,0.607937
0.0,100,0.643587
0.0,100,0.679061
0.0,100,0.715349
0.0,100,0.751251
0.0,100,1.369419
-1.0,53,1.388976
0.0,100,1.424668
0.0,100,1.460666
-1.0,3,1.46213
0.0,100,1.49832
0.0,100,1.534624
0.0,100,1.57252
0.0,100,1.608291
-1.0,29,1.619558
0.0,100,1.655633
0.0,100,1.692483
0.0,100,1.728972
0.0,100,1.764828
0.0,100,1.800484
0.0,100,1.836034
0.0,100,1.875458
0.0,100,1.91152
0.0,100,1.947436
0.0,100,1.983297
0.0,100,2.019048
0.0,100,2.055605
-1.0,48,2.073413
0.0,100,2.695747
0.0,100,2.732288
0.0,100,2.768275
0.0,100,2.803933
0.0,100,2.839653
0.0,100,2.875729
0.0,100,2.911564
0.0,100,2.947449
0.0,100,2.983248
-1.0,37,2.996737
0.0,100,3.044842
0.0,100,3.075765
0.0,100,3.105867
0.0,100,3.135919
0.0,100,3.16536
0.0,100,3.207107
0.0,100,3.24384
0.0,100,3.28036
0.0,100,3.316766
0.0,100,3.353289
0.0,100,3.389706
0.0,100,3.426069
0.0,100,3.462032
0.0,100,3.498313
-1.0,1,3.499069
0.0,100,3.535776
0.0,100,3.572205
0.0,100,4.191704
0.0,100,4.228032
0.0,100,4.264273
0.0,100,4.300918
0.0,100,4.336903
0.0,100,4.372871
0.0,100,4.408759
-1.0,95,4.442807
0.0,100,4.478659
0.0,100,4.514238
0.0,100,4.549936
0.0,100,4.585714
0.0,100,4.621169
0.0,100,4.657203
0.0,100,4.692773
-1.0,34,4.711996
0.0,100,4.748071
0.0,100,4.784617
0.0,100,4.82068
0.0,100,4.856792
0.0,100,4.892324
0.0,100,5.512555
-1.0,97,5.54753
0.0,100,5.58304
0.0,100,5.618607
0.0,100,5.654338
0.0,100,5.689939
0.0,100,5.725286
0.0,100,5.760648
0.0,100,5.79621
0.0,100,5.832008
0.0,100,5.867865
0.0,100,5.903612
0.0,100,5.940483
0.0,100,5.976292
0.0,100,6.012308
0.0,100,6.056021
0.0,100,6.092316
0.0,100,6.128778
0.0,100,6.186123
0.0,100,6.215796
0.0,100,6.245804
0.0,100,6.275415
0.0,100,6.305201
-1.0,55,6.326414
0.0,100,6.362215
0.0,100,6.981677
0.0,100,7.018047
0.0,100,7.054314
0.0,100,7.091379
0.0,100,7.127172
0.0,100,7.163054
0.0,100,7.199028
0.0,100,7.234639
-1.0,30,7.245843
0.0,100,7.281551
0.0,100,7.317457
0.0,100,7.35308
0.0,100,7.394593
-1.0,60,7.416346
0.0,100,7.452255
0.0,100,7.487635
0.0,100,7.523258
0.0,100,7.558967
0.0,100,7.594591
0.0,100,7.630525
0.0,100,7.666233
0.0,100,7.702622
0.0,100,8.443676
0.0,100,8.480261
0.0,100,8.516833
0.0,100,8.553593
0.0,100,8.589905
0.0,100,8.626076
0.0,100,8.662602
0.0,100,8.699286
0.0,100,8.736042
-1.0,37,8.750337
0.0,100,8.791856
0.0,100,8.829395
0.0,100,8.866548
0.0,100,8.904022
0.0,100,8.940797
0.0,100,8.976976
0.0,100,9.013622
0.0,100,9.050266
0.0,100,9.086755
0.0,100,9.122806
0.0,100,9.159949
0.0,100,9.780584
0.0,100,9.817473
0.0,100,9.853813
0.0,100,9.890078
0.0,100,9.926191
0.0,100,9.96321
0.0,100,9.999938
0.0,100,10.040082
0.0,100,10.07079
0.0,100,10.10058
0.0,100,10.130587
0.0,100,10.160507
0.0,100,10.198256
0.0,100,10.234593
0.0,100,10.271079
0.0,100,10.307353
0.0,100,10.343851
0.0,100,10.380127
0.0,100,10.416386
0.0,100,10.453368
0.0,100,10.489827
0.0,100,10.525999
0.0,100,10.562519
0.0,100,10.598585
0.0,100,10.635093
0.0,100,11.275138
0.0,100,11.314154
0.0,100,11.353741
0.0,100,11.392936
0.0,100,11.432353
0.0,100,11.471662
0.0,100,11.507459
0.0,100,11.543284
0.0,100,11.579554
0.0,100,11.615446
0.0,100,11.651348
0.0,100,11.691029
0.0,100,11.727231
0.0,100,11.763348
0.0,100,11.799753
0.0,100,11.843667
0.0,100,11.88174
0.0,100,11.918259
0.0,100,11.955561
0.0,100,11.991949
0.0,100,12.027873
0.0,100,12.650692
0.0,100,12.688816
0.0,100,12.7256
0.0,100,12.762852
0.0,100,12.799296
0.0,100,12.836204
0.0,100,12.872374
0.0,100,12.908869
0.0,100,12.94608
0.0,100,12.982034
0.0,100,13.017956
0.0,100,13.055696
0.0,100,13.093566
0.0,100,13.130874
0.0,100,13.166818
0.0,100,13.209936
0.0,100,13.240238
0.0,100,13.269715
0.0,100,13.299073
0.0,100,13.328362
0.0,100,13.357934
0.0,100,13.395299
0.0,100,13.431767
0.0,100,13.467337
0.0,100,13.502737
0.0,100,14.149695
0.0,100,14.186725
0.0,100,14.224419
0.0,100,14.261713
0.0,100,14.299052
0.0,100,14.337391
0.0,100,14.379506
0.0,100,14.418609
0.0,100,14.45665
0.0,100,14.492774
0.0,100,14.528546
0.0,100,14.564208
-1.0,14,14.569661
0.0,100,14.605217
0.0,100,14.641093
0.0,100,14.676873
-1.0,4,14.678696
0.0,100,14.72229
0.0,100,14.758217
0.0,100,14.793902
0.0,100,14.82966
0.0,100,14.865389
0.0,100,14.900888
0.0,100,15.544406
0.0,100,15.583609
0.0,100,15.62223
0.0,100,15.66123
0.0,100,15.699802
0.0,100,15.735947
0.0,100,15.774879
0.0,100,15.813182
0.0,100,15.851639
0.0,100,15.892331
0.0,100,15.930878
0.0,100,15.969241
0.0,100,16.007673
0.0,100,16.046095
0.0,100,16.084558
0.0,100,16.125514
0.0,100,16.164065
0.0,100,16.20252
0.0,100,16.241214
0.0,100,16.279649
0.0,100,16.93012
0.0,100,16.968583
0.0,100,17.006816
0.0,100,17.045007
0.0,100,17.110659
0.0,100,17.142797
0.0,100,17.174402
0.0,100,17.206148
0.0,100,17.238112
0.0,100,17.27767
0.0,100,17.31603
0.0,100,17.354126
0.0,100,17.392521
0.0,100,17.430838
0.0,100,17.469455
0.0,100,17.507844
0.0,100,17.54611
0.0,100,17.584278
0.0,100,17.622301
0.0,100,17.660747
0.0,100,17.69908
0.0,100,17.737393
0.0,100,17.775496
0.0,100,17.821215
0.0,100,17.859706
0.0,100,18.508568
0.0,100,18.547055
0.0,100,18.585805
0.0,100,18.624554
0.0,100,18.662873
0.0,100,18.701228
0.0,100,18.739671
0.0,100,18.778276
0.0,100,18.817023
0.0,100,18.855223
0.0,100,18.898139
0.0,100,18.93658
0.0,100,18.974808
0.0,100,19.013111
0.0,100,19.05129
0.0,100,19.089646
0.0,100,19.127665
0.0,100,19.165931
0.0,100,19.204045
0.0,100,19.241589
0.0,100,19.884594
0.0,100,19.923049
0.0,100,19.961219
0.0,100,19.999525
0.0,100,20.037687
0.0,100,20.075984
0.0,100,20.11457
0.0,100,20.152924
0.0,100,20.191843
0.0,100,20.230234
0.0,100,20.268674
0.0,100,20.307067
0.0,100,20.345205
0.0,100,20.38343
0.0,100,20.421817
0.0,100,20.45336
0.0,100,20.484772
0.0,100,20.516287
0.0,100,20.547511
0.0,100,20.584282
0.0,100,20.619902
0.0,100,20.655503
0.0,100,20.691157
0.0,100,20.727687
0.0,100,20.766191
0.0,100,20.804922
0.0,100,21.456792
0.0,100,21.495551
0.0,100,21.53388
0.0,100,21.572467
0.0,100,21.611155
0.0,100,21.649516
0.0,100,21.687844
0.0,100,21.726327
0.0,100,21.769062
0.0,100,21.808697
0.0,100,21.847803
0.0,100,21.886732
0.0,100,21.925573
0.0,100,21.963935
0.0,100,22.002553
0.0,100,22.04103
0.0,100,22.076468
0.0,100,22.112208
0.0,100,22.148668
0.0,100,22.18609
0.0,100,22.815856
0.0,100,22.852727
0.0,100,22.889292
0.0,100,22.925195
0.0,100,22.961161
0.0,100,22.997186
0.0,100,23.034415
0.0,100,23.070441
0.0,100,23.10634
0.0,100,23.142532
0.0,100,23.178333
0.0,100,23.214227
0.0,100,23.251777
0.0,100,23.287571
0.0,100,23.32454
0.0,100,23.369266
0.0,100,23.407433
0.0,100,23.444963
0.0,100,23.482196
0.0,100,23.521082
0.0,100,23.560128
0.0,100,24.221112
0.0,100,24.261703
0.0,100,24.294386
0.0,100,24.325367
0.0,100,24.355388
0.0,100,24.387227
0.0,100,24.417272
0.0,100,24.455142
0.0,100,24.492163
0.0,100,24.529222
-1.0,37,24.543708
0.0,100,24.580179
0.0,100,24.616594
0.0,100,24.653027
0.0,100,24.689581
0.0,100,24.730082
0.0,100,24.76687
0.0,100,24.803344
0.0,100,24.839636
-1.0,65,24.864027
0.0,100,24.900703
0.0,100,24.937748
0.0,100,24.97432
0.0,100,25.01162
0.0,100,25.048453
0.0,100,25.085143
0.0,100,25.711203
0.0,100,25.748275
0.0,100,25.784839
0.0,100,25.821393
0.0,100,25.85798
0.0,100,25.894782
0.0,100,25.931356
0.0,100,25.968128
0.0,100,26.005865
0.0,100,26.0429
0.0,100,26.086764
0.0,100,26.123981
0.0,100,26.160978
0.0,100,26.199402
0.0,100,26.238027
0.0,100,26.27647
-1.0,51,26.296281
0.0,100,26.335573
0.0,100,26.374516
0.0,100,26.412888
0.0,100,26.451499
0.0,100,27.097289
0.0,100,27.135891
0.0,100,27.174288
0.0,100,27.212451
0.0,100,27.25064
0.0,100,27.289062
0.0,100,27.325603
0.0,100,27.361675
0.0,100,27.397483
0.0,100,27.433066
0.0,100,27.468861
0.0,100,27.520362
0.0,100,27.55085
0.0,100,27.582663
0.0,100,27.614483
0.0,100,27.645983
0.0,100,27.686216
0.0,100,27.725549
0.0,100,27.76454
0.0,100,27.804174
0.0,100,27.842643
0.0,100,27.880897
0.0,100,27.919577
0.0,100,27.956168
0.0,100,27.994958
0.0,100,28.639257
0.0,100,28.675342
0.0,100,28.711571
0.0,100,28.747127
0.0,100,28.783023
0.0,100,28.819375
0.0,100,28.8551
0.0,100,28.890964
0.0,100,28.926691
0.0,100,28.96272
0.0,100,28.998431
0.0,100,29.034495
0.0,100,29.070688
0.0,100,29.106698
0.0,100,29.14997
0.0,100,29.185775
0.0,100,29.222133
0.0,100,29.258402
0.0,100,29.295991
0.0,100,29.333116
0.0,100,29.370314
0.0,100,29.989137
0.0,100,30.026625
0.0,100,30.063725
0.0,100,30.099968
0.0,100,30.135929
0.0,100,30.171896
0.0,100,30.20821
0.0,100,30.245001
0.0,100,30.281236
0.0,100,30.317384
0.0,100,30.353701
0.0,100,30.389618
0.0,100,30.425481
0.0,100,30.46199
0.0,100,30.505162
-1.0,72,30.531465
0.0,100,30.567765
0.0,100,30.603712
0.0,100,30.639937
0.0,100,30.675853
0.0,100,30.717825
0.0,100,30.747406
0.0,100,30.776657
0.0,100,30.806514
0.0,100,30.836142
0.0,100,31.447393
0.0,100,31.483563
0.0,100,31.519537
0.0,100,31.55539
0.0,100,31.591196
0.0,100,31.626822
0.0,100,31.663128
0.0,100,31.698583
0.0,100,31.7351
0.0,100,31.770582
0.0,100,31.806081
0.0,100,31.84265
0.0,100,31.878558
0.0,100,31.915195
0.0,100,31.957952
0.0,100,31.99364
0.0,100,32.029292
0.0,100,32.065741
-1.0,88,32.097475
0.0,100,32.133252
0.0,100,32.168771
0.0,100,32.797552
0.0,100,32.835572
0.0,100,32.873176
0.0,100,32.909544
0.0,100,32.946063
0.0,100,32.982643
0.0,100,33.019518
0.0,100,33.056518
0.0,100,33.092975
0.0,100,33.129372
0.0,100,33.165705
0.0,100,33.202073
0.0,100,33.238938
0.0,100,33.275652
0.0,100,33.319232
0.0,100,33.35589
0.0,100,33.392706
0.0,100,33.429318
0.0,100,33.466009
0.0,100,33.502403
0.0,100,34.12231
0.0,100,34.16035
0.0,100,34.198415
0.0,100,34.236001
0.0,100,34.272366
0.0,100,34.308887
0.0,100,34.344908
0.0,100,34.381517
0.0,100,34.418314
0.0,100,34.457561
0.0,100,34.487863
0.0,100,34.518056
0.0,100,34.547477
0.0,100,34.577577
0.0,100,34.616431
0.0,100,34.654797
0.0,100,34.692138
0.0,100,34.729569
0.0,100,34.766918
0.0,100,34.804044
0.0,100,34.839784
0.0,100,34.875966
0.0,100,34.91167
0.0,100,34.947626
0.0,100,34.983955
0.0,100,35.020965
0.0,100,35.639108
0.0,100,35.676872
0.0,100,35.715528
0.0,100,35.753169
0.0,100,35.790766
0.0,100,35.828532
0.0,100,35.865708
0.0,100,35.901612
0.0,100,35.937354
0.0,100,35.973396
0.0,100,36.010557
0.0,100,36.046463
0.0,100,36.08233
0.0,100,36.118367
0.0,100,36.161742
0.0,100,36.201177
0.0,100,36.238594
0.0,100,36.274685
0.0,100,36.311073
0.0,100,36.347264
0.0,100,36.973191
0.0,100,37.012872
0.0,100,37.049586
0.0,100,37.085484
0.0,100,37.121495
0.0,100,37.157434
0.0,100,37.193039
0.0,100,37.229244
0.0,100,37.265109
0.0,100,37.301317
0.0,100,37.337105
0.0,100,37.373283
0.0,100,37.40897
0.0,100,37.44437
0.0,100,37.480846
0.0,100,37.517392
0.0,100,37.561077
0.0,100,37.597152
0.0,100,37.627624
0.0,100,37.656983
0.0,100,37.686739
0.0,100,37.716514
0.0,100,37.746686
0.0,100,37.783686
0.0,100,37.819454
0.0,100,38.442555
0.0,100,38.479672
-1.0,37,38.49338
0.0,100,38.529393
0.0,100,38.565384
-1.0,26,38.575115
-1.0,31,38.586633
0.0,100,38.62273
0.0,100,38.658457
0.0,100,38.694441
0.0,100,38.733886
0.0,100,38.770826
0.0,100,38.80683
0.0,100,38.842762
0.0,100,38.878448
0.0,100,38.915544
0.0,100,38.952091
0.0,100,38.988413
0.0,100,39.025278
0.0,100,39.061162
0.0,100,39.097307
0.0,100,39.132971
0.0,100,39.168595
0.0,100,39.827614
0.0,100,39.863843
0.0,100,39.899741
0.0,100,39.935361
0.0,100,39.971548
0.0,100,40.007869
0.0,100,40.044853
0.0,100,40.081378
0.0,100,40.117249
0.0,100,40.153016
0.0,100,40.190089
0.0,100,40.226616
0.0,100,40.262795
0.0,100,40.298877
0.0,100,40.335045
0.0,100,40.377751
0.0,100,40.413598
-1.0,36,40.427285
0.0,100,40.463136
-1.0,84,40.493254
0.0,100,40.529028
0.0,100,41.186055
0.0,100,41.222129
0.0,100,41.259851
0.0,100,41.296681
0.0,100,41.333781
0.0,100,41.370662
0.0,100,41.435734
0.0,100,41.466486
0.0,100,41.496182
0.0,100,41.525868
0.0,100,41.555249
0.0,100,41.592511
0.0,100,41.628366
0.0,100,41.664073
0.0,100,41.699642
0.0,100,41.735234
0.0,100,41.770998
0.0,100,41.806609
0.0,100,41.842187
0.0,100,41.878012
0.0,100,41.913473
0.0,100,41.94923
0.0,100,41.985059
0.0,100,42.020564
0.0,100,42.057333
0.0,100,42.699144
0.0,100,42.737932
0.0,100,42.775888
0.0,100,42.813443
0.0,100,42.852188
0.0,100,42.890727
0.0,100,42.926378
0.0,100,42.962424
0.0,100,42.997845
0.0,100,43.033552
0.0,100,43.068987
0.0,100,43.104533
0.0,100,43.140264
0.0,100,43.175977
0.0,100,43.211578
-1.0,40,43.23324
0.0,100,43.268909
0.0,100,43.304892
0.0,100,43.340621
0.0,100,43.376283
0.0,100,43.411949
0.0,100,44.048774
0.0,100,44.085238
0.0,100,44.122174
0.0,100,44.158951
0.0,100,44.195542
0.0,100,44.232255
0.0,100,44.269961
0.0,100,44.307742
0.0,100,44.344854
0.0,100,44.382287
0.0,100,44.418451
0.0,100,44.454839
0.0,100,44.490787
0.0,100,44.526902
0.0,100,44.57053
0.0,100,44.622377
0.0,100,44.652157
0.0,100,44.681847
0.0,100,44.711356
0.0,100,44.741019
0.0,100,44.778318
0.0,100,44.814387
0.0,100,44.850412
0.0,100,44.887836
0.0,100,44.923912
0.0,100,45.551004
0.0,100,45.587364
0.0,100,45.623824
0.0,100,45.660336
0.0,100,45.696419
0.0,100,45.732217
0.0,100,45.768953
0.0,100,45.806089
0.0,100,45.843104
-1.0,64,45.867306
0.0,100,45.904646
0.0,100,45.941809
0.0,100,45.979313
0.0,100,46.015903
0.0,100,46.060215
0.0,100,46.097169
0.0,100,46.133584
0.0,100,46.170435
0.0,100,46.207128
0.0,100,46.244001
0.0,100,46.280565
0.0,100,46.901626
-1.0,41,46.917193
0.0,100,46.953135
0.0,100,46.989512
0.0,100,47.025118
0.0,100,47.062417
0.0,100,47.097742
0.0,100,47.133792
0.0,100,47.169517
0.0,100,47.20786
0.0,100,47.244066
0.0,100,47.280198
0.0,100,47.316269
0.0,100,47.351938
0.0,100,47.387821
0.0,100,47.423451
0.0,100,47.459234
0.0,100,47.49509
0.0,100,47.53076
0.0,100,47.567159
0.0,100,47.603766
0.0,100,48.226789
0.0,100,48.262786
0.0,100,48.298765
0.0,100,48.363542
0.0,100,48.39349
0.0,100,48.423095
0.0,100,48.452551
0.0,100,48.482172
0.0,100,48.518945
0.0,100,48.554489
