#{"t_start": 1739780958.0447154, "env_id": "None"}
r,l,t
0.0,100,0.160568
0.0,100,0.198212
-1.0,91,0.233102
-1.0,1,0.233896
0.0,100,0.271473
0.0,100,0.308939
0.0,100,0.346709
0.0,100,0.384168
0.0,100,0.421918
0.0,100,0.460064
0.0,100,0.503111
0.0,100,0.540941
-1.0,1,0.541736
-1.0,7,0.545098
0.0,100,0.582822
0.0,100,0.620395
0.0,100,0.658116
-1.0,42,0.674337
-1.0,31,0.686373
0.0,100,0.723832
0.0,100,0.761324
0.0,100,0.799085
0.0,100,0.836612
0.0,100,0.874234
0.0,100,1.787508
0.0,100,1.825919
0.0,100,1.863742
0.0,100,1.901562
0.0,100,1.939197
0.0,100,1.977396
0.0,100,2.015172
-1.0,85,2.047463
0.0,100,2.084888
-1.0,64,2.109422
0.0,100,2.147258
0.0,100,2.190294
0.0,100,2.228133
-1.0,53,2.248557
0.0,100,2.286076
0.0,100,2.323421
0.0,100,2.361252
0.0,100,2.398911
-1.0,40,2.414411
0.0,100,2.452538
0.0,100,2.490342
0.0,100,2.528108
0.0,100,3.192822
-1.0,61,3.216445
0.0,100,3.254357
0.0,100,3.292603
0.0,100,3.330232
0.0,100,3.368215
0.0,100,3.40601
0.0,100,3.443863
0.0,100,3.482161
-1.0,67,3.507661
0.0,100,3.564123
0.0,100,3.594876
0.0,100,3.625667
0.0,100,3.656371
0.0,100,3.687158
0.0,100,3.731174
-1.0,46,3.749657
0.0,100,3.787332
0.0,100,3.825518
0.0,100,3.863225
0.0,100,3.900916
-1.0,62,3.92704
0.0,100,3.965945
0.0,100,4.003866
0.0,100,4.041674
0.0,100,4.079797
-1.0,36,4.0938
0.0,100,4.131248
0.0,100,4.80632
0.0,100,4.844276
-1.0,45,4.861725
0.0,100,4.899465
0.0,100,4.937092
0.0,100,4.975325
0.0,100,5.013397
0.0,100,5.051902
0.0,100,5.089714
0.0,100,5.127393
-1.0,95,5.168774
0.0,100,5.206769
-1.0,98,5.244165
0.0,100,5.281823
-1.0,90,5.316274
0.0,100,5.353664
0.0,100,5.391435
0.0,100,5.42913
0.0,100,5.467197
-1.0,61,5.49058
-1.0,100,5.528264
0.0,100,6.216458
0.0,100,6.254429
0.0,100,6.292742
0.0,100,6.330444
-1.0,80,6.360981
0.0,100,6.398889
-1.0,68,6.42475
0.0,100,6.463562
0.0,100,6.501393
-1.0,14,6.507159
0.0,100,6.544647
0.0,100,6.582394
0.0,100,6.625597
0.0,100,6.663532
-1.0,67,6.689313
0.0,100,6.726942
0.0,100,6.76481
0.0,100,6.802376
0.0,100,6.840175
0.0,100,6.878227
0.0,100,6.928274
0.0,100,6.958957
0.0,100,6.989748
0.0,100,7.020502
0.0,100,7.051224
0.0,100,7.091096
0.0,100,7.129578
