#{"t_start": 1739780901.0756214, "env_id": "None"}
r,l,t
-1.0,3,0.529484
-1.0,3,0.531395
-1.0,6,0.534379
-1.0,8,0.537946
-1.0,57,0.560071
-1.0,9,0.563995
-1.0,7,0.567089
-1.0,17,0.574145
-1.0,2,0.575406
-1.0,3,0.577027
-1.0,3,0.578582
-1.0,6,0.581319
-1.0,2,0.582487
-1.0,24,0.591886
-1.0,11,0.596833
-1.0,22,0.605546
-1.0,15,0.611614
-1.0,24,0.621109
-1.0,12,0.626098
-1.0,4,0.628114
-1.0,1,0.628855
-1.0,7,0.632358
-1.0,10,0.636652
-1.0,45,0.653893
-1.0,5,0.656294
-1.0,18,0.663466
-1.0,1,0.664205
-1.0,2,0.665375
-1.0,16,0.671797
-1.0,7,0.674905
-1.0,6,0.677645
-1.0,1,0.678331
-1.0,8,0.681806
-1.0,8,0.685282
-1.0,10,0.68948
-1.0,4,0.691407
-1.0,7,0.694486
-1.0,3,0.696074
-1.0,15,0.702917
-1.0,7,0.706049
-1.0,32,0.718498
-1.0,12,0.723484
-1.0,38,0.738246
-1.0,5,0.740624
-1.0,16,0.747041
-1.0,9,0.750867
-1.0,1,0.751601
-1.0,13,0.756932
-1.0,14,0.762613
-1.0,2,0.763803
-1.0,17,0.770683
-1.0,1,0.771396
-1.0,19,0.77898
-1.0,6,0.781726
-1.0,8,0.78516
-1.0,13,0.790466
-1.0,8,0.793988
-1.0,5,0.797476
-1.0,3,0.799089
-1.0,9,0.802953
-1.0,2,0.804184
-1.0,2,0.805362
-1.0,5,0.807684
-1.0,4,0.80968
-1.0,2,0.810755
-1.0,7,0.813842
-1.0,3,0.815406
-1.0,28,0.826315
-1.0,14,0.832082
-1.0,2,0.83317
-1.0,1,0.833851
-1.0,31,0.845838
-1.0,28,0.856755
-1.0,6,0.859461
-1.0,7,0.862547
-1.0,13,0.867933
-1.0,1,0.86864
-1.0,9,0.873383
-1.0,10,0.877697
-1.0,20,0.885692
-1.0,18,0.892881
-1.0,13,0.898544
-1.0,8,0.902059
-1.0,20,0.910048
-1.0,1,0.91077
-1.0,5,0.913124
-1.0,3,0.914678
-1.0,12,0.920035
-1.0,5,0.922418
-1.0,3,0.924022
-1.0,3,0.925855
-1.0,7,0.929024
-1.0,13,0.93444
-1.0,1,0.935246
-1.0,13,0.940691
-1.0,16,0.947186
-1.0,1,0.947915
-1.0,20,0.955794
-1.0,2,0.957234
-1.0,3,0.958817
-1.0,9,0.962714
-1.0,3,0.964434
-1.0,26,0.974707
-1.0,2,0.975934
-1.0,8,0.979343
-1.0,1,0.980067
-1.0,29,0.991251
-1.0,3,0.992865
-1.0,4,0.994798
-1.0,16,1.001631
-1.0,14,1.007309
-1.0,9,1.011119
-1.0,53,1.031025
-1.0,1,1.031766
-1.0,7,1.034844
-1.0,4,1.036814
-1.0,5,1.039109
-1.0,2,1.040304
-1.0,5,1.042579
-1.0,2,1.043735
-1.0,15,1.049789
-1.0,19,1.057281
-1.0,3,1.058834
-1.0,4,1.061477
-1.0,2,1.062669
-1.0,6,1.065422
-1.0,4,1.067361
-1.0,9,1.071204
-1.0,1,1.071933
