#{"t_start": 1739940004.6833203, "env_id": "None"}
r,l,t
-5.0,5,0.014594
-5.0,5,0.017308
-5.0,5,0.019976
-5.0,5,0.02257
-98.0,100,0.061355
-98.0,100,0.10013
-7.0,7,0.103372
-5.0,5,0.105753
-47.0,49,0.125549
-4.0,5,0.128041
-5.0,5,0.13034
-5.0,5,0.132657
-6.0,6,0.135569
-5.0,5,0.137981
-5.0,5,0.140358
-5.0,5,0.142775
-99.0,100,0.179797
-5.0,5,0.182178
-5.0,5,0.184522
-5.0,5,0.186714
-5.0,5,0.189222
-5.0,5,0.191471
-5.0,5,0.193803
-16.0,16,0.200247
-5.0,5,0.202633
-5.0,5,0.205028
-5.0,5,0.207777
-98.0,100,0.244306
-5.0,5,0.246718
-5.0,5,0.249017
-6.0,6,0.251739
-22.0,24,0.260928
-5.0,5,0.263113
-5.0,5,0.265396
-5.0,5,0.26775
-98.0,100,0.303971
-4.0,5,0.306381
-4.0,5,0.308725
-7.0,8,0.312131
-5.0,5,0.320605
-5.0,5,0.323162
-5.0,5,0.325609
-5.0,5,0.32808
-6.0,7,0.331465
-4.0,5,0.333969
-5.0,5,0.336448
-5.0,5,0.338861
-5.0,5,0.341406
-53.0,53,0.362181
-5.0,5,0.364772
-5.0,5,0.367115
-98.0,100,0.406267
-5.0,5,0.408865
-5.0,5,0.411333
-5.0,5,0.413771
-5.0,5,0.416243
-5.0,5,0.41861
-10.0,10,0.422626
-5.0,5,0.424989
-5.0,5,0.42739
-5.0,5,0.42967
-5.0,5,0.43198
-5.0,5,0.434342
-98.0,100,0.473074
-5.0,6,0.478031
-9.0,9,0.481908
-5.0,5,0.485291
-8.0,8,0.488966
-8.0,8,0.492619
-5.0,5,0.495059
-5.0,5,0.497407
-5.0,5,0.499826
-4.0,5,0.502198
-5.0,5,0.504548
-5.0,5,0.506928
-6.0,6,0.5097
-5.0,5,0.512059
-5.0,5,0.514423
-5.0,5,0.516793
-5.0,5,0.519233
-5.0,5,0.521581
-5.0,5,0.524023
-5.0,5,0.526391
-5.0,5,0.528804
-5.0,5,0.531152
-98.0,100,0.568855
-5.0,5,0.571242
-5.0,5,0.573493
-6.0,6,0.576226
-5.0,5,0.578553
-5.0,5,0.580885
-5.0,5,0.583271
-5.0,5,0.585604
-5.0,5,0.587924
-5.0,5,0.590219
-5.0,5,0.592565
-44.0,46,0.609753
-19.0,19,0.617296
-5.0,5,0.619663
-14.0,14,0.62517
-5.0,5,0.627497
-5.0,5,0.629777
-98.0,100,0.666352
-99.0,100,0.704279
-5.0,5,0.706651
-5.0,5,0.708938
-10.0,10,0.71287
-5.0,5,0.715103
-5.0,5,0.720209
-5.0,5,0.7225
-5.0,5,0.724791
-4.0,5,0.727161
-5.0,5,0.72943
-5.0,5,0.731719
-5.0,5,0.733973
-4.0,5,0.736251
-5.0,5,0.7386
-4.0,5,0.740914
-12.0,12,0.745702
-4.0,5,0.748026
-5.0,5,0.750266
-5.0,5,0.752582
-5.0,5,0.754827
-5.0,5,0.757066
-5.0,5,0.759325
-98.0,100,0.795215
-4.0,5,0.79761
-5.0,5,0.7999
-5.0,5,0.802133
-5.0,5,0.804988
-5.0,5,0.80728
-3.0,5,0.809651
-5.0,5,0.81194
-5.0,5,0.814122
-6.0,6,0.816675
-5.0,5,0.818972
-5.0,5,0.82121
-5.0,5,0.823494
-5.0,5,0.825739
-6.0,7,0.828811
-5.0,5,0.831135
-6.0,6,0.833721
-5.0,5,0.836008
-5.0,5,0.838187
-5.0,5,0.840445
-5.0,5,0.842722
-7.0,7,0.845633
-5.0,5,0.847922
-5.0,5,0.850162
-5.0,5,0.852772
-5.0,5,0.855026
-5.0,5,0.857277
-5.0,5,0.859551
-11.0,11,1.507104
-5.0,6,1.510163
-3.0,5,1.512667
-5.0,5,1.515031
-5.0,5,1.517358
-5.0,5,1.51965
-5.0,5,1.52192
-3.0,6,1.5248
-3.0,6,1.527724
-5.0,5,1.529992
-5.0,5,1.532335
-6.0,6,1.535059
-7.0,7,1.538011
-5.0,5,1.540311
-59.0,59,1.56239
-5.0,5,1.564831
-5.0,5,1.567164
-5.0,5,1.569461
-5.0,5,1.571771
-5.0,5,1.573966
-4.0,5,1.577071
-5.0,5,1.579367
-5.0,5,1.581617
-5.0,5,1.583899
-5.0,5,1.58618
-5.0,5,1.588494
-45.0,45,1.605244
-5.0,5,1.607649
-5.0,5,1.609934
-100.0,100,1.646859
-5.0,5,1.649301
-98.0,100,1.686438
-5.0,5,1.688913
-7.0,8,1.692451
-9.0,9,1.696258
-5.0,5,1.698585
-5.0,5,1.701024
-5.0,5,1.703382
-6.0,6,1.706023
-5.0,5,1.708387
-5.0,5,1.710693
-5.0,5,1.712991
-5.0,5,1.715351
-5.0,5,1.717643
-5.0,5,1.719973
-14.0,14,1.72539
-98.0,100,1.762224
-5.0,5,1.764701
-5.0,5,1.770033
-5.0,5,1.772377
-23.0,23,1.781126
-5.0,5,1.783373
-5.0,5,1.785669
-5.0,5,1.787916
-5.0,5,1.790201
-6.0,6,1.792869
-5.0,6,1.79568
-5.0,5,1.797979
-5.0,5,1.800294
-5.0,5,1.802536
-5.0,5,1.804848
-16.0,16,1.811096
-5.0,5,1.81339
-5.0,5,1.815683
-4.0,5,1.818009
-98.0,100,1.854392
-5.0,5,1.857134
-5.0,5,1.859481
-99.0,100,1.895711
-5.0,5,1.898132
-4.0,5,1.90054
-5.0,5,1.904861
-4.0,5,1.907277
-5.0,5,1.909574
-5.0,5,1.911909
-5.0,5,1.914148
-6.0,6,1.916789
-3.0,6,1.919738
-5.0,5,1.922019
-100.0,100,1.958259
-5.0,5,1.961293
-5.0,5,1.963603
-5.0,5,1.965919
-5.0,5,1.96818
-5.0,5,1.970457
-98.0,100,2.006832
-5.0,5,2.009279
-4.0,5,2.011819
-5.0,5,2.014164
-5.0,5,2.01655
-21.0,21,2.024673
-5.0,5,2.027063
-5.0,5,2.029331
-98.0,98,2.065526
-9.0,9,2.069328
-5.0,5,2.071691
-5.0,5,2.074028
-8.0,8,2.077332
-5.0,5,2.079577
-4.0,5,2.081909
-5.0,5,2.084085
-5.0,5,2.086405
-5.0,6,2.089168
-5.0,5,2.091506
-5.0,5,2.093813
-6.0,6,2.096417
-5.0,5,2.098699
-5.0,5,2.100936
-5.0,5,2.103252
-8.0,9,2.107108
-4.0,5,2.109495
-5.0,5,2.111833
-5.0,6,2.114566
-5.0,5,2.116858
-5.0,5,2.119158
-4.0,5,2.121724
-6.0,6,2.127013
-6.0,6,2.129708
-5.0,5,2.133283
-5.0,5,2.135975
-7.0,7,2.139208
-5.0,5,2.141632
-5.0,5,2.144202
-5.0,5,2.146653
-5.0,5,2.149052
-8.0,8,2.152484
-7.0,7,2.155648
-5.0,5,2.158039
-98.0,100,2.195601
-16.0,16,2.20234
-6.0,6,2.205283
-5.0,5,2.207708
-5.0,5,2.209988
-5.0,5,2.212401
-5.0,5,2.21475
-4.0,5,2.217117
-5.0,5,2.2195
-100.0,100,2.256577
-6.0,6,2.259433
-3.0,6,2.262407
-5.0,5,2.26509
-5.0,5,2.267696
-5.0,5,2.270222
-5.0,5,2.272629
-5.0,5,2.27518
-4.0,5,2.277661
-5.0,5,2.280116
-4.0,5,2.282568
-5.0,5,2.284956
-98.0,100,2.323399
-5.0,5,2.325911
-5.0,5,2.32824
-5.0,5,2.330648
-73.0,73,3.002783
-5.0,5,3.005211
-10.0,10,3.009273
-5.0,5,3.01172
-5.0,5,3.014
-5.0,5,3.016381
-5.0,5,3.018823
-5.0,5,3.021152
-3.0,6,3.02402
-5.0,5,3.026259
-5.0,5,3.028623
-5.0,5,3.030939
-77.0,78,3.061526
-5.0,5,3.064178
-7.0,7,3.067321
-6.0,6,3.070004
-5.0,5,3.072358
-5.0,5,3.074687
-5.0,5,3.077096
-5.0,5,3.079456
-5.0,5,3.081852
-99.0,100,3.120297
-5.0,5,3.122844
-5.0,5,3.125142
-98.0,100,3.162014
-5.0,5,3.164456
-5.0,5,3.16674
-5.0,5,3.169034
-5.0,5,3.171366
-5.0,5,3.173599
-5.0,5,3.175886
-99.0,100,3.211801
-6.0,6,3.214541
-71.0,72,3.24062
-99.0,100,3.277339
-9.0,9,3.281183
-5.0,5,3.286968
-7.0,8,3.290432
-5.0,5,3.29274
-5.0,6,3.295523
-5.0,5,3.297788
-5.0,5,3.299985
-8.0,8,3.303211
-5.0,5,3.305475
-5.0,5,3.307896
-5.0,5,3.310379
-5.0,5,3.31269
-5.0,5,3.315064
-5.0,5,3.317317
-5.0,5,3.319519
-4.0,5,3.321804
-5.0,5,3.324072
-5.0,5,3.326381
-4.0,5,3.328733
-5.0,5,3.331024
-5.0,5,3.333395
-5.0,5,3.335896
-4.0,5,3.338192
-5.0,5,3.340476
-5.0,5,3.356854
-100.0,100,3.386841
-5.0,5,3.388901
-5.0,5,3.39074
-5.0,5,3.3926
-5.0,5,3.40027
-5.0,5,3.402586
-7.0,8,3.40599
-5.0,5,3.408265
-48.0,50,3.426584
-99.0,100,3.462337
-5.0,5,3.464713
-5.0,5,3.467012
-4.0,5,3.469421
-5.0,5,3.47178
-5.0,5,3.474064
-5.0,5,3.476385
-5.0,5,3.478654
-7.0,7,3.481625
-5.0,5,3.483935
-20.0,20,3.491387
-5.0,5,3.493665
-5.0,5,3.495983
-5.0,5,3.498212
-5.0,5,3.5005
-5.0,5,3.502739
-5.0,5,3.505004
-99.0,100,3.541642
-5.0,5,3.544009
-5.0,5,3.546282
-5.0,5,3.54857
-11.0,11,3.553156
-5.0,5,3.555441
-6.0,6,3.558033
-7.0,7,3.560967
-5.0,5,3.563174
-100.0,100,3.599324
-5.0,5,3.601558
-16.0,16,3.607809
-34.0,36,3.621138
-37.0,39,3.635577
-5.0,5,3.637886
-5.0,5,3.640188
-5.0,5,3.642423
-5.0,5,3.64463
-99.0,100,3.680631
-5.0,5,3.682985
-9.0,9,3.686691
-9.0,9,3.690259
-99.0,100,3.7258
-6.0,6,3.728369
-5.0,5,3.730641
-5.0,5,3.732938
-5.0,5,3.735152
-5.0,5,3.7374
-5.0,5,3.739715
-5.0,5,3.741963
-5.0,5,3.744284
-98.0,100,3.78034
-6.0,6,3.782956
-5.0,5,3.785224
-95.0,96,3.819869
-4.0,5,3.822321
-5.0,5,3.824625
-5.0,5,3.826869
-57.0,58,4.48624
-5.0,5,4.48879
-5.0,5,4.491122
-4.0,5,4.493449
-4.0,5,4.495791
-8.0,9,4.499596
-5.0,5,4.501875
-5.0,5,4.504248
-5.0,5,4.506572
-5.0,5,4.5089
-3.0,6,4.511761
-5.0,5,4.51405
-5.0,5,4.516344
-27.0,27,4.526746
-5.0,6,4.529515
-5.0,5,4.531838
-5.0,5,4.534101
-5.0,5,4.536403
-5.0,5,4.53862
-98.0,100,4.575047
-5.0,5,4.577421
-5.0,5,4.57974
-5.0,5,4.582005
-42.0,43,4.597902
-6.0,6,4.600559
-58.0,60,4.622601
-5.0,5,4.625002
-5.0,5,4.629377
-98.0,100,4.665727
-11.0,11,4.670131
-5.0,5,4.672464
-5.0,5,4.674773
-16.0,16,4.680809
-4.0,5,4.683131
-4.0,5,4.685398
-4.0,5,4.687782
-6.0,6,4.690404
-5.0,5,4.69267
-5.0,5,4.694969
-5.0,5,4.697213
-5.0,5,4.699525
-5.0,5,4.701774
-5.0,5,4.70405
-5.0,5,4.706296
-5.0,5,4.708573
-4.0,5,4.710853
-98.0,100,4.747077
-5.0,5,4.749427
-5.0,5,4.751709
-5.0,5,4.753996
-5.0,5,4.756295
-4.0,5,4.758585
-5.0,5,4.760805
-5.0,5,4.763114
-98.0,100,4.798852
-5.0,5,4.801212
-5.0,5,4.803496
-5.0,5,4.805757
-5.0,5,4.808044
-5.0,5,4.810313
-5.0,5,4.814845
-98.0,100,4.850774
-5.0,5,4.853145
-100.0,100,4.888762
-14.0,14,4.894145
-5.0,5,4.896457
-5.0,5,4.898725
-5.0,5,4.900959
-6.0,6,4.903492
-5.0,5,4.905737
-5.0,5,4.908015
-41.0,41,4.92301
-4.0,5,4.925346
-21.0,23,4.934006
-5.0,5,4.936288
-5.0,5,4.93856
-5.0,5,4.940837
-98.0,100,4.976967
-8.0,8,4.980387
-6.0,6,4.983017
-79.0,80,5.011744
-5.0,5,5.014027
-5.0,5,5.016289
-5.0,5,5.018479
-5.0,5,5.020715
