#{"t_start": 1739940803.490737, "env_id": "None"}
r,l,t
-6.0,6,0.018908
-6.0,6,0.021797
-100.0,100,0.058897
-4.0,7,0.062278
-6.0,6,0.065012
-6.0,6,0.067721
-6.0,6,0.070258
-6.0,6,0.072978
-3.0,6,0.075795
-6.0,6,0.078488
-6.0,6,0.081187
-6.0,7,0.084353
-6.0,6,0.086976
-8.0,8,0.090212
-6.0,6,0.092871
-6.0,6,0.095573
-6.0,6,0.098192
-100.0,100,0.133828
-100.0,100,0.169854
-99.0,100,0.205647
-6.0,6,0.208483
-5.0,7,0.211711
-7.0,7,0.214725
-6.0,6,0.217426
-100.0,100,0.253452
-3.0,6,0.256432
-100.0,100,0.292334
-6.0,6,0.295156
-5.0,6,0.297869
-6.0,6,0.300596
-6.0,6,0.30332
-6.0,6,0.305962
-100.0,100,0.341826
-5.0,6,0.344745
-7.0,7,0.347747
-6.0,6,0.350397
-6.0,6,0.35311
-6.0,6,0.355809
-6.0,6,0.358469
-100.0,100,0.394047
-6.0,6,0.396844
-6.0,6,0.399582
-6.0,6,0.402261
-100.0,100,0.437968
-7.0,7,0.441143
-6.0,6,0.44386
-6.0,6,0.446498
-6.0,6,0.449084
-6.0,6,0.451735
-4.0,6,0.45448
-3.0,6,0.457287
-100.0,100,0.492938
-6.0,6,0.495725
-6.0,6,0.498422
-3.0,6,0.501234
-6.0,6,0.504038
-6.0,6,0.506774
-6.0,6,0.509463
-6.0,6,0.51216
-6.0,6,0.514829
-8.0,8,0.51822
-6.0,6,0.520946
-6.0,6,0.523633
-6.0,6,0.526289
-5.0,6,0.52902
-6.0,6,0.531885
-4.0,7,0.535178
-6.0,6,0.537917
-6.0,6,0.540648
-6.0,6,0.543323
-6.0,6,0.545966
-15.0,15,0.552028
-6.0,6,0.55473
-6.0,6,0.557415
-6.0,6,0.56012
-6.0,6,0.562674
-3.0,6,0.565478
-6.0,6,0.578513
-6.0,6,0.581309
-6.0,6,0.583995
-6.0,6,0.586596
-4.0,6,0.58938
-6.0,6,0.59226
-6.0,6,0.594898
-100.0,100,0.631701
-6.0,6,0.634522
-4.0,6,0.637381
-6.0,6,0.64039
-6.0,6,0.64372
-6.0,6,0.646468
-6.0,6,0.649222
-4.0,7,0.652534
-6.0,6,0.655243
-6.0,6,0.658721
-6.0,6,0.661473
-6.0,6,0.664207
-5.0,6,0.666931
-3.0,6,0.669836
-6.0,6,0.672615
-4.0,6,0.675402
-6.0,6,0.678092
-6.0,6,0.680838
-6.0,6,0.683629
-81.0,81,0.71324
-5.0,6,0.71613
-6.0,6,0.718853
-6.0,6,0.721605
-100.0,100,0.758238
-6.0,6,0.76111
-6.0,6,0.765015
-4.0,7,0.768337
-6.0,6,0.771048
-6.0,6,0.773762
-7.0,7,0.776773
-6.0,6,0.779467
-6.0,6,0.782142
-5.0,7,0.78534
-4.0,7,0.788617
-6.0,6,0.791344
-6.0,6,0.794026
-6.0,6,0.796744
-6.0,6,0.799469
-6.0,6,0.80221
-3.0,6,0.805078
-6.0,6,0.807755
-99.0,100,1.515643
-7.0,7,1.51889
-7.0,7,1.52212
-100.0,100,1.558947
-6.0,6,1.562332
-6.0,6,1.565125
-7.0,7,1.568214
-100.0,100,1.605166
-61.0,61,1.62796
-7.0,7,1.631202
