#{"t_start": 1739967312.140261, "env_id": "None"}
r,l,t
-4.0,4,0.012516
-4.0,4,0.014649
-4.0,4,0.016559
-4.0,4,0.018612
-4.0,4,0.020802
-4.0,4,0.022744
-29.0,29,0.033396
-22.0,22,0.042029
-100.0,100,0.078834
-100.0,100,0.114706
-4.0,4,0.1167
-4.0,4,0.118586
-100.0,100,0.15418
-4.0,4,0.156124
-4.0,4,0.158016
-4.0,4,0.159873
-3.0,4,0.161821
-4.0,4,0.16371
-4.0,4,0.165533
-100.0,100,0.201061
-100.0,100,0.236689
-17.0,17,0.243253
-100.0,100,0.27912
-4.0,4,0.281098
-100.0,100,0.316798
-4.0,4,0.318763
-6.0,6,0.321397
-4.0,4,0.323286
-4.0,4,0.325168
-4.0,4,0.327035
-4.0,4,0.328931
-100.0,100,0.366219
-100.0,100,0.402687
-8.0,8,0.406176
-100.0,100,0.443697
-2.0,4,0.445829
-45.0,45,0.463913
-4.0,4,0.465911
-100.0,100,0.501852
-33.0,33,0.514854
-100.0,100,0.553678
-5.0,5,0.55607
-4.0,4,0.558089
-100.0,100,0.596403
-4.0,4,0.598483
-100.0,100,0.636714
-100.0,100,0.674834
-9.0,9,0.678705
-3.0,4,0.680813
-100.0,100,0.718977
-100.0,100,0.756988
-4.0,4,0.759112
-4.0,4,0.7612
-4.0,4,0.763227
-5.0,5,0.765567
-100.0,100,1.49159
-4.0,4,1.493867
-4.0,4,1.495792
-4.0,4,1.49778
-4.0,5,1.500241
-4.0,4,1.502378
-27.0,27,1.514174
-4.0,4,1.516394
-4.0,4,1.518504
-4.0,4,1.520594
-3.0,4,1.522675
-4.0,4,1.52463
-4.0,4,1.526665
-4.0,4,1.528683
-100.0,100,1.567353
-3.0,4,1.569527
-4.0,4,1.571531
-10.0,10,1.575693
-4.0,4,1.577679
-4.0,4,1.579739
-4.0,4,1.581755
-100.0,100,1.620261
-4.0,4,1.622338
-100.0,100,1.65869
-4.0,4,1.660792
0.0,100,1.708172
-100.0,100,1.746975
-4.0,4,1.749146
-2.0,4,1.751247
-4.0,4,1.753221
-4.0,4,1.755224
-100.0,100,1.791987
-4.0,4,1.794031
-4.0,4,1.795938
-4.0,4,1.797814
-4.0,4,1.799689
-100.0,100,1.835788
-5.0,5,1.838059
-2.0,4,1.84004
-4.0,4,1.841914
