#{"t_start": 1739780967.3679233, "env_id": "None"}
r,l,t
-5.0,6,0.008115
-16.0,17,0.015051
-12.0,13,0.020452
-15.0,16,0.026857
-4.0,5,0.029208
-1.0,2,0.030374
-15.0,16,0.036855
-19.0,20,0.044829
-27.0,28,0.055745
-13.0,14,0.061479
-2.0,3,0.06304
-6.0,7,0.066136
-3.0,4,0.06811
-6.0,7,0.071213
-7.0,8,0.074727
-48.0,49,0.093418
-2.0,3,0.095034
-2.0,3,0.097564
-14.0,15,0.103771
-10.0,11,0.108464
-22.0,22,0.117095
-1.0,2,0.118291
-7.0,8,0.121753
-9.0,10,0.125957
-15.0,16,0.132412
-5.0,6,0.135143
-12.0,13,0.140499
-2.0,3,0.142074
-10.0,11,0.146633
-8.0,9,0.150512
-3.0,4,0.152499
-14.0,15,0.158574
-8.0,9,0.162432
-7.0,8,0.165924
-16.0,17,0.172766
-19.0,20,0.180717
-6.0,6,0.183358
-3.0,4,0.185321
-3.0,4,0.187256
-11.0,12,0.192227
-18.0,19,0.199844
-20.0,21,0.208163
-17.0,18,0.215498
-2.0,3,0.217128
-12.0,13,0.223829
-1.0,2,0.22503
-3.0,4,0.22701
-3.0,3,0.228553
-2.0,3,0.2301
-6.0,7,0.2332
-15.0,16,0.239701
-6.0,7,0.242774
-1.0,2,0.243994
-2.0,2,0.245106
-11.0,12,0.250044
-12.0,12,0.254936
-8.0,9,0.258779
-1.0,2,0.259989
-1.0,2,0.261142
-2.0,3,0.262672
-11.0,12,0.26767
-5.0,6,0.270398
-3.0,4,0.272381
-1.0,2,0.273551
-18.0,19,0.281158
-4.0,4,0.283083
-11.0,12,0.288074
-27.0,28,0.298983
-6.0,7,0.302124
-11.0,12,0.307072
-34.0,35,0.3207
-3.0,4,0.322666
-5.0,6,0.325396
-32.0,33,0.338179
-6.0,7,0.341328
-4.0,5,0.343704
-17.0,17,0.350462
-43.0,43,0.366884
-1.0,2,0.368158
-1.0,2,0.370923
-2.0,3,0.372539
-12.0,13,0.377923
-10.0,11,0.382534
-13.0,14,0.388295
-1.0,2,0.389478
-7.0,8,0.392926
-2.0,3,0.394483
-9.0,9,0.398268
-4.0,5,0.400617
-1.0,2,0.401792
-1.0,2,0.402983
-9.0,10,0.407197
-10.0,10,0.41135
-5.0,5,0.413966
-15.0,15,0.42002
-9.0,10,0.424238
-16.0,17,0.431049
-2.0,3,0.432662
-11.0,12,0.437609
-8.0,9,0.441452
-10.0,11,0.446021
-6.0,7,0.44913
-14.0,14,0.454771
-3.0,3,0.456319
-10.0,11,0.4609
-10.0,11,0.465517
-5.0,6,0.468247
-2.0,3,0.469813
-5.0,6,0.472524
-5.0,6,0.475742
-5.0,6,0.478426
-7.0,8,0.481882
-12.0,13,0.487212
-4.0,4,0.489161
-13.0,14,0.494914
-38.0,38,0.509443
-4.0,5,0.511814
-17.0,18,0.518951
-3.0,4,0.520941
-4.0,5,0.523285
-2.0,3,0.52488
-24.0,24,0.534243
-5.0,6,0.536994
-25.0,26,0.547169
-5.0,6,0.549917
-19.0,20,0.557881
-11.0,12,0.562866
-2.0,3,0.564502
