origin_id,origin_x,origin_y,destination_id,destination_x,destination_y,route_instructions
a36r1,545888.0,1021101.0,a72r1,546002.5871593204,1020964.226515985,"[6, 6]"
a53r2,548252.5097823646,1020855.9318963648,a72r1,546002.5871593204,1020964.226515985,"[2, 0, 3, 7, 7, 1, 3, 0, 0, 3]"
a6r0,547472.0,1018991.0,a11r0,545736.7054722288,1019061.5971994377,"[5, 5, 3, 5, 3, 0, 3, 1, 2, 4]"
a93r0,545604.9376088154,1019842.9379071898,a11r0,545736.7054722288,1019061.5971994377,"[1, 2, 4]"
a65r2,548747.6927655565,1021061.1041153659,a68r4,550053.8307569795,1021061.4707232527,"[3, 7, 1, 1, 2, 0, 2]"
a15r0,547438.1485252038,1019061.8557671143,a68r4,550053.8307569795,1021061.4707232527,"[7, 3, 5, 0, 4, 4, 2, 1, 1, 2, 0, 2]"
a44r4,549342.0,1021114.0,a41r2,546682.9153780069,1021088.1834621994,"[6, 6, 2, 1, 3, 0, 0, 3, 7, 7, 0, 3, 5]"
a43r2,548764.0846219931,1021088.1834621993,a41r2,546682.9153780069,1021088.1834621994,"[7, 3, 7, 3, 7, 7, 0, 3, 5]"
a77r0,547077.8898716378,1019141.6170304696,a60r3,548890.0,1018972.0,"[5, 0, 4, 4, 2, 1, 1, 7, 7]"
a75r0,546674.1952020759,1019131.6173773187,a60r3,548890.0,1018972.0,"[4, 2, 0, 4, 4, 2, 1, 1, 7, 7]"
a85r4,549729.4895726717,1020972.4549042069,a7r0,547440.7862838916,1019016.633971292,"[1, 3, 0, 0, 3, 7, 7, 1, 6, 2, 6]"
a4r5,548667.0,1019080.0,a7r0,547440.7862838916,1019016.633971292,"[7, 7, 3, 5, 7, 1, 6, 2, 6]"
a79r0,547057.4535442034,1019162.6384470325,a33r4,549373.7622699386,1021042.648773006,"[0, 4, 4, 2, 1, 1, 2, 0, 3, 7]"
a43r2,548764.0846219931,1021088.1834621993,a33r4,549373.7622699386,1021042.648773006,"[7, 3, 7, 1, 1, 2, 0, 3, 7]"
a50r0,547123.9101123596,1019000.0,a70r2,548018.3573792815,1021047.1425703285,"[3, 0, 5, 0, 4, 4, 5]"
a2r0,546281.0,1018991.0,a70r2,548018.3573792815,1021047.1425703285,"[4, 4, 2, 4, 2, 0, 4, 4, 5]"
a0r0,545768.0,1018991.0,a23r2,547431.9123931623,1021088.1662393162,"[5, 5, 3, 0, 2, 1, 2, 0, 0, 2, 4]"
a1r0,545736.7862838916,1019016.633971292,a23r2,547431.9123931623,1021088.1662393162,"[5, 3, 0, 2, 1, 2, 0, 0, 2, 4]"
a27r2,548528.005982906,1021105.7505982905,a92r0,545383.3961068324,1019128.733816152,"[1, 7, 3, 7, 7, 1, 3, 0, 3, 1]"
a11r0,545736.7054722288,1019061.5971994377,a92r0,545383.3961068324,1019128.733816152,"[7, 3]"
