#{"t_start": 1745909453.5383482, "env_id": "None"}
r,l,t
-3.0,3,0.009862
-12.0,12,0.017329
-2.0,2,0.018885
-4.0,4,0.021531
-2.0,2,0.023067
-7.0,7,0.027434
-8.0,8,0.032559
-2.0,2,0.034075
-8.0,8,0.03864
-4.0,4,0.041392
-5.0,5,0.04467
-6.0,6,0.048473
-4.0,4,0.051143
-7.0,7,0.055578
-7.0,7,0.059938
-11.0,11,0.066515
-9.0,9,0.072118
-3.0,3,0.074277
-4.0,4,0.077085
-2.0,2,0.078691
-19.0,19,0.090266
-3.0,3,0.092552
-2.0,2,0.094093
-2.0,2,0.09565
-8.0,8,0.101045
-6.0,6,0.105237
-28.0,28,0.122585
-2.0,2,0.124289
-13.0,13,0.131612
-4.0,4,0.134369
-17.0,17,0.144374
-2.0,2,0.145959
-6.0,6,0.149715
-4.0,4,0.152376
-17.0,17,0.162402
-4.0,4,0.165063
-10.0,10,0.171092
-4.0,4,0.17371
-7.0,7,0.178426
-2.0,2,0.179968
-5.0,5,0.183261
-4.0,4,0.185881
-6.0,6,0.189656
-6.0,6,0.193438
-3.0,3,0.195547
-3.0,3,0.197603
-2.0,2,0.199128
-2.0,2,0.200634
-3.0,3,0.202691
-26.0,26,0.219037
-5.0,5,0.224187
-3.0,3,0.226251
-17.0,17,0.236538
-7.0,7,0.240979
-2.0,2,0.242538
-9.0,9,0.248098
-12.0,12,0.255245
-4.0,4,0.257937
-5.0,5,0.260995
-2.0,2,0.26256
-8.0,8,0.267523
-10.0,10,0.273573
-8.0,8,0.278512
-4.0,4,0.283676
-4.0,4,0.286385
-19.0,19,0.297539
-2.0,2,0.299124
-6.0,6,0.302942
-6.0,6,0.30668
-4.0,4,0.309336
-7.0,7,0.313656
-14.0,14,0.321914
-5.0,5,0.325131
-3.0,3,0.327236
-8.0,9,0.332874
-12.0,12,0.33954
-4.0,4,0.342188
-5.0,5,0.345496
-4.0,4,0.34818
-9.0,9,0.353645
-4.0,4,0.356323
-10.0,10,0.362347
-4.0,4,0.365021
-2.0,2,0.366522
-4.0,4,0.369243
-3.0,3,0.371416
-3.0,3,0.373478
-3.0,3,0.375643
-10.0,10,0.381671
-2.0,2,0.383224
-2.0,2,0.384736
-2.0,2,0.386247
-12.0,12,0.393461
-8.0,8,0.398028
-3.0,3,0.400152
-5.0,5,0.403403
-4.0,4,0.406101
-14.0,14,0.413899
-14.0,14,0.422388
-47.0,47,0.449198
-2.0,2,0.450747
-7.0,7,0.455119
-3.0,3,0.457196
-10.0,10,0.463324
-15.0,15,0.472151
-8.0,8,0.476684
-3.0,3,0.478778
-2.0,2,0.481784
-6.0,6,0.485619
-8.0,9,0.491345
-6.0,6,0.495109
-7.0,7,0.499439
-12.0,12,0.507195
-2.0,2,0.508759
-2.0,2,0.510324
-3.0,3,0.512316
-2.0,2,0.513822
-5.0,5,0.517084
-3.0,3,0.519262
-3.0,3,0.521413
-16.0,16,0.530777
-3.0,3,0.532791
-4.0,4,0.535441
-6.0,6,0.539029
-3.0,3,0.54115
-3.0,3,0.543255
-6.0,6,0.54702
-3.0,3,0.549232
-3.0,3,0.551436
-22.0,23,0.565278
-4.0,4,0.56796
-2.0,2,0.569462
-6.0,6,0.573284
-11.0,11,0.579914
-4.0,5,0.583299
-9.0,9,0.588756
-10.0,10,0.594849
-36.0,36,0.615509
-10.0,10,0.621508
-5.0,5,0.624738
-7.0,7,0.629077
-14.0,14,0.636817
-5.0,5,0.640061
-33.0,33,0.659076
-6.0,6,0.66285
-4.0,4,0.665622
-2.0,2,0.667163
-6.0,6,0.670922
-3.0,3,0.672996
-5.0,5,0.67725
-2.0,2,0.67866
-7.0,7,0.683068
-2.0,2,0.684582
-2.0,2,0.686131
-4.0,4,0.688796
-3.0,3,0.690876
-2.0,2,0.692382
-2.0,2,0.693871
-4.0,4,0.696558
-18.0,18,0.707071
-6.0,6,0.710907
-5.0,5,0.714154
-16.0,16,0.72362
-6.0,6,0.727444
-2.0,2,0.728993
-2.0,2,0.730532
-8.0,8,0.735549
-2.0,2,0.737117
-4.0,4,0.739779
-2.0,2,0.741323
-2.0,2,0.742826
-8.0,8,0.747798
-7.0,7,0.752123
-3.0,3,0.754596
-2.0,2,0.756137
-5.0,5,0.759437
-7.0,7,0.763773
-12.0,12,0.770919
