origin_id,origin_x,origin_y,destination_id,destination_x,destination_y,route_instructions
a64r2,546700.0926719009,1021059.806572686,a72r1,546002.5871593204,1020964.226515985,"[2, 1, 1, 3, 0, 0, 3]"
a20r0,545009.0,1018991.0,a72r1,546002.5871593204,1020964.226515985,"[4, 4, 2, 0, 0]"
a34r4,550110.0,1021024.0,a72r1,546002.5871593204,1020964.226515985,"[5, 5, 3, 1, 3, 0, 0, 3, 7, 7, 1, 3, 0, 0, 3]"
a69r2,548520.4854185786,1021031.6730396654,a72r1,546002.5871593204,1020964.226515985,"[7, 3, 7, 7, 1, 3, 0, 0, 3]"
a8r0,545000.0,1019080.0,a72r1,546002.5871593204,1020964.226515985,"[6, 6, 2, 0, 0]"
a82r0,545720.6659021408,1019043.50127421,a11r0,545736.7054722288,1019061.5971994377,[4]
a61r3,548923.0639588251,1019024.5311926303,a11r0,545736.7054722288,1019061.5971994377,"[4, 0, 0, 3, 7, 7, 1, 3, 0, 3, 1, 2, 4]"
a87r2,548145.3216816066,1020981.1731561061,a11r0,545736.7054722288,1019061.5971994377,"[7, 7, 1, 3, 0, 3, 1, 2, 4]"
a85r4,549729.4895726717,1020972.4549042069,a11r0,545736.7054722288,1019061.5971994377,"[1, 3, 0, 0, 3, 7, 7, 1, 3, 0, 3, 1, 2, 4]"
a24r4,550101.0,1021114.0,a11r0,545736.7054722288,1019061.5971994377,"[7, 7, 3, 1, 3, 0, 0, 3, 7, 7, 1, 3, 0, 3, 1, 2, 4]"
a24r4,550101.0,1021114.0,a68r4,550053.8307569795,1021061.4707232527,"[7, 7]"
a21r0,545040.2137161086,1019016.633971292,a68r4,550053.8307569795,1021061.4707232527,"[4, 2, 0, 2, 1, 2, 0, 4, 4, 2, 1, 1, 2, 0, 2]"
a90r2,547445.7347933755,1020169.6178680473,a68r4,550053.8307569795,1021061.4707232527,"[4, 2, 1, 1, 2, 0, 2]"
a25r4,550069.9123931624,1021088.1662393163,a68r4,550053.8307569795,1021061.4707232527,[7]
a67r2,547414.8606168446,1021059.8602906286,a68r4,550053.8307569795,1021061.4707232527,"[3, 1, 4, 4, 2, 1, 1, 2, 0, 2]"
a17r3,549148.4517163367,1019049.4252993808,a41r2,546682.9153780069,1021088.1834621994,"[5, 3, 0, 0, 3, 7, 7, 0, 3, 5]"
a6r0,547472.0,1018991.0,a41r2,546682.9153780069,1021088.1834621994,"[5, 5, 3, 5, 0, 0, 3, 5]"
a91r2,547057.0,1020935.337264151,a41r2,546682.9153780069,1021088.1834621994,"[3, 5]"
a82r0,545720.6659021408,1019043.50127421,a41r2,546682.9153780069,1021088.1834621994,"[3, 0, 2, 1, 2, 0, 0, 3, 5]"
a51r0,547090.9582940115,1018998.7861894328,a41r2,546682.9153780069,1021088.1834621994,"[0, 5, 0, 0, 3, 5]"
a56r2,546643.0,1021024.0,a60r3,548890.0,1018972.0,"[4, 4, 2, 1, 4, 4, 2, 1, 1, 7, 7]"
a71r2,547848.9673953156,1021058.7490639035,a60r3,548890.0,1018972.0,"[2, 6, 2, 1, 1, 7, 7]"
a57r2,546685.06,1021042.5189999999,a60r3,548890.0,1018972.0,"[4, 2, 1, 4, 4, 2, 1, 1, 7, 7]"
a53r2,548252.5097823646,1020855.9318963648,a60r3,548890.0,1018972.0,"[2, 1, 7, 7]"
a84r5,548610.6123477007,1019033.3018313111,a60r3,548890.0,1018972.0,"[3, 5, 4, 2, 1, 1, 7, 7]"
a74r3,549084.9629832634,1019128.2779361999,a7r0,547440.7862838916,1019016.633971292,"[3, 0, 0, 3, 7, 7, 1, 6, 2, 6]"
a41r2,546682.9153780069,1021088.1834621994,a7r0,547440.7862838916,1019016.633971292,"[6, 2, 1, 1, 6, 2, 6]"
a64r2,546700.0926719009,1021059.806572686,a7r0,547440.7862838916,1019016.633971292,"[2, 1, 1, 6, 2, 6]"
a71r2,547848.9673953156,1021058.7490639035,a7r0,547440.7862838916,1019016.633971292,"[2, 6, 7, 7, 1, 6, 2, 6]"
a70r2,548018.3573792815,1021047.1425703285,a7r0,547440.7862838916,1019016.633971292,"[6, 7, 7, 1, 6, 2, 6]"
a26r2,548561.0,1021104.0,a33r4,549373.7622699386,1021042.648773006,"[3, 1, 7, 1, 1, 2, 0, 3, 7]"
a53r2,548252.5097823646,1020855.9318963648,a33r4,549373.7622699386,1021042.648773006,"[2, 1, 2, 0, 3, 7]"
a19r5,548620.3333034967,1019017.2865198712,a33r4,549373.7622699386,1021042.648773006,"[5, 3, 5, 4, 2, 1, 1, 2, 0, 3, 7]"
a40r2,546652.0,1021114.0,a33r4,549373.7622699386,1021042.648773006,"[6, 6, 2, 1, 4, 4, 2, 1, 1, 2, 0, 3, 7]"
a36r1,545888.0,1021101.0,a33r4,549373.7622699386,1021042.648773006,"[6, 6, 1, 2, 1, 2, 0, 4, 4, 2, 1, 1, 2, 0, 3, 7]"
a89r0,547077.6602166065,1020015.0,a70r2,548018.3573792815,1021047.1425703285,"[4, 4, 5]"
a54r2,547792.0,1021024.0,a70r2,548018.3573792815,1021047.1425703285,"[4, 4, 2]"
a32r4,549333.0,1021024.0,a70r2,548018.3573792815,1021047.1425703285,"[4, 4, 2, 1, 3, 0, 0, 3, 5]"
a23r2,547431.9123931623,1021088.1662393162,a70r2,548018.3573792815,1021047.1425703285,"[7, 3, 1, 4, 4, 5]"
a67r2,547414.8606168446,1021059.8602906286,a70r2,548018.3573792815,1021047.1425703285,"[3, 1, 4, 4, 5]"
a78r0,546710.0576256139,1019161.865977651,a23r2,547431.9123931623,1021088.1662393162,"[2, 0, 0, 2, 4]"
a83r0,546328.634469697,1019044.0018939395,a23r2,547431.9123931623,1021088.1662393162,"[2, 4, 2, 0, 0, 2, 4]"
a92r0,545383.3961068324,1019128.733816152,a23r2,547431.9123931623,1021088.1662393162,"[0, 2, 1, 2, 0, 0, 2, 4]"
a45r4,549373.0876068375,1021088.1662393163,a23r2,547431.9123931623,1021088.1662393162,"[6, 2, 1, 3, 0, 0, 3, 7, 7, 0, 2, 4]"
a16r3,549191.0,1019000.0,a23r2,547431.9123931623,1021088.1662393162,"[5, 5, 3, 0, 0, 3, 7, 7, 0, 2, 4]"
a25r4,550069.9123931624,1021088.1662393163,a92r0,545383.3961068324,1019128.733816152,"[7, 3, 1, 3, 0, 0, 3, 7, 7, 1, 3, 0, 3, 1]"
a74r3,549084.9629832634,1019128.2779361999,a92r0,545383.3961068324,1019128.733816152,"[3, 0, 0, 3, 7, 7, 1, 3, 0, 3, 1]"
a13r0,546313.3556858187,1019061.7045075548,a92r0,545383.3961068324,1019128.733816152,"[6, 2, 4, 0, 3, 1]"
a41r2,546682.9153780069,1021088.1834621994,a92r0,545383.3961068324,1019128.733816152,"[6, 2, 1, 1, 3, 0, 3, 1]"
a47r0,546662.0417059885,1018998.7861894328,a92r0,545383.3961068324,1019128.733816152,"[0, 4, 0, 3, 1]"
