origin_id,origin_x,origin_y,destination_id,destination_x,destination_y,route_instructions
a17r4,546565.4941364605,1036242.7755863538,a46r2,548580.7043713275,1034222.7067112251,"[4, 2, 1, 2, 0, 6, 7]"
a5r3,549554.9123931625,1036288.1662393163,a46r2,548580.7043713275,1034222.7067112251,"[7, 3, 1, 3, 7]"
a14r3,549595.0,1036224.0,a24r0,547288.0,1034172.0,"[5, 5, 3, 1, 3, 5, 1, 3, 7, 7]"
a59r0,547422.0086022716,1034364.0104014394,a24r0,547288.0,1034172.0,"[7, 7]"
a63r1,548081.8708448358,1036005.3162913685,a2r3,548827.0,1036314.0,"[6, 2, 0, 3, 5, 5]"
a5r3,549554.9123931625,1036288.1662393163,a2r3,548827.0,1036314.0,"[7, 3, 3, 5, 5]"
a6r4,546535.0,1036314.0,a48r4,546582.2813718212,1036261.2845894439,"[6, 6]"
a66r4,546937.79770735,1036144.5677680377,a48r4,546582.2813718212,1036261.2845894439,[3]
a57r2,548676.2390740268,1034362.4312827691,a50r4,547311.1653756483,1036261.2658517451,"[5, 1, 3, 0, 2]"
a6r4,546535.0,1036314.0,a50r4,547311.1653756483,1036261.2658517451,"[6, 6, 2, 2]"
a0r4,547358.0,1036314.0,a47r3,549538.5509290386,1036261.0062088706,"[7, 7, 3, 1, 2, 0, 6, 2, 0, 2]"
a60r0,547435.7496886395,1034362.317373606,a47r3,549538.5509290386,1036261.0062088706,"[0, 6, 2, 0, 2]"
a5r3,549554.9123931625,1036288.1662393163,a6r4,546535.0,1036314.0,"[7, 3, 1, 3, 5, 1, 3, 0, 3, 5, 5]"
a2r3,548827.0,1036314.0,a6r4,546535.0,1036314.0,"[6, 6, 2, 1, 3, 5, 1, 3, 0, 3, 5, 5]"
a47r3,549538.5509290386,1036261.0062088706,a41r1,548009.333333333,1036260.9694444445,"[3, 1, 3, 5, 0, 5]"
a18r4,547368.0,1036224.0,a41r1,548009.333333333,1036260.9694444445,"[5, 5, 3, 1, 2, 0, 0, 5]"
a46r2,548580.7043713275,1034222.7067112251,a3r3,548857.9153780069,1036288.1834621994,"[4, 2, 0, 3, 5]"
a17r4,546565.4941364605,1036242.7755863538,a3r3,548857.9153780069,1036288.1834621994,"[4, 2, 1, 2, 0, 6, 2, 0, 3, 5]"
a5r3,549554.9123931625,1036288.1662393163,a19r4,547327.6686930092,1036242.2965214454,"[7, 3, 1, 3, 5, 1, 3, 0, 2, 6]"
a20r1,548176.0,1036304.0,a19r4,547327.6686930092,1036242.2965214454,"[7, 7, 1, 1, 3, 0, 2, 6]"
