#{"t_start": 1745909295.1694252, "env_id": "None"}
r,l,t
-2.0,2,0.007984
-7.0,7,0.01276
-10.0,10,0.019026
-5.0,5,0.022374
-5.0,5,0.025649
-5.0,5,0.028959
-2.0,2,0.030471
-2.0,2,0.032
-2.0,2,0.033531
-2.0,2,0.035056
-2.0,2,0.03665
-2.0,2,0.038159
-9.0,9,0.043713
-5.0,5,0.046989
-11.0,11,0.053925
-3.0,3,0.056099
-8.0,8,0.061119
-2.0,2,0.062638
-9.0,9,0.068287
-2.0,2,0.069867
-7.0,7,0.074391
-9.0,9,0.079983
-2.0,2,0.081516
-3.0,3,0.083686
-12.0,12,0.091082
-33.0,33,0.110474
-13.0,13,0.118548
-2.0,2,0.120235
-2.0,2,0.122487
-15.0,15,0.131434
-2.0,2,0.132996
-2.0,2,0.134705
-4.0,4,0.137655
-2.0,2,0.139174
-3.0,3,0.141363
-4.0,4,0.144043
-3.0,3,0.146151
-8.0,8,0.151151
-23.0,23,0.166007
-4.0,4,0.16873
-3.0,3,0.170807
-6.0,6,0.174752
-7.0,7,0.179142
-6.0,6,0.183125
-7.0,7,0.187706
-4.0,4,0.190486
-3.0,3,0.192617
-11.0,11,0.199351
-8.0,8,0.204385
-2.0,2,0.206038
-2.0,2,0.207552
-2.0,2,0.20911
-2.0,2,0.21062
-18.0,18,0.221455
-3.0,3,0.223674
-2.0,2,0.225281
-2.0,2,0.226803
-8.0,8,0.231968
-2.0,2,0.233562
-3.0,3,0.235746
-2.0,2,0.237288
-2.0,2,0.238806
-10.0,10,0.245012
-4.0,4,0.247672
-3.0,4,0.25152
-15.0,15,0.260601
-2.0,2,0.262121
-5.0,5,0.265363
-3.0,3,0.267467
-14.0,14,0.275941
-2.0,2,0.27748
-17.0,17,0.287492
-2.0,2,0.289165
-2.0,2,0.290795
-3.0,3,0.29307
-13.0,13,0.300845
-10.0,10,0.30691
-5.0,5,0.310225
-5.0,5,0.313493
-4.0,4,0.316206
-6.0,6,0.320111
-3.0,3,0.322336
-3.0,3,0.324493
-8.0,9,0.330261
-7.0,7,0.334698
-6.0,6,0.338601
-5.0,5,0.341849
-6.0,6,0.345725
-3.0,3,0.347824
-8.0,8,0.352945
-4.0,4,0.355654
-5.0,5,0.358904
-17.0,17,0.369145
-2.0,2,0.37067
-13.0,13,0.378507
-4.0,4,0.381214
-2.0,2,0.38274
-5.0,5,0.386053
-3.0,4,0.389032
-5.0,5,0.392489
-16.0,16,0.402246
-3.0,3,0.404393
-4.0,4,0.407193
-14.0,15,0.416397
-2.0,2,0.418001
-9.0,9,0.423661
-5.0,5,0.426943
-2.0,2,0.428567
-2.0,2,0.430091
-4.0,4,0.434533
-6.0,6,0.438387
-9.0,9,0.443914
-3.0,3,0.446016
-3.0,3,0.44815
-8.0,8,0.453175
-5.0,5,0.456475
-2.0,2,0.457989
-5.0,5,0.461273
-12.0,12,0.468716
-2.0,2,0.470341
-3.0,3,0.472568
-19.0,19,0.483941
-5.0,5,0.487233
-2.0,2,0.488849
-5.0,5,0.492085
-4.0,4,0.494897
-3.0,3,0.49704
-2.0,2,0.498614
-9.0,9,0.504151
-2.0,2,0.506085
-6.0,6,0.510005
-18.0,18,0.52071
-2.0,2,0.52222
-15.0,16,0.53222
-3.0,3,0.534334
-2.0,2,0.535914
-16.0,16,0.545461
-3.0,3,0.547589
-3.0,3,0.549876
-6.0,6,0.553695
-2.0,2,0.555311
-3.0,3,0.557546
-12.0,12,0.564972
-5.0,5,0.568471
-2.0,2,0.570044
-11.0,11,0.576803
-7.0,7,0.581444
-2.0,2,0.583026
-4.0,4,0.585821
-7.0,7,0.590998
-8.0,8,0.596163
-3.0,3,0.598301
-4.0,4,0.601229
-3.0,3,0.603399
-4.0,4,0.606117
-4.0,4,0.609019
-2.0,2,0.610588
-20.0,20,0.622556
-9.0,9,0.628185
-3.0,3,0.63035
-13.0,13,0.638415
-4.0,4,0.641231
-2.0,2,0.642806
-2.0,2,0.644366
-11.0,11,0.65111
-9.0,9,0.656701
-5.0,5,0.660032
-3.0,3,0.662255
-2.0,2,0.663827
-7.0,7,0.668258
-7.0,7,0.672698
-2.0,2,0.674218
-7.0,7,0.678647
-2.0,2,0.680882
-3.0,3,0.683014
-4.0,4,0.685715
-4.0,4,0.688455
-6.0,6,0.692328
-5.0,5,0.69577
-2.0,2,0.697312
-10.0,10,0.703578
-31.0,31,0.723144
-4.0,4,0.72597
-23.0,24,0.740566
-2.0,2,0.7421
-2.0,2,0.743695
-5.0,5,0.746964
-4.0,4,0.749715
-2.0,2,0.751233
-17.0,17,0.761559
-5.0,5,0.764833
-6.0,6,0.768678
-8.0,8,0.77365
-2.0,2,0.775212
-10.0,10,0.781428
-2.0,2,0.783058
-22.0,22,0.79634
-12.0,12,0.803527
-6.0,6,0.80742
-3.0,3,0.809768
-4.0,4,0.812492
-4.0,4,0.816314
-3.0,3,0.818417
-7.0,7,0.822866
-9.0,9,0.828516
-5.0,5,0.831748
-3.0,3,0.833844
-3.0,3,0.836001
-2.0,2,0.837546
-5.0,5,0.840866
-5.0,5,0.844165
-2.0,3,0.846426
-3.0,3,0.848679
-7.0,7,0.853144
-5.0,5,0.856532
-5.0,5,0.859871
-27.0,27,0.875713
-15.0,15,0.884791
-18.0,18,0.895442
-11.0,11,0.902151
-8.0,8,0.90707
-6.0,6,0.910879
-5.0,5,0.914116
-4.0,4,0.916854
-3.0,3,0.918933
-13.0,13,0.92693
-8.0,8,0.932067
-9.0,9,0.937813
-13.0,13,0.945622
-8.0,8,0.950655
