origin_id,origin_x,origin_y,destination_id,destination_x,destination_y,route_instructions
a51r1,548076.5167685037,1036173.513395759,a46r2,548580.7043713275,1034222.7067112251,"[1, 6, 7]"
a1r4,547327.1050372068,1036287.7894485784,a46r2,548580.7043713275,1034222.7067112251,"[7, 3, 1, 2, 0, 6, 7]"
a61r3,549208.9486065779,1036178.1064398694,a46r2,548580.7043713275,1034222.7067112251,"[1, 3, 7]"
a4r3,549586.0,1036314.0,a46r2,548580.7043713275,1034222.7067112251,"[7, 7, 3, 1, 3, 7]"
a20r1,548176.0,1036304.0,a46r2,548580.7043713275,1034222.7067112251,"[7, 7, 1, 6, 7]"
a40r1,547976.0,1036304.0,a24r0,547288.0,1034172.0,"[6, 6, 1, 1, 3, 7, 7]"
a44r0,547318.8816727516,1034219.4952958586,a24r0,547288.0,1034172.0,[7]
a51r1,548076.5167685037,1036173.513395759,a24r0,547288.0,1034172.0,"[1, 1, 3, 7, 7]"
a60r0,547435.7496886395,1034362.317373606,a24r0,547288.0,1034172.0,"[3, 7, 7]"
a17r4,546565.4941364605,1036242.7755863538,a24r0,547288.0,1034172.0,"[4, 2, 1, 7, 7]"
a57r2,548676.2390740268,1034362.4312827691,a2r3,548827.0,1036314.0,"[2, 0, 3, 5, 5]"
a15r3,549554.662577747,1036242.6912577746,a2r3,548827.0,1036314.0,"[5, 3, 3, 5, 5]"
a47r3,549538.5509290386,1036261.0062088706,a2r3,548827.0,1036314.0,"[3, 3, 5, 5]"
a0r4,547358.0,1036314.0,a2r3,548827.0,1036314.0,"[7, 7, 3, 1, 2, 0, 6, 2, 0, 3, 5, 5]"
a51r1,548076.5167685037,1036173.513395759,a2r3,548827.0,1036314.0,"[1, 6, 2, 0, 3, 5, 5]"
a7r4,546566.0876068377,1036288.1662393161,a48r4,546582.2813718212,1036261.2845894439,[6]
a13r3,548858.7622699386,1036242.6487730059,a48r4,546582.2813718212,1036261.2845894439,"[4, 2, 1, 3, 5, 1, 3, 0, 3]"
a3r3,548857.9153780069,1036288.1834621994,a48r4,546582.2813718212,1036261.2845894439,"[6, 2, 1, 3, 5, 1, 3, 0, 3]"
a47r3,549538.5509290386,1036261.0062088706,a48r4,546582.2813718212,1036261.2845894439,"[3, 1, 3, 5, 1, 3, 0, 3]"
a15r3,549554.662577747,1036242.6912577746,a48r4,546582.2813718212,1036261.2845894439,"[5, 3, 1, 3, 5, 1, 3, 0, 3]"
a39r2,548792.4539705467,1034248.7643334025,a50r4,547311.1653756483,1036261.2658517451,"[5, 3, 5, 1, 3, 0, 2]"
a1r4,547327.1050372068,1036287.7894485784,a50r4,547311.1653756483,1036261.2658517451,[7]
a60r0,547435.7496886395,1034362.317373606,a50r4,547311.1653756483,1036261.2658517451,"[3, 0, 2]"
a21r1,548142.6666666666,1036253.5364495007,a50r4,547311.1653756483,1036261.2658517451,"[7, 1, 1, 3, 0, 2]"
a37r0,547529.2968536067,1034251.4209743899,a50r4,547311.1653756483,1036261.2658517451,"[5, 3, 0, 2]"
a4r3,549586.0,1036314.0,a47r3,549538.5509290386,1036261.0062088706,"[7, 7]"
a20r1,548176.0,1036304.0,a47r3,549538.5509290386,1036261.0062088706,"[7, 7, 1, 6, 2, 0, 2]"
a12r3,548818.0,1036224.0,a47r3,549538.5509290386,1036261.0062088706,"[4, 4, 2, 2]"
a14r3,549595.0,1036224.0,a47r3,549538.5509290386,1036261.0062088706,"[5, 5]"
a63r1,548081.8708448358,1036005.3162913685,a47r3,549538.5509290386,1036261.0062088706,"[6, 2, 0, 2]"
a17r4,546565.4941364605,1036242.7755863538,a6r4,546535.0,1036314.0,"[4, 5, 5]"
a12r3,548818.0,1036224.0,a6r4,546535.0,1036314.0,"[4, 4, 2, 1, 3, 5, 1, 3, 0, 3, 5, 5]"
a24r0,547288.0,1034172.0,a6r4,546535.0,1036314.0,"[4, 4, 0, 3, 5, 5]"
a18r4,547368.0,1036224.0,a6r4,546535.0,1036314.0,"[5, 5, 3, 3, 5, 5]"
a48r4,546582.2813718212,1036261.2845894439,a6r4,546535.0,1036314.0,"[5, 5]"
a61r3,549208.9486065779,1036178.1064398694,a41r1,548009.333333333,1036260.9694444445,"[1, 3, 5, 0, 5]"
a60r0,547435.7496886395,1034362.317373606,a41r1,548009.333333333,1036260.9694444445,"[0, 0, 5]"
a37r0,547529.2968536067,1034251.4209743899,a41r1,548009.333333333,1036260.9694444445,"[5, 0, 0, 5]"
a1r4,547327.1050372068,1036287.7894485784,a41r1,548009.333333333,1036260.9694444445,"[7, 3, 1, 2, 0, 0, 5]"
a36r0,547570.0,1034200.0,a41r1,548009.333333333,1036260.9694444445,"[5, 5, 0, 0, 5]"
a61r3,549208.9486065779,1036178.1064398694,a3r3,548857.9153780069,1036288.1834621994,"[3, 5]"
a1r4,547327.1050372068,1036287.7894485784,a3r3,548857.9153780069,1036288.1834621994,"[7, 3, 1, 2, 0, 6, 2, 0, 3, 5]"
a50r4,547311.1653756483,1036261.2658517451,a3r3,548857.9153780069,1036288.1834621994,"[3, 1, 2, 0, 6, 2, 0, 3, 5]"
a66r4,546937.79770735,1036144.5677680377,a3r3,548857.9153780069,1036288.1834621994,"[1, 2, 0, 6, 2, 0, 3, 5]"
a41r1,548009.333333333,1036260.9694444445,a3r3,548857.9153780069,1036288.1834621994,"[6, 1, 6, 2, 0, 3, 5]"
a51r1,548076.5167685037,1036173.513395759,a19r4,547327.6686930092,1036242.2965214454,"[1, 1, 3, 0, 2, 6]"
a36r0,547570.0,1034200.0,a19r4,547327.6686930092,1036242.2965214454,"[5, 5, 3, 0, 2, 6]"
a63r1,548081.8708448358,1036005.3162913685,a19r4,547327.6686930092,1036242.2965214454,"[1, 3, 0, 2, 6]"
a39r2,548792.4539705467,1034248.7643334025,a19r4,547327.6686930092,1036242.2965214454,"[5, 3, 5, 1, 3, 0, 2, 6]"
a6r4,546535.0,1036314.0,a19r4,547327.6686930092,1036242.2965214454,"[6, 6, 2, 2, 6]"
