origin_id,origin_x,origin_y,destination_id,destination_x,destination_y,route_instructions
a47r0,545732.2363174232,1331324.4781445055,a40r0,545107.9912057455,1330164.2196130906,"[7, 3]"
a45r0,547360.9702058504,1331033.3234019503,a40r0,545107.9912057455,1330164.2196130906,"[1, 3, 5, 7, 3]"
a18r0,549023.0,1331227.0,a34r0,546295.5248551389,1330699.0127550354,"[3, 3, 7, 3, 3]"
a45r0,547360.9702058504,1331033.3234019503,a34r0,546295.5248551389,1330699.0127550354,"[1, 3]"
a41r0,545141.5483636886,1330166.9119265778,a14r0,546243.0,1330563.0,"[4, 6, 1, 1]"
a9r1,546273.2142857142,1332648.6123051257,a14r0,546243.0,1330563.0,"[6, 7, 1, 6, 1, 1]"
a18r0,549023.0,1331227.0,a0r1,545175.0,1332624.0,"[3, 3, 7, 3, 3, 5, 0, 0, 3, 7, 7]"
a23r0,544946.6865942029,1330289.675111033,a0r1,545175.0,1332624.0,"[6, 2, 4, 0, 0, 3, 7, 7]"
a18r0,549023.0,1331227.0,a6r1,545184.0,1332714.0,"[3, 3, 7, 3, 3, 5, 0, 0, 3, 5, 5]"
a0r1,545175.0,1332624.0,a6r1,545184.0,1332714.0,"[4, 4, 5, 5]"
a45r0,547360.9702058504,1331033.3234019503,a31r1,548506.8043478262,1332575.0,"[0, 2, 2]"
a26r2,548700.0,1332475.677419355,a31r1,548506.8043478262,1332575.0,"[6, 1, 7, 3, 0, 0, 2, 2]"
a14r0,546243.0,1330563.0,a13r0,545153.5,1330138.00390625,"[0, 0, 5, 7, 1]"
a8r1,546237.0,1332732.0,a13r0,545153.5,1330138.00390625,"[6, 6, 7, 1, 7, 1]"
a34r0,546295.5248551389,1330699.0127550354,a1r1,545217.2698675498,1332642.4980132452,"[5, 0, 0, 3, 7]"
a27r2,548722.3654078756,1332438.9653042448,a1r1,545217.2698675498,1332642.4980132452,"[1, 7, 3, 3, 5, 0, 0, 3, 7]"
a0r1,545175.0,1332624.0,a7r1,545215.0876068376,1332688.1662393163,"[4, 4, 5]"
a47r0,545732.2363174232,1331324.4781445055,a7r1,545215.0876068376,1332688.1662393163,"[0, 0, 3, 5]"
a12r0,545175.0,1330053.0,a42r1,547338.698041558,1332533.2713725318,"[0, 0, 4, 0, 4, 2]"
a11r0,545075.0,1330114.4050772628,a42r1,547338.698041558,1332533.2713725318,"[4, 2, 4, 0, 4, 2]"
