#{"t_start": 1745909151.1051495, "env_id": "None"}
r,l,t
-3.0,3,0.00701
-6.0,6,0.011091
-36.0,37,0.032514
-5.0,5,0.035742
-9.0,9,0.041333
-5.0,5,0.044691
-7.0,8,0.049781
-5.0,5,0.053141
-8.0,8,0.058088
-3.0,3,0.060198
-4.0,4,0.062838
-4.0,4,0.0655
-5.0,5,0.06872
-3.0,3,0.070795
-7.0,7,0.075209
-9.0,9,0.080728
-7.0,7,0.085089
-3.0,3,0.08721
-2.0,2,0.08881
-11.0,11,0.095549
-4.0,4,0.098289
-2.0,2,0.099792
-10.0,10,0.105932
-3.0,3,0.10851
-2.0,2,0.110755
-2.0,2,0.112725
-3.0,3,0.115351
-5.0,5,0.119357
-3.0,3,0.121521
-22.0,22,0.134604
-4.0,4,0.13772
-8.0,8,0.143027
-2.0,2,0.144577
-6.0,6,0.148458
-4.0,4,0.15114
-3.0,3,0.153312
-3.0,3,0.15691
-3.0,3,0.159065
-5.0,5,0.162452
-11.0,11,0.169437
-5.0,5,0.172777
-2.0,2,0.174324
-15.0,15,0.183569
-14.0,14,0.19371
-2.0,2,0.195298
-3.0,3,0.197429
-6.0,6,0.20136
-3.0,3,0.203461
-4.0,4,0.206383
-7.0,7,0.210924
-2.0,2,0.212508
-3.0,3,0.214638
-4.0,4,0.217381
-5.0,5,0.220617
-6.0,6,0.224736
-5.0,5,0.228017
-7.0,7,0.232456
-4.0,4,0.235122
-6.0,6,0.239138
-12.0,12,0.24733
-5.0,6,0.25186
-24.0,24,0.266895
-2.0,2,0.268483
-11.0,11,0.275145
-7.0,7,0.279798
-2.0,2,0.281387
-7.0,7,0.285928
-4.0,4,0.288608
-5.0,5,0.291828
-5.0,5,0.295257
-12.0,12,0.302511
-2.0,2,0.304098
-4.0,4,0.306753
-6.0,6,0.31205
-14.0,14,0.320566
-2.0,2,0.322123
-2.0,2,0.323678
-2.0,2,0.325332
-7.0,7,0.329738
-2.0,2,0.331259
-3.0,3,0.333381
-12.0,12,0.340717
-6.0,6,0.345064
-4.0,4,0.347719
-3.0,3,0.349856
-4.0,4,0.352499
-17.0,18,0.36341
-6.0,7,0.367935
-3.0,3,0.370085
-5.0,5,0.373484
-2.0,2,0.374998
-10.0,10,0.381143
-3.0,3,0.383261
-5.0,5,0.386534
-3.0,3,0.388699
-19.0,19,0.399984
-2.0,2,0.401578
