origin_id,origin_x,origin_y,destination_id,destination_x,destination_y,route_instructions
a104r0,547625.0,1429480.0,a111r3,545105.0420577895,1429416.6166125853,"[7, 7, 5, 3, 3, 3, 5, 1, 3, 7]"
a44r1,546969.4443947934,1430525.7999999998,a111r3,545105.0420577895,1429416.6166125853,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 5, 1, 3, 7]"
a6r0,546965.6351086956,1430016.2,a66r2,545111.0,1431424.0,"[1, 1, 1, 3, 3, 5, 0, 3, 7, 7]"
a92r0,547778.0,1429391.0,a66r2,545111.0,1431424.0,"[4, 4, 2, 0, 0, 7, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 5, 0, 3, 7, 7]"
a91r1,549293.788515406,1431143.2142857143,a51r0,547201.7762768727,1430232.3333333335,"[7, 1, 3, 0, 7, 3, 1, 1]"
a87r1,549286.8956183491,1430713.7857142857,a51r0,547201.7762768727,1430232.3333333335,"[5, 3, 0, 7, 3, 1, 1]"
a7r0,547207.459199728,1429939.0,a37r1,549224.3229297196,1430741.76926021,"[0, 0, 0, 0, 0, 0, 2, 4, 1, 2]"
a46r1,547198.823032491,1430538.8499999999,a37r1,549224.3229297196,1430741.76926021,"[1, 1, 1, 2, 4, 1, 2]"
a85r0,547889.2,1430346.0802742287,a83r0,546756.9611690349,1429522.4109719293,"[0, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 7]"
a28r2,545503.89814202,1431356.089074554,a83r0,546756.9611690349,1429522.4109719293,"[1, 6, 7]"
a64r2,545578.0,1431504.0,a112r1,546972.9480000003,1430598.5999999999,"[7, 7, 1, 6, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
a38r1,547199.6480144404,1430847.2500000002,a112r1,546972.9480000003,1430598.5999999999,"[0, 0, 0, 3, 1, 2]"
a56r1,546796.0,1431514.0,a104r0,547625.0,1429480.0,"[2, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 6, 4, 4]"
a90r1,549373.0,1431179.0,a104r0,547625.0,1429480.0,"[7, 7, 1, 3, 0, 7, 3, 1, 1, 1, 1, 1, 1, 1, 6, 4, 4]"
a33r2,545168.0926719012,1431459.8065726864,a60r1,548358.5361148497,1431188.525945865,"[2, 1, 6, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 2, 4]"
a99r3,545096.6769635527,1429460.7257603593,a60r1,548358.5361148497,1431188.525945865,"[6, 2, 0, 6, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 2, 4]"
a34r1,547198.9926353791,1430693.05,a35r1,547199.2596028881,1430770.15,[0]
a25r0,547823.389199255,1429440.2597765364,a35r1,547199.2596028881,1430770.15,"[2, 0, 0, 7, 3, 0, 0, 0, 0, 0, 0]"
a46r1,547198.823032491,1430538.8499999999,a8r0,547206.0377451611,1430012.3333333333,"[1, 1, 1, 1, 1, 1, 1, 1]"
a111r3,545105.0420577895,1429416.6166125853,a8r0,547206.0377451611,1430012.3333333333,"[4, 2, 0, 6, 2, 2, 2, 0, 0]"
