origin_id,origin_x,origin_y,destination_id,destination_x,destination_y,route_instructions
a9r0,546966.4220652174,1430089.0,a71r2,545150.9153780069,1431488.1834621993,"[1, 1, 1, 1, 3, 3, 5, 0, 3, 5]"
a50r0,546967.7351086957,1430234.6,a71r2,545150.9153780069,1431488.1834621993,"[1, 1, 1, 1, 1, 1, 3, 3, 5, 0, 3, 5]"
a48r1,548179.3159883294,1430514.0912121371,a71r2,545150.9153780069,1431488.1834621993,"[7, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 5, 0, 3, 5]"
a8r0,547206.0377451611,1430012.3333333333,a71r2,545150.9153780069,1431488.1834621993,"[1, 1, 3, 3, 3, 5, 0, 3, 5]"
a25r0,547823.389199255,1429440.2597765364,a71r2,545150.9153780069,1431488.1834621993,"[2, 0, 0, 7, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 5, 0, 3, 5]"
a83r0,546756.9611690349,1429522.4109719293,a67r2,545153.06,1431442.519,"[4, 5, 0, 3, 7]"
a10r0,547204.6167641326,1430085.6666666665,a67r2,545153.06,1431442.519,"[1, 1, 1, 3, 3, 3, 5, 0, 3, 7]"
a41r1,547200.7891696751,1431001.45,a67r2,545153.06,1431442.519,"[0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 5, 0, 3, 7]"
a96r0,547769.0,1429480.0,a67r2,545153.06,1431442.519,"[6, 6, 2, 0, 0, 7, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 5, 0, 3, 7]"
a100r0,547616.0,1429391.0,a67r2,545153.06,1431442.519,"[5, 5, 5, 3, 3, 3, 5, 0, 3, 7]"
a9r0,546966.4220652174,1430089.0,a41r1,547200.7891696751,1431001.45,"[0, 0, 0, 0, 0, 0, 0, 2, 1]"
a107r0,548586.1485252036,1429461.8557671143,a41r1,547200.7891696751,1431001.45,"[7, 3, 0, 0, 0, 0, 0, 3, 3, 7, 1]"
a13r3,545119.3147627444,1429440.2898139763,a41r1,547200.7891696751,1431001.45,"[2, 0, 6, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1]"
a38r1,547199.6480144404,1430847.2500000002,a41r1,547200.7891696751,1431001.45,"[0, 0]"
a90r1,549373.0,1431179.0,a41r1,547200.7891696751,1431001.45,"[7, 7, 5, 3, 3, 3, 7, 1]"
a54r0,547207.7860830325,1430338.5,a91r1,549293.788515406,1431143.2142857143,"[2, 4, 1, 2, 0, 4]"
a56r1,546796.0,1431514.0,a91r1,549293.788515406,1431143.2142857143,"[2, 1, 6, 2, 4, 2, 2, 2, 6, 4]"
a45r1,546969.1490123457,1430453.0,a91r1,549293.788515406,1431143.2142857143,"[0, 0, 0, 2, 4, 2, 2, 2, 6, 4]"
a89r1,548311.6048216443,1430713.7857142857,a91r1,549293.788515406,1431143.2142857143,"[3, 0, 0, 2, 6, 4]"
a52r0,546968.700326087,1430380.2,a91r1,549293.788515406,1431143.2142857143,"[0, 0, 0, 0, 2, 4, 2, 2, 2, 6, 4]"
a68r1,546558.0,1431424.0,a50r0,546967.7351086957,1430234.6,"[4, 4, 2, 6, 1, 1, 1, 1, 1]"
a76r0,546765.0,1429480.0,a50r0,546967.7351086957,1430234.6,"[1, 2, 4, 4, 2, 0, 0, 0, 0, 0, 0]"
a67r2,545153.06,1431442.519,a50r0,546967.7351086957,1430234.6,"[4, 2, 1, 6, 2, 2, 0, 0, 0, 0, 0, 0]"
a75r1,547831.826460481,1431505.7673539517,a50r0,546967.7351086957,1430234.6,"[1, 3, 7, 3, 1, 1, 1, 1, 1]"
a98r3,545065.0,1429480.0,a50r0,546967.7351086957,1430234.6,"[6, 6, 2, 0, 6, 2, 2, 0, 0, 0, 0, 0, 0]"
a33r2,545168.0926719012,1431459.8065726864,a34r1,547198.9926353791,1430693.05,"[2, 1, 6, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a60r1,548358.5361148497,1431188.525945865,a34r1,547198.9926353791,1430693.05,"[7, 3, 0, 3, 3, 7, 1, 1, 1, 1, 1]"
a107r0,548586.1485252036,1429461.8557671143,a34r1,547198.9926353791,1430693.05,"[7, 3, 0, 0, 7, 3, 0, 0, 0, 0, 0]"
a85r0,547889.2,1430346.0802742287,a34r1,547198.9926353791,1430693.05,"[0, 3, 0, 0, 0, 0, 0]"
a64r2,545578.0,1431504.0,a34r1,547198.9926353791,1430693.05,"[7, 7, 1, 6, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a22r3,545839.7586021505,1429440.0134408604,a36r1,549223.7894678493,1431112.9604600752,"[3, 0, 6, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4, 1, 2, 0]"
a94r3,545894.0,1429480.0,a36r1,549223.7894678493,1431112.9604600752,"[7, 7, 3, 0, 6, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4, 1, 2, 0]"
a102r0,548620.0,1429391.0,a36r1,549223.7894678493,1431112.9604600752,"[5, 5, 3, 0, 2, 0]"
a75r1,547831.826460481,1431505.7673539517,a36r1,549223.7894678493,1431112.9604600752,"[1, 2, 2, 6]"
a34r1,547198.9926353791,1430693.05,a36r1,549223.7894678493,1431112.9604600752,"[0, 0, 0, 0, 0, 4, 2, 2, 2, 6]"
a33r2,545168.0926719012,1431459.8065726864,a88r1,548369.0,1430678.0,"[2, 1, 6, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 2, 6]"
a12r0,547203.19627006,1430159.0,a88r1,548369.0,1430678.0,"[0, 0, 0, 2, 4, 0, 2, 6]"
a63r1,548982.2,1431415.6469450549,a88r1,548369.0,1430678.0,"[1, 3, 1, 1, 2, 6]"
a14r3,545483.4387151967,1429530.6903873077,a88r1,548369.0,1430678.0,"[0, 6, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 2, 6]"
a32r1,547051.5873019714,1431298.650409535,a88r1,548369.0,1430678.0,"[2, 4, 2, 2, 1, 1, 2, 6]"
a108r3,545885.0,1429391.0,a32r1,547051.5873019714,1431298.650409535,"[5, 5, 3, 0, 6, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a45r1,546969.1490123457,1430453.0,a32r1,547051.5873019714,1431298.650409535,"[0, 0, 0]"
a28r2,545503.89814202,1431356.089074554,a32r1,547051.5873019714,1431298.650409535,"[1, 6, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a69r1,546585.2059471365,1431444.0044052864,a32r1,547051.5873019714,1431298.650409535,"[4, 2, 6]"
a75r1,547831.826460481,1431505.7673539517,a32r1,547051.5873019714,1431298.650409535,"[1, 3, 7, 3]"
a2r1,547838.175928817,1431443.5425642629,a82r0,546765.645455358,1429480.1274465993,"[2, 1, 1, 1, 7, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 7, 1]"
a100r0,547616.0,1429391.0,a82r0,546765.645455358,1429480.1274465993,"[5, 5, 5, 3, 3, 3, 7, 1]"
a7r0,547207.459199728,1429939.0,a82r0,546765.645455358,1429480.1274465993,"[1, 3, 3, 3, 7, 1]"
a91r1,549293.788515406,1431143.2142857143,a82r0,546765.645455358,1429480.1274465993,"[7, 1, 3, 0, 7, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 7, 1]"
a98r3,545065.0,1429480.0,a82r0,546765.645455358,1429480.1274465993,"[6, 6, 2, 0, 6, 7, 1]"
