origin_id,origin_x,origin_y,destination_id,destination_x,destination_y,route_instructions
a5r1,545259.704875211,997017.2996139657,a1r1,546045.4536080777,995504.1982771038,"[6, 1]"
a0r1,546025.6070834016,996382.4069940181,a1r1,546045.4536080777,995504.1982771038,[1]
a4r1,546689.0969165784,997066.311898985,a5r1,545259.704875211,997017.2996139657,"[7, 5]"
a1r1,546045.4536080777,995504.1982771038,a5r1,545259.704875211,997017.2996139657,"[0, 5]"
a1r1,546045.4536080777,995504.1982771038,a4r1,546689.0969165784,997066.311898985,"[0, 4]"
a3r1,545134.4214441258,996362.037036549,a4r1,546689.0969165784,997066.311898985,"[2, 4]"
a4r1,546689.0969165784,997066.311898985,a2r1,546972.0416663551,996396.9675260636,"[7, 2]"
a6r1,546989.4291003426,995635.7843048386,a2r1,546972.0416663551,996396.9675260636,"[5, 2]"
a4r1,546689.0969165784,997066.311898985,a8r1,546004.5043807285,997040.8113174203,"[7, 0]"
a3r1,545134.4214441258,996362.037036549,a8r1,546004.5043807285,997040.8113174203,"[2, 0]"
a3r1,545134.4214441258,996362.037036549,a6r1,546989.4291003426,995635.7843048386,"[2, 6]"
a0r1,546025.6070834016,996382.4069940181,a6r1,546989.4291003426,995635.7843048386,[6]
a1r1,546045.4536080777,995504.1982771038,a7r1,545155.7554615884,995493.4377541431,"[0, 7]"
a8r1,546004.5043807285,997040.8113174203,a7r1,545155.7554615884,995493.4377541431,"[1, 7]"
a4r1,546689.0969165784,997066.311898985,a3r1,545134.4214441258,996362.037036549,"[7, 3]"
a6r1,546989.4291003426,995635.7843048386,a3r1,545134.4214441258,996362.037036549,"[5, 3]"
a8r1,546004.5043807285,997040.8113174203,a0r1,546025.6070834016,996382.4069940181,[1]
a6r1,546989.4291003426,995635.7843048386,a0r1,546025.6070834016,996382.4069940181,[5]
