#{"t_start": 1745911819.917514, "env_id": "None"}
r,l,t
-8.0,8,0.656698
-8.0,8,0.662932
-19.0,19,0.674826
-11.0,12,0.684038
-3.0,3,0.686308
-2.0,3,0.688623
-4.0,4,0.691383
-5.0,5,0.695031
-3.0,3,0.697295
-2.0,2,0.698927
-8.0,8,0.704078
-5.0,5,0.707688
-4.0,4,0.71043
-12.0,12,0.717827
-15.0,15,0.727293
-38.0,38,0.750042
-19.0,20,0.762836
-18.0,18,0.773683
-3.0,4,0.776646
-7.0,7,0.781279
-8.0,9,0.787406
-3.0,3,0.789612
-6.0,6,0.793832
-8.0,8,0.799053
-10.0,11,0.806009
-11.0,12,0.81362
-9.0,9,0.819227
-18.0,19,0.830752
-3.0,3,0.832981
-18.0,19,0.846276
-3.0,4,0.849257
-10.0,10,0.8556
-2.0,2,0.857324
-3.0,3,0.8595
-23.0,23,0.87322
-55.0,55,0.904922
-2.0,2,0.906516
-7.0,7,0.910863
-11.0,12,0.918282
-2.0,2,0.919883
-10.0,10,0.925996
-7.0,7,0.930604
-2.0,2,0.932195
-12.0,13,0.940209
-9.0,10,0.94646
-14.0,14,0.954859
-10.0,10,0.961085
-5.0,5,0.964491
-8.0,8,0.969522
-5.0,5,0.972853
-8.0,8,0.979342
-2.0,2,0.980936
-12.0,12,0.989145
-13.0,13,0.997002
-2.0,2,0.998548
-29.0,29,1.015772
-14.0,14,1.024358
-3.0,3,1.026487
-6.0,6,1.030348
-9.0,9,1.035832
-19.0,19,1.047054
-6.0,7,1.051608
-16.0,16,1.061045
-3.0,3,1.063128
-2.0,2,1.064637
-1.0,2,1.066291
-13.0,13,1.074053
-49.0,49,1.102329
-2.0,2,1.103858
-4.0,4,1.106497
-3.0,3,1.108707
-5.0,5,1.111944
-6.0,6,1.115712
-13.0,13,1.123521
-2.0,2,1.125117
-8.0,8,1.130595
-1.0,2,1.1324
-19.0,19,1.143793
-3.0,3,1.145853
-4.0,4,1.148541
-10.0,10,1.154727
-13.0,13,1.162588
-6.0,6,1.166412
-3.0,3,1.168491
-16.0,16,1.177898
-19.0,19,1.189064
-9.0,9,1.19453
-12.0,12,1.201999
-8.0,8,1.206971
-5.0,5,1.210202
-10.0,10,1.21635
-2.0,2,1.217844
-7.0,7,1.222227
-10.0,10,1.228291
-7.0,7,1.232879
-16.0,16,1.242426
-4.0,4,1.245252
-22.0,22,1.258278
-21.0,21,1.272121
-22.0,22,1.284977
-10.0,10,1.291033
-5.0,5,1.294304
-4.0,4,1.296982
-2.0,3,1.299528
-6.0,7,1.304165
-13.0,13,1.311934
-2.0,2,1.313415
-8.0,8,1.318261
-15.0,15,1.327148
-18.0,19,1.338505
-23.0,23,1.351809
-2.0,3,1.354227
-8.0,8,1.359262
-4.0,4,1.361885
-24.0,24,1.376001
-7.0,7,1.380309
-2.0,2,1.381847
-12.0,12,1.389174
-10.0,11,1.396004
-19.0,19,1.407042
-26.0,26,1.421971
-35.0,35,1.441989
-18.0,18,1.452459
-20.0,20,1.464092
-4.0,4,1.466711
-21.0,21,1.47887
-9.0,9,1.484316
-5.0,5,1.487481
-23.0,23,1.500832
-13.0,13,1.509636
-11.0,11,1.516283
-25.0,25,1.530615
-2.0,2,1.532176
-2.0,2,1.533707
-5.0,5,1.536882
-6.0,6,1.540591
-8.0,8,1.545465
-13.0,13,1.553117
-2.0,2,1.554688
-4.0,4,1.557294
-13.0,14,1.567223
-13.0,13,1.574888
-2.0,2,1.576462
-3.0,3,1.578518
-9.0,9,1.583922
-2.0,2,1.585409
-10.0,10,1.59141
-10.0,11,1.598074
-6.0,7,1.602547
-8.0,8,1.607883
-14.0,14,1.616232
-18.0,18,1.626685
-6.0,7,1.631157
-5.0,5,1.634346
-2.0,2,1.635866
-2.0,2,1.637406
-8.0,8,1.642281
-2.0,2,1.643853
-2.0,2,1.645341
-24.0,24,1.659173
-3.0,3,1.661241
-3.0,3,1.663293
-4.0,4,1.666165
-13.0,13,1.674162
-16.0,16,1.6836
-27.0,27,1.699064
-15.0,15,1.707859
-2.0,2,1.709341
-4.0,4,1.711974
-4.0,5,1.715323
-13.0,13,1.722975
-8.0,8,1.728393
-2.0,2,1.729927
-13.0,13,1.738473
-4.0,5,1.741868
-7.0,7,1.746238
-19.0,19,1.757364
-6.0,6,1.761138
-4.0,4,1.763772
-23.0,23,1.776959
-13.0,13,1.784695
-4.0,4,1.787297
-15.0,15,1.796456
-41.0,42,1.820473
-11.0,11,1.827016
-24.0,24,1.840808
-2.0,2,1.842316
-4.0,5,1.84564
-5.0,5,1.850649
-2.0,2,1.8523
-6.0,6,1.856085
-3.0,3,1.858208
-6.0,6,1.861955
-21.0,22,1.874868
-2.0,2,1.876385
-14.0,14,1.884623
-30.0,30,1.901743
-17.0,17,1.911643
-1.0,2,1.91328
-2.0,2,1.915478
-4.0,4,1.918167
-3.0,3,1.920312
-9.0,9,2.776916
-2.0,2,2.778542
-3.0,3,2.78072
-2.0,2,2.782233
-4.0,4,2.784891
-2.0,2,2.786458
-6.0,6,2.790233
-4.0,4,2.792906
-11.0,11,2.799611
-4.0,4,2.802288
-2.0,2,2.803814
-12.0,12,2.811215
-7.0,7,2.815619
-2.0,2,2.817137
-4.0,4,2.819847
-2.0,2,2.821405
-4.0,5,2.824825
-2.0,2,2.826641
-4.0,5,2.830057
-10.0,10,2.836245
-3.0,3,2.838346
-2.0,2,2.839948
-2.0,2,2.841516
-5.0,5,2.844751
-3.0,3,2.846905
-3.0,3,2.849013
-14.0,14,2.857563
-11.0,11,2.864236
-3.0,3,2.866354
-7.0,7,2.870729
-2.0,2,2.872316
-6.0,6,2.876315
-5.0,5,2.879601
-5.0,5,2.882858
-10.0,10,2.888986
-14.0,15,2.898247
-12.0,12,2.905566
-5.0,6,2.909584
-2.0,3,2.911885
-2.0,2,2.913396
-2.0,2,2.914925
-4.0,4,2.917612
-2.0,2,2.919144
-2.0,2,2.920737
-13.0,13,2.928571
-5.0,5,2.931844
-3.0,4,2.93474
-2.0,2,2.936273
-2.0,2,2.937777
-46.0,46,2.965023
-2.0,2,2.966557
-1.0,2,2.968247
-6.0,7,2.972779
-11.0,11,2.979424
-2.0,2,2.98105
-2.0,2,2.982628
-5.0,5,2.985846
-7.0,7,2.99022
-5.0,5,2.993443
-2.0,2,2.994975
-2.0,2,2.996599
-2.0,2,2.998194
-2.0,3,3.000439
-2.0,2,3.001941
-4.0,4,3.006229
-3.0,3,3.008336
-2.0,3,3.010913
-2.0,2,3.012505
-7.0,7,3.017056
-3.0,3,3.019236
-10.0,11,3.026058
-6.0,7,3.030733
-2.0,3,3.032996
-6.0,6,3.036805
-19.0,19,3.048231
-4.0,5,3.051671
-2.0,2,3.05319
-5.0,5,3.056429
-2.0,2,3.058033
-2.0,3,3.060307
-2.0,2,3.061803
-2.0,2,3.063381
-2.0,2,3.064954
-3.0,3,3.067041
-7.0,7,3.071385
-2.0,2,3.072967
-4.0,4,3.075691
-2.0,2,3.077246
-2.0,2,3.078818
-1.0,2,3.080492
-10.0,10,3.08679
-14.0,14,3.095146
-5.0,5,3.098367
-15.0,16,3.10802
-2.0,3,3.110299
-2.0,2,3.111874
-2.0,2,3.113419
-15.0,15,3.122368
-2.0,2,3.123892
-2.0,2,3.125445
-2.0,2,3.126988
-4.0,4,3.129631
-7.0,7,3.134208
-2.0,2,3.1358
-2.0,3,3.138086
-6.0,6,3.141973
-2.0,2,3.143496
-2.0,2,3.145301
-12.0,12,3.152653
-13.0,14,3.161145
-2.0,2,3.162662
-3.0,3,3.164813
-2.0,2,3.166336
-9.0,9,3.171904
-3.0,3,3.174108
-8.0,8,3.179037
-4.0,4,3.181691
-2.0,2,3.183241
-8.0,8,3.188181
-4.0,4,3.190899
-4.0,4,3.193556
-5.0,5,3.196793
-15.0,15,3.205814
-4.0,5,3.209225
-2.0,2,3.21102
-4.0,4,3.213695
-7.0,7,3.218227
-4.0,5,3.221628
-5.0,5,3.224953
-1.0,2,3.226641
-2.0,2,3.228167
-8.0,9,3.233846
-5.0,5,3.237158
-12.0,12,3.244354
-2.0,2,3.245891
-4.0,4,3.248563
-3.0,3,3.250647
-15.0,15,3.259556
-12.0,12,3.267469
-4.0,4,3.270152
-4.0,5,3.273621
-19.0,19,3.284815
-2.0,2,3.286407
-8.0,8,3.291492
-15.0,15,3.302321
-4.0,4,3.304981
-3.0,3,3.307063
-2.0,2,3.308664
-4.0,4,3.311305
-2.0,2,3.312829
-2.0,2,3.314338
-6.0,6,3.31824
-11.0,11,3.324907
-7.0,7,3.329263
-2.0,2,3.330781
-8.0,8,3.335717
-4.0,4,3.338483
-5.0,5,3.341889
-2.0,2,3.343478
-5.0,5,3.346703
-7.0,7,3.35119
-5.0,5,3.354426
-2.0,2,3.356157
-8.0,8,3.361346
-3.0,3,3.36349
-3.0,3,3.365578
-5.0,5,3.368817
-3.0,3,3.370903
-3.0,4,3.373719
-3.0,3,3.375903
-10.0,10,3.381928
-17.0,17,3.39219
-6.0,6,3.39606
-2.0,2,3.397752
-6.0,6,3.401579
-4.0,4,3.404251
-21.0,21,3.416606
-14.0,15,3.425665
-8.0,8,3.430596
-2.0,2,3.432123
-2.0,2,3.433632
-3.0,3,3.435742
-11.0,11,3.442366
-2.0,2,3.443952
-4.0,4,3.446598
-4.0,4,3.449249
-1.0,2,3.451181
-11.0,12,3.458637
-4.0,4,3.461302
-3.0,3,3.463376
-17.0,17,3.473451
-2.0,2,3.475063
-12.0,12,3.482294
-6.0,6,3.48608
-3.0,3,3.488192
-3.0,3,3.490399
-8.0,8,3.495511
-12.0,12,3.502757
-2.0,2,3.504373
-3.0,3,3.506913
-2.0,2,3.508448
-17.0,17,3.518512
-5.0,5,3.52173
-2.0,2,3.523309
-2.0,3,3.525553
-6.0,6,3.529361
-5.0,5,3.5326
-1.0,2,3.53428
-7.0,7,3.538648
-4.0,5,3.54201
-2.0,2,3.543527
-9.0,9,3.549028
-3.0,3,3.551131
-3.0,3,3.553209
-2.0,3,3.555499
-3.0,3,3.557584
-17.0,17,3.567616
-3.0,3,3.569751
-16.0,16,3.579659
-4.0,4,3.582322
-2.0,3,3.58458
-6.0,6,3.589775
-5.0,5,3.593028
-34.0,34,3.612615
-2.0,2,3.614137
-2.0,2,3.615878
-7.0,7,3.620251
-6.0,6,3.624057
-2.0,2,3.625567
-9.0,10,3.631809
-9.0,9,3.637535
-3.0,3,3.639634
-2.0,2,3.641194
-2.0,2,3.642817
-2.0,3,3.645175
-7.0,7,3.649537
-9.0,9,3.655053
-9.0,9,3.660842
-10.0,11,3.66777
-6.0,6,3.671581
-2.0,2,3.67315
-2.0,2,3.674692
-5.0,5,3.677902
-5.0,5,3.681438
-3.0,3,3.683648
-9.0,9,3.689205
-7.0,7,3.693558
-3.0,3,3.69567
-5.0,5,3.698907
-2.0,2,3.700495
-10.0,10,3.706567
-10.0,10,3.712642
-3.0,3,3.714738
-8.0,8,3.719671
-2.0,2,3.721177
-4.0,5,3.72477
-14.0,14,3.733132
-8.0,8,3.738038
-11.0,11,3.744707
-5.0,5,3.747959
-2.0,2,3.749522
-9.0,9,3.755019
-2.0,2,3.756542
-2.0,3,3.758786
-7.0,7,3.763151
-2.0,2,3.764691
-3.0,3,3.766765
-3.0,3,3.768845
-5.0,5,3.772075
-6.0,7,3.776584
-4.0,4,3.779225
-8.0,8,3.784433
-2.0,2,3.785928
-3.0,4,3.788878
-9.0,9,3.794438
-2.0,2,3.796031
-7.0,7,3.800465
-8.0,8,3.805393
-3.0,3,3.807478
-2.0,2,3.809065
-4.0,5,3.812468
-14.0,14,3.820802
-3.0,3,3.822881
-7.0,7,3.82725
-2.0,2,3.828775
-5.0,5,3.831992
