origin_id,origin_x,origin_y,destination_id,destination_x,destination_y,route_instructions
a7r1,545155.7554615884,995493.4377541431,a1r1,546045.4536080777,995504.1982771038,"[4, 1]"
a4r1,546689.0969165784,997066.311898985,a1r1,546045.4536080777,995504.1982771038,"[7, 1]"
a8r1,546004.5043807285,997040.8113174203,a1r1,546045.4536080777,995504.1982771038,"[1, 1]"
a3r1,545134.4214441258,996362.037036549,a1r1,546045.4536080777,995504.1982771038,"[2, 1]"
a6r1,546989.4291003426,995635.7843048386,a1r1,546045.4536080777,995504.1982771038,"[5, 1]"
a0r1,546025.6070834016,996382.4069940181,a5r1,545259.704875211,997017.2996139657,[5]
a7r1,545155.7554615884,995493.4377541431,a5r1,545259.704875211,997017.2996139657,"[4, 5]"
a3r1,545134.4214441258,996362.037036549,a5r1,545259.704875211,997017.2996139657,"[2, 5]"
a8r1,546004.5043807285,997040.8113174203,a5r1,545259.704875211,997017.2996139657,"[1, 5]"
a6r1,546989.4291003426,995635.7843048386,a5r1,545259.704875211,997017.2996139657,"[5, 5]"
a8r1,546004.5043807285,997040.8113174203,a4r1,546689.0969165784,997066.311898985,"[1, 4]"
a0r1,546025.6070834016,996382.4069940181,a4r1,546689.0969165784,997066.311898985,[4]
a6r1,546989.4291003426,995635.7843048386,a4r1,546689.0969165784,997066.311898985,"[5, 4]"
a7r1,545155.7554615884,995493.4377541431,a4r1,546689.0969165784,997066.311898985,"[4, 4]"
a5r1,545259.704875211,997017.2996139657,a4r1,546689.0969165784,997066.311898985,"[6, 4]"
a7r1,545155.7554615884,995493.4377541431,a2r1,546972.0416663551,996396.9675260636,"[4, 2]"
a5r1,545259.704875211,997017.2996139657,a2r1,546972.0416663551,996396.9675260636,"[6, 2]"
a1r1,546045.4536080777,995504.1982771038,a2r1,546972.0416663551,996396.9675260636,"[0, 2]"
a8r1,546004.5043807285,997040.8113174203,a2r1,546972.0416663551,996396.9675260636,"[1, 2]"
a3r1,545134.4214441258,996362.037036549,a2r1,546972.0416663551,996396.9675260636,"[2, 2]"
a1r1,546045.4536080777,995504.1982771038,a8r1,546004.5043807285,997040.8113174203,"[0, 0]"
a5r1,545259.704875211,997017.2996139657,a8r1,546004.5043807285,997040.8113174203,"[6, 0]"
a6r1,546989.4291003426,995635.7843048386,a8r1,546004.5043807285,997040.8113174203,"[5, 0]"
a2r1,546972.0416663551,996396.9675260636,a8r1,546004.5043807285,997040.8113174203,"[3, 0]"
a0r1,546025.6070834016,996382.4069940181,a8r1,546004.5043807285,997040.8113174203,[0]
a1r1,546045.4536080777,995504.1982771038,a6r1,546989.4291003426,995635.7843048386,"[0, 6]"
a4r1,546689.0969165784,997066.311898985,a6r1,546989.4291003426,995635.7843048386,"[7, 6]"
a2r1,546972.0416663551,996396.9675260636,a6r1,546989.4291003426,995635.7843048386,"[3, 6]"
a8r1,546004.5043807285,997040.8113174203,a6r1,546989.4291003426,995635.7843048386,"[1, 6]"
a5r1,545259.704875211,997017.2996139657,a6r1,546989.4291003426,995635.7843048386,"[6, 6]"
a4r1,546689.0969165784,997066.311898985,a7r1,545155.7554615884,995493.4377541431,"[7, 7]"
a2r1,546972.0416663551,996396.9675260636,a7r1,545155.7554615884,995493.4377541431,"[3, 7]"
a5r1,545259.704875211,997017.2996139657,a7r1,545155.7554615884,995493.4377541431,"[6, 7]"
a6r1,546989.4291003426,995635.7843048386,a7r1,545155.7554615884,995493.4377541431,"[5, 7]"
a0r1,546025.6070834016,996382.4069940181,a7r1,545155.7554615884,995493.4377541431,[7]
a2r1,546972.0416663551,996396.9675260636,a3r1,545134.4214441258,996362.037036549,"[3, 3]"
a5r1,545259.704875211,997017.2996139657,a3r1,545134.4214441258,996362.037036549,"[6, 3]"
a0r1,546025.6070834016,996382.4069940181,a3r1,545134.4214441258,996362.037036549,[3]
a1r1,546045.4536080777,995504.1982771038,a3r1,545134.4214441258,996362.037036549,"[0, 3]"
a8r1,546004.5043807285,997040.8113174203,a3r1,545134.4214441258,996362.037036549,"[1, 3]"
a3r1,545134.4214441258,996362.037036549,a0r1,546025.6070834016,996382.4069940181,[2]
a2r1,546972.0416663551,996396.9675260636,a0r1,546025.6070834016,996382.4069940181,[3]
a1r1,546045.4536080777,995504.1982771038,a0r1,546025.6070834016,996382.4069940181,[0]
a4r1,546689.0969165784,997066.311898985,a0r1,546025.6070834016,996382.4069940181,[7]
a5r1,545259.704875211,997017.2996139657,a0r1,546025.6070834016,996382.4069940181,[6]
