#{"t_start": 1718604842.0754642, "env_id": "None"}
r,l,t
-1.0,1,0.640452
-1.0,1,0.709654
-1.0,1,0.777846
-1.0,1,0.846371
-1.0,1,0.914412
-1.0,1,0.982163
-1.0,1,1.049838
-1.0,1,1.117634
20.0,1,1.186018
-1.0,1,1.254995
20.0,1,1.322979
-1.0,1,1.39101
20.0,1,1.458868
-1.0,1,1.526698
-1.0,1,1.594367
-1.0,1,1.66227
-1.0,1,1.730389
20.0,1,1.798238
-1.0,1,1.866618
-1.0,1,1.934385
-1.0,1,2.002712
-1.0,1,2.070598
-1.0,1,2.138305
-1.0,1,2.206196
-1.0,1,2.274425
-1.0,1,2.342293
-1.0,1,2.409976
-1.0,1,2.477532
-1.0,1,2.545554
-1.0,1,2.613362
-1.0,1,2.681186
-1.0,1,2.749361
-1.0,1,2.817044
-1.0,1,2.884705
-1.0,1,2.952253
-1.0,1,3.020259
-1.0,1,3.088233
-1.0,1,3.155961
-1.0,1,3.223792
-1.0,1,3.291547
-1.0,1,3.359675
-1.0,1,3.427571
20.0,1,3.495218
-1.0,1,3.563055
-1.0,1,3.633716
20.0,1,3.701786
-1.0,1,3.769473
-1.0,1,3.837139
-1.0,1,3.904689
-1.0,1,3.972435
-1.0,1,4.040148
-1.0,1,4.107615
-1.0,1,4.175319
-1.0,1,4.243086
-1.0,1,4.310916
-1.0,1,4.378634
-1.0,1,4.446405
-1.0,1,4.515005
-1.0,1,4.585806
-1.0,1,4.654111
-1.0,1,4.722932
-1.0,1,4.791068
-1.0,1,4.858939
-1.0,1,4.926564
20.0,1,4.994366
-1.0,1,5.061931
-1.0,1,5.129512
-1.0,1,5.196958
-1.0,1,5.266878
20.0,1,5.336596
-1.0,1,5.40629
-1.0,1,5.476023
-1.0,1,5.545628
-1.0,1,5.615308
-1.0,1,5.685053
-1.0,1,5.754501
-1.0,1,5.823931
-1.0,1,5.893616
-1.0,1,5.963194
20.0,1,6.032677
-1.0,1,6.102473
-1.0,1,6.172318
-1.0,1,6.242071
-1.0,1,6.311687
-1.0,1,6.381445
-1.0,1,6.451253
-1.0,1,6.520898
-1.0,1,6.590513
-1.0,1,6.660292
-1.0,1,6.730018
-1.0,1,6.799482
-1.0,1,6.868983
-1.0,1,6.938682
-1.0,1,7.008391
-1.0,1,7.077808
-1.0,1,7.147221
-1.0,1,7.216664
-1.0,1,7.285461
-1.0,1,7.354391
-1.0,1,7.423533
-1.0,1,7.492716
-1.0,1,7.561822
-1.0,1,7.633623
-1.0,1,7.702377
-1.0,1,8.008178
-1.0,1,8.077318
-1.0,1,8.1457
-1.0,1,8.213913
-1.0,1,8.285139
-1.0,1,8.353178
-1.0,1,8.4213
-1.0,1,8.490521
-1.0,1,8.562632
-1.0,1,8.631831
-1.0,1,8.700524
-1.0,1,8.769106
-1.0,1,9.13783
-1.0,1,9.206599
-1.0,1,9.276216
-1.0,1,9.34608
-1.0,1,9.418002
-1.0,1,9.486865
-1.0,1,9.555748
-1.0,1,9.624959
-1.0,1,9.696461
-1.0,1,9.765027
-1.0,1,9.833583
-1.0,1,9.902644
-1.0,1,9.976922
-1.0,1,10.053288
-1.0,1,10.122015
-1.0,1,10.191158
-1.0,1,10.263267
-1.0,1,10.331887
-1.0,1,10.400333
-1.0,1,10.468612
20.0,1,10.539638
-1.0,1,10.607903
-1.0,1,10.67598
-1.0,1,10.744152
-1.0,1,10.814766
-1.0,1,10.882704
-1.0,1,10.950718
-1.0,1,11.019104
-1.0,1,11.090543
-1.0,1,11.159048
-1.0,1,11.227325
-1.0,1,11.295483
-1.0,1,11.366657
-1.0,1,11.435165
-1.0,1,11.503869
-1.0,1,11.572872
-1.0,1,11.644533
-1.0,1,11.713479
-1.0,1,11.782299
-1.0,1,11.851262
-1.0,1,11.922764
-1.0,1,11.991874
-1.0,1,12.060976
-1.0,1,12.129676
-1.0,1,12.201396
-1.0,1,12.270251
-1.0,1,12.339296
-1.0,1,12.408474
-1.0,1,12.480526
-1.0,1,12.54973
20.0,1,12.61862
20.0,1,12.687879
-1.0,1,12.759521
-1.0,1,12.828671
-1.0,1,12.898029
-1.0,1,12.967308
-1.0,1,13.039182
-1.0,1,13.108485
-1.0,1,13.17733
20.0,1,13.246788
-1.0,1,13.320428
-1.0,1,13.389336
-1.0,1,13.458528
-1.0,1,13.527801
-1.0,1,13.599957
20.0,1,13.669181
-1.0,1,13.738651
-1.0,1,13.80777
-1.0,1,13.883119
-1.0,1,13.956881
-1.0,1,14.025372
-1.0,1,14.094009
-1.0,1,14.169967
-1.0,1,14.238997
-1.0,1,14.307828
-1.0,1,14.380589
-1.0,1,14.45233
-1.0,1,14.520918
-1.0,1,14.593625
-1.0,1,14.66228
-1.0,1,14.73457
-1.0,1,14.808552
-1.0,1,14.878002
-1.0,1,14.947454
-1.0,1,15.01892
-1.0,1,15.087115
-1.0,1,15.154953
-1.0,1,15.223133
-1.0,1,15.294734
-1.0,1,15.36276
-1.0,1,15.430889
20.0,1,15.499861
-1.0,1,15.571424
-1.0,1,15.639384
-1.0,1,15.707659
-1.0,1,15.775802
20.0,1,15.84688
-1.0,1,15.914635
-1.0,1,15.983663
-1.0,1,16.051972
-1.0,1,16.12328
-1.0,1,16.19107
-1.0,1,16.259014
-1.0,1,16.326984
-1.0,1,16.397474
20.0,1,16.465335
-1.0,1,16.533449
-1.0,1,16.601523
-1.0,1,16.671953
-1.0,1,16.740103
-1.0,1,16.8079
20.0,1,16.875926
-1.0,1,16.94664
-1.0,1,17.014548
-1.0,1,17.082547
-1.0,1,17.150375
20.0,1,17.220858
-1.0,1,17.288746
-1.0,1,17.35652
20.0,1,17.424339
-1.0,1,17.494647
-1.0,1,17.562868
-1.0,1,17.630898
20.0,1,17.69888
-1.0,1,17.769213
-1.0,1,17.837294
-1.0,1,17.90507
-1.0,1,17.972812
-1.0,1,18.043298
-1.0,1,18.111358
20.0,1,18.179438
20.0,1,18.247587
-1.0,1,18.318745
-1.0,1,18.386809
-1.0,1,18.454575
-1.0,1,18.522671
-1.0,1,18.593039
-1.0,1,18.660815
-1.0,1,18.728629
-1.0,1,18.796781
20.0,1,18.867322
-1.0,1,18.935663
-1.0,1,19.003519
-1.0,1,19.071349
-1.0,1,19.141541
-1.0,1,19.20954
-1.0,1,19.277587
-1.0,1,19.345306
-1.0,1,19.415835
-1.0,1,19.483562
-1.0,1,19.551818
-1.0,1,19.619919
-1.0,1,19.690145
-1.0,1,19.758264
-1.0,1,19.826041
-1.0,1,19.894097
-1.0,1,19.964279
-1.0,1,20.032179
-1.0,1,20.099954
-1.0,1,20.168154
-1.0,1,20.239066
-1.0,1,20.306734
-1.0,1,20.374722
-1.0,1,20.442546
-1.0,1,20.512958
-1.0,1,20.580955
-1.0,1,20.648859
-1.0,1,20.717123
-1.0,1,20.787852
-1.0,1,20.855841
-1.0,1,20.92358
20.0,1,20.991679
-1.0,1,21.062284
-1.0,1,21.130233
-1.0,1,21.198048
-1.0,1,21.265992
20.0,1,21.336313
-1.0,1,21.404205
-1.0,1,21.471909
-1.0,1,21.54002
-1.0,1,21.61036
-1.0,1,21.677998
-1.0,1,21.745981
-1.0,1,21.813768
-1.0,1,21.884601
-1.0,1,21.952448
20.0,1,22.020526
-1.0,1,22.088353
-1.0,1,22.158861
-1.0,1,22.226892
-1.0,1,22.294761
-1.0,1,22.362677
-1.0,1,22.433785
-1.0,1,22.501837
-1.0,1,22.569971
-1.0,1,22.638193
-1.0,1,22.709003
20.0,1,22.777209
-1.0,1,22.845097
-1.0,1,22.91402
20.0,1,22.984644
-1.0,1,23.052601
-1.0,1,23.120269
20.0,1,23.188251
-1.0,1,23.258693
-1.0,1,23.326351
20.0,1,23.394189
-1.0,1,23.46204
-1.0,1,23.532749
-1.0,1,23.60051
-1.0,1,23.668608
-1.0,1,23.736849
-1.0,1,23.80822
20.0,1,23.876401
-1.0,1,23.944256
-1.0,1,24.012172
-1.0,1,24.08303
-1.0,1,24.150673
-1.0,1,24.218536
-1.0,1,24.286381
-1.0,1,24.356805
-1.0,1,24.424779
-1.0,1,24.492526
-1.0,1,24.56074
-1.0,1,24.63107
-1.0,1,24.698787
-1.0,1,24.766691
-1.0,1,24.834461
-1.0,1,24.904747
-1.0,1,24.972501
-1.0,1,25.040303
-1.0,1,25.108153
-1.0,1,25.178345
20.0,1,25.246472
20.0,1,25.314205
-1.0,1,25.382131
-1.0,1,25.452584
-1.0,1,25.520976
-1.0,1,25.58938
-1.0,1,25.6576
-1.0,1,25.728229
-1.0,1,25.796428
-1.0,1,25.864387
-1.0,1,25.932115
-1.0,1,26.002608
-1.0,1,26.070535
-1.0,1,26.138559
-1.0,1,26.206201
-1.0,1,26.276809
-1.0,1,26.34455
-1.0,1,26.412488
-1.0,1,26.480364
-1.0,1,26.551101
-1.0,1,26.618967
-1.0,1,26.686767
-1.0,1,26.754853
-1.0,1,26.825205
-1.0,1,26.892854
-1.0,1,26.960521
-1.0,1,27.028397
-1.0,1,27.098616
-1.0,1,27.166767
20.0,1,27.234578
-1.0,1,27.303747
-1.0,1,27.376176
-1.0,1,27.4443
-1.0,1,27.512391
-1.0,1,27.580614
-1.0,1,27.651671
20.0,1,27.719613
-1.0,1,27.787659
-1.0,1,27.855511
-1.0,1,27.926135
-1.0,1,27.993797
20.0,1,28.061889
-1.0,1,28.129856
-1.0,1,28.200266
-1.0,1,28.268035
-1.0,1,28.335895
-1.0,1,28.403574
-1.0,1,28.47422
-1.0,1,28.54244
-1.0,1,28.611749
-1.0,1,28.680199
20.0,1,28.751125
-1.0,1,28.819114
-1.0,1,28.88695
-1.0,1,28.95472
-1.0,1,29.025668
-1.0,1,29.093609
-1.0,1,29.161388
-1.0,1,29.229131
-1.0,1,29.299732
-1.0,1,29.367641
-1.0,1,29.435451
-1.0,1,29.503181
-1.0,1,29.574118
20.0,1,29.642028
-1.0,1,29.709993
-1.0,1,29.77786
-1.0,1,29.848192
-1.0,1,29.916025
-1.0,1,29.983831
-1.0,1,30.051817
-1.0,1,30.122506
-1.0,1,30.190281
-1.0,1,30.258404
20.0,1,30.326293
-1.0,1,30.397013
-1.0,1,30.464933
-1.0,1,30.5329
-1.0,1,30.601222
20.0,1,30.672368
-1.0,1,30.740173
-1.0,1,30.808041
-1.0,1,30.875737
